quarter,series,published_pct,rebuilt_pct,diff_pp,note
1Q26,na,0.7,0.6956,-0.0044,1Q26/2Q26 are complete quarters; these must reconcile.
1Q26,emea,9.51,9.5116,0.0016,1Q26/2Q26 are complete quarters; these must reconcile.
1Q26,latam,12.36,12.3624,0.0024,1Q26/2Q26 are complete quarters; these must reconcile.
1Q26,apac,4.91,4.9086,-0.0014,1Q26/2Q26 are complete quarters; these must reconcile.
1Q26,global_revenue_weighted,5.6,5.6728,0.0728,1Q26/2Q26 are complete quarters; these must reconcile.
2Q26,na,0.25,0.2495,-0.0005,1Q26/2Q26 are complete quarters; these must reconcile.
2Q26,emea,1.93,1.9343,0.0043,1Q26/2Q26 are complete quarters; these must reconcile.
2Q26,latam,11.43,11.4368,0.0068,1Q26/2Q26 are complete quarters; these must reconcile.
2Q26,apac,2.73,2.733,0.003,1Q26/2Q26 are complete quarters; these must reconcile.
2Q26,global_revenue_weighted,2.19,2.2661,0.0761,1Q26/2Q26 are complete quarters; these must reconcile.
3Q26,na,0.02,0.0367,0.0167,"3Q26 published = QTD to 2026-08-28; rebuilt = QTD to 2026-09-04 (the refresh). A difference here is the refresh, not a reconciliation failure."
3Q26,emea,-1.13,-1.0513,0.0787,"3Q26 published = QTD to 2026-08-28; rebuilt = QTD to 2026-09-04 (the refresh). A difference here is the refresh, not a reconciliation failure."
3Q26,latam,6.39,6.4668,0.0768,"3Q26 published = QTD to 2026-08-28; rebuilt = QTD to 2026-09-04 (the refresh). A difference here is the refresh, not a reconciliation failure."
3Q26,apac,1.47,1.7011,0.2311,"3Q26 published = QTD to 2026-08-28; rebuilt = QTD to 2026-09-04 (the refresh). A difference here is the refresh, not a reconciliation failure."
3Q26,global_revenue_weighted,0.32,0.4261,0.1061,"3Q26 published = QTD to 2026-08-28; rebuilt = QTD to 2026-09-04 (the refresh). A difference here is the refresh, not a reconciliation failure."
