quarter,vintage_date,eps_actual,eps_hat_ebitda_pit,eps_hat_ebitda_known,street_eps_pre_guide,ebitda_pit,ebitda_pit_src,ebitda_actual,err_pit,err_known,err_street,err_from_ebitda,err_below_line,ni_err_from_sbc,ni_err_from_ii,ni_err_from_tax,ni_err_from_shares
2021Q4,2021-11-04,0.08,,,-0.09181,579.1,seasonal_naive_drift,333.0,,,-0.17181000000000002,0.25139480942053893,,-18.628412925792826,,0.00346518015470864,-0.009576142686638442
2022Q1,2022-02-15,-0.03,,,-0.42355,294.9,seasonal_naive_drift,229.0,,,-0.39354999999999996,0.06940899500157001,,-0.8522124100264702,,0.016537214016554707,0.00452512153545374
2022Q2,2022-05-03,0.56,,,0.2724,597.9314656674908,q_guide_implied,711.0,,,-0.2876000000000001,-0.1594095464476371,,-0.6603244671004777,,-0.053352704216530135,0.03921687008246145
2022Q3,2022-08-02,1.79,1.227613666492284,1.2390379371016444,1.25318,1448.1178546712802,q_guide_implied,1457.0,-0.5623863335077159,-0.5509620628983556,-0.5368200000000001,-0.011424270609360503,-0.5509620628983556,-0.22477771282478234,-0.018453453954899727,-0.10199375812099301,-0.05020185209634295
2022Q4,2022-11-01,0.48,0.2620140415666569,0.378737556259146,0.20308,417.6264785357087,q_guide_implied,506.0,-0.21798595843334306,-0.10126244374085397,-0.27691999999999994,-0.1167235146924891,-0.10126244374085397,0.08398886816906626,-0.038949265285111064,-0.013782080286005501,-0.006553091060167549
2023Q1,2023-02-14,0.18,0.1890897837874053,0.16490480241877553,-0.0005,280.02401906830414,q_guide_implied,262.0,0.009089783787405298,-0.015095197581224462,-0.1805,0.02418498136862975,-0.015095197581224462,0.04607560927543745,-0.05452924402026096,0.0006008369815745507,-0.00019032263386928837
2023Q2,2023-05-09,0.98,0.9137746176747815,0.8959410764219063,0.826,832.3860296921873,q_guide_implied,819.0,-0.06622538232521846,-0.08405892357809364,-0.15400000000000003,0.0178335412528752,-0.08405892357809364,0.02843554378236531,-0.049669252732696074,-0.06154107936041826,-0.015262881061045324
2023Q3,2023-08-03,6.63,2.19266673720669,2.3082293817352797,1.99409,1749.202364947515,q_guide_implied,1834.0,-4.4373332627933095,-4.32177061826472,-4.63591,-0.11556264452858986,-4.32177061826472,0.011437118193070715,-0.045443490116425664,-4.335026658100865,-0.004040227199745377
2023Q4,2023-11-01,-0.55,0.5759058385346684,0.7832594792467544,0.62231,587.0704563357151,q_guide_implied,738.0,1.1259058385346683,1.3332594792467545,1.17231,-0.2073536407120862,1.3332594792467545,-0.02294036546503226,-0.045766631676755716,0.006548045572965521,0.012566345355052232
2024Q1,2024-02-13,0.41,0.21492806585998503,0.3732787437098251,0.2181,302.92516503684226,q_guide_implied,424.0,-0.19507193414001495,-0.036721256290174864,-0.1919,-0.1583506778498401,-0.036721256290174864,0.00927552609645651,-0.03956425945680654,-0.035301511843788526,0.014850085125180101
2024Q2,2024-05-08,0.86,0.9315261593111517,0.9034329604052767,0.9531,916.16918595719,q_guide_implied,894.0,0.0715261593111517,0.043432960405276666,0.09309999999999996,0.028093198905874903,0.043432960405276666,0.02026075246018896,-0.021136991205130948,0.010460311342957582,-0.0026694532474889022
2024Q3,2024-08-06,2.13,2.389031634155587,2.2737426612764318,2.44143,2048.234081141576,q_guide_implied,1958.0,0.25903163415558694,0.14374266127643187,0.3114300000000001,0.1152889728791549,0.14374266127643187,0.01797507907107249,-0.004546614421203488,0.09807437853136348,-0.012239410849789056
2024Q4,2024-11-07,0.73,0.7488254597063364,0.6752184133636889,0.70621,823.6832730340861,q_guide_implied,765.0,0.018825459706336423,-0.05478158663631105,-0.023789999999999978,0.0736070463426475,-0.05478158663631105,0.013593713181047183,-0.024697428040867938,0.05734331375300424,-0.0020463337988960127
2025Q1,2025-02-13,0.24,0.2808011192399005,0.23191134989460463,0.246,455.4887939830662,q_guide_implied,417.0,0.040801119239900485,-0.008088650105395362,0.006000000000000005,0.04888976934529586,-0.008088650105395362,-0.016571683290170298,-0.005741702949128968,-0.023258060871895612,-0.0006696259147561012
2025Q2,2025-05-01,1.03,0.880697319467562,0.9325956502113808,0.89222,1002.6030733392626,q_guide_implied,1043.0,-0.149302680532438,-0.09740434978861923,-0.13778,-0.051898330743818694,-0.09740434978861923,-0.06788011338876296,0.010169232484912267,-0.02374542833770258,-0.000983028382263486
2025Q3,2025-08-06,2.21,2.4455484860597925,2.2887511616476512,2.29321,2171.8305408605697,q_guide_implied,2051.0,0.2355484860597925,0.07875116164765128,0.08321000000000023,0.15679732441214123,0.07875116164765128,-0.047312694150089846,0.007866726784569665,0.1106376205772835,0.002332766052266258
2025Q4,2025-11-06,0.56,0.6968834381863573,0.6183967542868154,0.6725,846.0367771969752,q_guide_implied,786.0,0.1368834381863573,0.058396754286815344,0.11249999999999993,0.0784866838995419,0.058396754286815344,-0.021186359336570964,-0.011266319465427868,-0.040016842696801704,-0.0015947956815826722
2026Q1,2026-02-12,0.26,0.2730796151139181,0.3145484438083141,0.288,488.4222536226621,q_guide_implied,519.0,0.013079615113918086,0.054548443808314084,0.02799999999999997,-0.041468828694395964,0.054548443808314084,0.007561569380969555,0.002948722779187881,0.11806726836113571,-0.0001417978302304876
2026Q2,2026-05-07,1.37,1.2373632616789831,1.2847014193606154,1.15829,1226.2493224323898,q_guide_implied,1261.0,-0.13263673832101697,-0.08529858063938467,-0.21171000000000006,-0.04733815768163228,-0.08529858063938467,0.015766867338146265,0.008176897380916317,-0.1336654327483567,-0.011256578226559389
