object,target,window,horizon_q,spec_id,nominal,n,coverage,band_lo,band_hi,below_band,above_band
fcf,capex_musd,W1,1,mean4|eq,0.8,13,0.5384615384615384,0.6153846153846154,1.0,True,False
fcf,capex_musd,W1,1,mean4|rw,0.8,13,0.5384615384615384,0.6153846153846154,1.0,True,False
tax,tax_rate_pct,W2,2,ttm|eq,0.8,8,0.625,0.5,1.0,False,False
tax,tax_rate_pct,W2,2,ttm|rw,0.8,8,0.625,0.5,1.0,False,False
fcf,capex_musd,W1,2,mean4|eq,0.8,12,0.6666666666666666,0.5833333333333334,1.0,False,False
fcf,capex_musd,W1,2,mean4|rw,0.8,12,0.6666666666666666,0.5833333333333334,1.0,False,False
tax,tax_rate_pct,W1,2,ttm|eq,0.8,12,0.6666666666666666,0.5833333333333334,1.0,False,False
tax,tax_rate_pct,W1,2,ttm|rw,0.8,12,0.6666666666666666,0.5833333333333334,1.0,False,False
eps,tax_provision_musd,W2,0,ebitda_pit|eq,0.8,10,0.7,0.6,1.0,False,False
eps,tax_provision_musd,W2,0,ebitda_pit|rw,0.8,10,0.7,0.6,1.0,False,False
tax,tax_rate_pct,W2,0,ttm|eq,0.8,10,0.7,0.6,1.0,False,False
tax,tax_rate_pct,W2,0,ttm|rw,0.8,10,0.7,0.6,1.0,False,False
eps,tax_provision_musd,W1,0,ebitda_pit|eq,0.8,14,0.7142857142857143,0.6428571428571429,0.9285714285714286,False,False
eps,tax_provision_musd,W1,0,ebitda_pit|rw,0.8,14,0.7142857142857143,0.6428571428571429,0.9285714285714286,False,False
fcf,capex_musd,W1,0,mean4|eq,0.8,14,0.7142857142857143,0.6428571428571429,0.9285714285714286,False,False
fcf,capex_musd,W1,0,mean4|rw,0.8,14,0.7142857142857143,0.6428571428571429,0.9285714285714286,False,False
tax,tax_rate_pct,W1,0,ttm|eq,0.8,14,0.7142857142857143,0.6428571428571429,0.9285714285714286,False,False
tax,tax_rate_pct,W1,0,ttm|rw,0.8,14,0.7142857142857143,0.6428571428571429,0.9285714285714286,False,False
tax,tax_rate_pct,W1,2,guide_or_ttm|eq,0.8,12,0.75,0.5833333333333334,1.0,False,False
tax,tax_rate_pct,W1,2,guide_or_ttm|rw,0.8,12,0.75,0.5833333333333334,1.0,False,False
tax,tax_rate_pct,W2,2,guide_or_ttm|eq,0.8,8,0.75,0.5,1.0,False,False
tax,tax_rate_pct,W2,2,guide_or_ttm|rw,0.8,8,0.75,0.5,1.0,False,False
eps,tax_provision_musd,W1,1,ebitda_known|eq,0.8,13,0.7692307692307693,0.6153846153846154,1.0,False,False
eps,tax_provision_musd,W1,1,ebitda_known|rw,0.8,13,0.7692307692307693,0.6153846153846154,1.0,False,False
eps,tax_provision_musd,W1,1,ebitda_pit|rw,0.8,13,0.7692307692307693,0.6153846153846154,1.0,False,False
tax,tax_rate_pct,W1,1,guide_or_ttm|eq,0.8,13,0.7692307692307693,0.6153846153846154,1.0,False,False
tax,tax_rate_pct,W1,1,guide_or_ttm|rw,0.8,13,0.7692307692307693,0.6153846153846154,1.0,False,False
tax,tax_rate_pct,W1,1,ttm|eq,0.8,13,0.7692307692307693,0.6153846153846154,1.0,False,False
