print_quarter,forecast,actual,sigma_pseudo_oos,n_sigma_train,pit,pit_edge,crps,task,target,model
2025Q3,0.3183,1.404,1.5334645295321745,3,0.7583893022801758,False,0.6154682797596791,A_pre_earnings_forecast,nights_surprise_pct,bl_funds_yoy_lag1
2025Q4,0.4159,3.656,1.2657328743327585,4,0.975,True,2.5287644532893614,A_pre_earnings_forecast,nights_surprise_pct,bl_funds_yoy_lag1
2026Q1,0.545,0.276,1.5443745206393427,5,0.4353929718874729,False,0.39273465209734465,A_pre_earnings_forecast,nights_surprise_pct,bl_funds_yoy_lag1
2026Q2,0.594,1.966,1.521589835665315,6,0.8061731405042581,False,0.8022620461202745,A_pre_earnings_forecast,nights_surprise_pct,bl_funds_yoy_lag1
2024Q3,0.6501,1.153,0.18116559643964777,3,0.975,True,0.4010858406289001,A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1
2024Q4,0.6601,2.116,0.3308729615224953,4,0.975,True,1.2699510499891655,A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1
2025Q1,0.7966,-0.209,0.6873147372201472,5,0.07505713894796198,False,0.6380874656650347,A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1
2025Q2,0.9515,0.787,0.8239844409938819,6,0.4259496691452327,False,0.2147838408616656,A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1
2025Q3,0.6991,1.404,0.7595394359491184,7,0.8126798710775323,False,0.41348990189157403,A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1
2025Q4,0.9132,3.656,0.7376714143409072,8,0.975,True,2.3282323534974823,A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1
2026Q1,1.076,0.276,1.1050740823582825,9,0.23768091302043295,False,0.45497191562362693,A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1
2026Q2,1.0516,1.966,1.1133361866729903,10,0.7863442254121044,False,0.5288457320952278,A_pre_earnings_forecast,nights_surprise_pct,eu_platform_yoy_lag1
2025Q4,0.829,3.656,0.6384288083516699,3,0.975,True,2.4682062018504034,A_pre_earnings_forecast,nights_surprise_pct,f_guide_cushion_trail4
2026Q1,1.0646,0.276,1.5177418212045595,4,0.3072745876070827,False,0.5170216775279669,A_pre_earnings_forecast,nights_surprise_pct,f_guide_cushion_trail4
2026Q2,0.5759,1.966,1.4711361772453289,5,0.8168378101551753,False,0.8169959916499986,A_pre_earnings_forecast,nights_surprise_pct,f_guide_cushion_trail4
