quarter,advance_ticket_sales_current_usd_m,capacity_days,net_yield_usd_per_capacity_day,occupancy_pct,onboard_other_revenue_usd_m,passenger_ticket_revenue_usd_m,total_revenue_usd_m,published_at,source_reference,publication_dates
2015Q1,1056.625,3556468,198.99,106,267.699,670.483,938.182,2015-05-07 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results,1
2015Q2,1213.199,3634143,227.04,108.7,297.442,787.991,1085.433,2015-08-04 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results,1
2015Q3,1103.734,3696549,263.8,113.9,336.851,948.059,1284.91,2015-11-03 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results,1
2015Q4,1023.973,3813830,209.49,107.6,313.981,722.542,1036.523,2016-02-23 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results,1
2016Q1,1178.749,3990942,210.03,107.4,337.52,740.112,1077.632,2016-05-10 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results,1
2016Q2,1390.137,3974508,230.85,106.6,368.357,818.478,1186.835,2016-08-09 11:34:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results,1
2016Q3,1210.505,4209562,271.89,111,412.921,1071.815,1484.736,2016-11-09 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results,1
2016Q4,1172.87,4201051,205.09,104.5,366.588,758.549,1125.137,2017-02-22 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results,1
2017Q1,1372.483,4030616,220.37,105,364.087,786.694,1150.781,2017-05-10 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results,1
2017Q2,1543.869,4189750,247.61,107.8,406.089,938.014,1344.103,2017-08-08 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/150/norwegian-cruise-line-holdings-reports-financial-results,1
2017Q3,1327.002,4590789,280.36,110.5,459.715,1192.023,1651.738,2017-11-09 12:01:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/145/norwegian-cruise-line-holdings-reports-financial-results,1
2017Q4,1303.498,4552267,213.02,103.3,416.254,833.299,1249.553,2018-02-22 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/137/norwegian-cruise-line-holdings-reports-financial-results,1
2018Q1,1720.505,4466471,224.87,105.8,403.537,889.866,1293.403,2018-05-02 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/128/norwegian-cruise-line-holdings-reports-financial-results,1
2018Q2,1951.701,4550217,259.22,109,445.128,1077.046,1522.174,2018-08-09 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/121/norwegian-cruise-line-holdings-reports-financial-results,1
2018Q3,1648.742,4941643,291.25,111.2,523.896,1334.46,1858.356,2018-11-08 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/117/norwegian-cruise-line-holdings-reports-financial-results,1
2018Q4,1593.219,4883347,222.06,104.4,422.75,958.443,1381.193,2019-02-21 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/106/norwegian-cruise-line-holdings-reports-fourth-quarter-and,1
2019Q1,2023.227,4716929,232.13,105.5,430.357,973.273,1403.63,2019-05-09 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/101/norwegian-cruise-line-holdings-reports-record-first-quarter,1
2019Q2,2167.271,4626871,272.22,108.4,484.873,1179.404,1664.277,2019-08-08 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/98/norwegian-cruise-line-holdings-reports-record-second,1
2019Q3,1861.636,4854292,300.76,111,540.072,1373.779,1913.851,2019-11-07 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/91/norwegian-cruise-line-holdings-reports-third-quarter-2019,1
2019Q4,1954.98,5035367,224.88,104.5,489.681,990.937,1480.618,2020-02-20 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/80/norwegian-cruise-line-holdings-reports-fourth-quarter-and,1
2020Q1,1659.527,,,,406.091,840.791,1246.882,2020-05-14 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/62/norwegian-cruise-line-holdings-reports-first-quarter-2020,1
2020Q2,1113.374,,,,3.094,13.835,16.929,2020-08-06 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/46/norwegian-cruise-line-holdings-reports-second-quarter-2020,1
2020Q3,1115.632,,,,1.851,4.667,6.518,2020-11-09 21:20:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/39/norwegian-cruise-line-holdings-reports-third-quarter-2020,1
2020Q4,1109.826,,,,1.762,7.817,9.579,2021-02-25 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/24/norwegian-cruise-line-holdings-reports-fourth-quarter-and,1
2021Q1,1120.124,,,,2.934,0.166,3.1,2021-05-06 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/404/norwegian-cruise-line-holdings-reports-first-quarter-2021,1
2021Q2,1076.826,,,,2.784,1.584,4.368,2021-08-06 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/430/norwegian-cruise-line-holdings-reports-second-quarter-2021,1
2021Q3,1440.294,,,,66.954,86.127,153.081,2021-11-03 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/448/norwegian-cruise-line-holdings-reports-third-quarter-2021,1
2021Q4,1561.336,,,,182.562,304.875,487.437,2022-02-24 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/471/norwegian-cruise-line-holdings-reports-fourth-quarter-and,1
2022Q1,1977.325,2978353,,48,179.485,342.455,521.94,2022-05-10 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/488/norwegian-cruise-line-holdings-reports-first-quarter-2022,1
2022Q2,2331.203,4639435,,64.6,393.289,793.892,1187.181,2022-08-09 11:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/501/norwegian-cruise-line-holdings-reports-second-quarter-2022,1
2022Q3,2291.624,4887415,,81.5,509.602,1105.908,1615.51,2022-11-08 12:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/516/norwegian-cruise-line-holdings-reports-third-quarter-2022,1
2022Q4,2516.521,5060866,,86.6,507.585,1011.544,1519.129,2023-02-28 12:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/534/norwegian-cruise-line-holdings-reports-fourth-quarter-and,1
2023Q1,3177.026,5415547,238.68,,613.098,1208.841,1821.939,2023-05-01 11:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/545/norwegian-cruise-line-holdings-reports-first-quarter-2023,1
2023Q2,3345.767,5513288,278.74,104.9,727.018,1478.474,2205.492,2023-08-01 11:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/558/norwegian-cruise-line-holdings-reports-strong-second,1
2023Q3,2965.28,5820448,309.48,106.1,802.443,1733.594,2536.037,2023-11-01 11:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/572/norwegian-cruise-line-holdings-reports-strong-third-quarter,1
2023Q4,3060.666,5903305,243.27,99.2,653.399,1333.057,1986.456,2024-02-27 12:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/584/norwegian-cruise-line-holdings-reports-strong-fourth,1
2024Q1,3629.707,5841015,277.86,104.6,731.401,1459.814,2191.215,2024-05-01 11:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/595/norwegian-cruise-line-holdings-reports-strong-first-quarter,1
2024Q2,3779.119,5736385,296.31,105.9,770.416,1602.076,2372.492,2024-07-31 11:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/620/norwegian-cruise-line-holdings-reports-strong-second,1
2024Q3,3144.586,6033707,336.48,108.1,861.657,1944.921,2806.578,2024-10-31 11:00:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/647/norwegian-cruise-line-holdings-reports-strong-third-quarter,1
2024Q4,3105.964,5834290,265.28,100.8,700.632,1408.734,2109.366,2025-02-27 11:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/677/norwegian-cruise-line-holdings-reports-strong-fourth,1
2025Q1,3762.256,5700563,279.51,101.5,708.869,1418.684,2127.553,2025-04-30 10:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/694/norwegian-cruise-line-holdings-reports-first-quarter-2025,1
2025Q2,3833.775,6052273,304.34,103.9,808.512,1708.985,2517.497,2025-07-31 10:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/722/norwegian-cruise-line-holdings-reports-second-quarter-2025,1
2025Q3,3146.869,6417724,341.89,106.4,888.183,2049.959,2938.142,2025-11-04 11:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/743/norwegian-cruise-line-holdings-reports-third-quarter-2025,1
2025Q4,3200.593,6263064,275.8,101.8,734.361,1510.039,2244.4,2026-03-02 11:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/768/norwegian-cruise-line-holdings-reports-fourth-quarter-and,1
2026Q1,3718.873,6392969,278.7,103.8,788.9,1542.321,2331.221,2026-05-04 10:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/794/norwegian-cruise-line-holdings-reports-first-quarter-2026,1
2026Q2,3651.201,6589740,298.1,102.4,910.706,1729.838,2640.544,2026-07-30 10:30:00+00:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/812/norwegian-cruise-line-holdings-reports-second-quarter-2026,1
