feature,quarter,original_yoy_pct,corrected_yoy_pct
ntto_overseas_full,2022Q4,596.2567240009514,84.5677387714191
ntto_overseas_full,2023Q1,206.73509603119075,
ntto_overseas_full,2023Q2,203.7854069488472,
ntto_overseas_full,2023Q3,152.3906988923203,
ntto_overseas_qtd1m,2022Q4,564.5050132939518,217.14813141418708
ntto_overseas_qtd1m,2023Q1,323.71320019227096,
ntto_overseas_qtd1m,2023Q2,198.96463825400147,
ntto_overseas_qtd1m,2023Q3,305.03065900729365,
ntto_weurope_full,2022Q4,2807.208465059688,144.10865735034034
ntto_weurope_full,2023Q1,1560.9855255061675,
ntto_weurope_full,2023Q2,1034.2959463006712,
ntto_weurope_full,2023Q3,207.5111206388338,
ntto_weurope_qtd1m,2022Q4,2399.691595990748,1270.2069710381422
ntto_weurope_qtd1m,2023Q1,1561.9127472815408,
ntto_weurope_qtd1m,2023Q2,1332.7817686400792,
ntto_weurope_qtd1m,2023Q3,1368.9132553034128,
ntto_total_full,2022Q4,421.2737969841544,73.80350449682771
ntto_total_full,2023Q1,190.17213114081545,
ntto_total_full,2023Q2,158.04389080082518,
ntto_total_full,2023Q3,127.57225206361112,
ntto_total_qtd1m,2022Q4,386.835639479591,140.2035473260043
ntto_total_qtd1m,2023Q1,250.41518195921432,
ntto_total_qtd1m,2023Q2,176.4370130152788,
ntto_total_qtd1m,2023Q3,204.22309481817732,
