feature,target,window,wf_from,knowable_before_print,n,pearson_r,pearson_p,spearman,perm_p,loo_rmse,loo_mean_rmse,wf_n,wf_first,wf_last,wf_rmse,wf_rmse_naive,wf_rmse_prior_year,wf_rmse_ar1,wf_ratio_vs_naive,wf_ratio_vs_ar1,wf_ratio_vs_prior_year,wf_sign_acc,wf_sign_n,prediction_2026Q3,version
ntto_overseas_full,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),15,0.8442235055471542,7.553705947309647e-05,0.6107142857142855,0.0,2.5376230366620605,3.8818781379058027,11,2023Q4,2026Q2,1.7715850228317411,2.1092550817765026,4.2740637783985145,3.1173732676332793,0.8399102783432141,0.5682941600948336,0.41449662772593243,0.6363636363636364,11,,original
ntto_overseas_full,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),12,0.8773501801506022,0.00017728699736270682,0.3076923076923077,0.017,2.6523389026888498,3.570938617726472,8,2024Q3,2026Q2,2.0167580828750635,2.2250182583520526,2.404241408428031,2.476728749902284,0.9064006892099682,0.8142829863603885,0.8388334365281912,0.5,8,,calendar_aligned
ntto_overseas_qtd1m,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),15,0.8902001223903584,8.730396315640978e-06,0.5392857142857141,0.0,1.874789457178294,3.8818781379058027,11,2023Q4,2026Q2,1.9036534574155732,2.1092550817765026,4.2740637783985145,3.1173732676332793,0.9025240587839366,0.6106594539642132,0.445396595866632,0.6363636363636364,11,9.181183443546958,original
ntto_overseas_qtd1m,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),12,0.8951073281557891,8.365651482837978e-05,0.15384615384615385,0.035,2.682991389189274,3.570938617726472,8,2024Q3,2026Q2,1.7795282005864392,2.2250182583520526,2.404241408428031,2.476728749902284,0.7997813923129048,0.7184994322275494,0.7401620296316047,0.5,8,8.91030820274908,calendar_aligned
ntto_weurope_full,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),15,0.8653719926631827,3.086730658935707e-05,0.6107142857142855,0.002,2.1163034492396964,3.8818781379058027,11,2023Q4,2026Q2,1.7837030014621316,2.1092550817765026,4.2740637783985145,3.1173732676332793,0.8456554244543162,0.5721814002775244,0.41733186352462026,0.7272727272727273,11,,original
ntto_weurope_full,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),12,0.8999722295927439,6.653352392012299e-05,0.3076923076923077,0.029,2.2345731784711056,3.570938617726472,8,2024Q3,2026Q2,1.6949808765789152,2.2250182583520526,2.404241408428031,2.476728749902284,0.7617829068217594,0.6843627412351023,0.7049961250302013,0.5,8,,calendar_aligned
ntto_weurope_qtd1m,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),15,0.8625713292522666,3.503949429761498e-05,0.5071428571428571,0.0,2.1622909168138373,3.8818781379058027,11,2023Q4,2026Q2,2.7347126855516386,2.1092550817765026,4.2740637783985145,3.1173732676332793,1.2965300921538374,0.8772490333272929,0.6398389980451652,0.7272727272727273,11,9.334647398302307,original
ntto_weurope_qtd1m,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),12,0.8991589581113836,6.918504839999047e-05,0.09090909090909093,0.057,7.912654303742172,3.570938617726472,8,2024Q3,2026Q2,1.682413752824335,2.2250182583520526,2.404241408428031,2.476728749902284,0.7561348076623899,0.6792886596445866,0.6997690610130329,0.75,8,9.400110639922005,calendar_aligned
ntto_total_full,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),15,0.8758089051424527,1.8753894754588812e-05,0.7071428571428571,0.0,2.1340958821974856,3.8818781379058027,11,2023Q4,2026Q2,1.6036485288954527,2.1092550817765026,4.2740637783985145,3.1173732676332793,0.7602914141350761,0.5144230065567182,0.37520463241574215,0.7272727272727273,11,,original
ntto_total_full,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),12,0.9135248510053677,3.2889963469220946e-05,0.4895104895104896,0.005,1.9417967778460556,3.570938617726472,8,2024Q3,2026Q2,1.701948815091584,2.2250182583520526,2.404241408428031,2.476728749902284,0.7649145388820867,0.6871761048353527,0.7078943109146315,0.5,8,,calendar_aligned
