id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3943387,Cozy City Island Room/Private Bath,20433973,Julia,Bronx,City Island,40.839396193871046,-73.78143724844766,Private room,65,1,6,2015-07-13,0.61,1,341
8013644,Cottage by the Bay,40787449,Mary Jo,Bronx,City Island,40.84788993878142,-73.78993229839215,Private room,75,1,0,,,1,352
4622922,Waterfront 1 Bedroom in City Island,23943777,Marita,Bronx,City Island,40.85228934592306,-73.7876653979769,Entire home/apt,115,3,0,,,1,243
958444,Great 1BD waterfront City Island NY,5214644,Noelva,Bronx,City Island,40.8523502148201,-73.78872810994446,Entire home/apt,93,3,33,2015-08-15,1.24,1,298
1886820,Quaint City Island Community. ,9815788,Steve,Bronx,City Island,40.84114416028828,-73.78305228672215,Entire home/apt,300,7,0,,,1,271
5557381,Quaint City Island Home,28811542,Phoebe,Bronx,City Island,40.850023814160465,-73.78932759494228,Private room,49,1,17,2015-08-30,5.05,1,337
3362669,City Island-NYCs Nautical Community,16964683,Michael,Bronx,City Island,40.84824106663103,-73.78874344058819,Private room,60,1,37,2015-08-31,2.62,1,326
6627449,Large 1 BDRM in Great location,13886510,Arlene,Bronx,City Island,40.84977456920603,-73.78660938743727,Entire home/apt,125,3,4,2015-08-08,1.97,1,325
7997551,Cheap Budget  Room Shared Apartm,42216739,Sol,Bronx,Allerton,40.86787162975931,-73.86990140414215,Private room,45,3,0,,,1,341
4462008,Twin  room,16286162,Pat,Bronx,Allerton,40.86814416518714,-73.85874498297198,Private room,55,2,21,2015-08-19,3.06,4,316
5647069,THE ROOM by Christian and Carla,873273,Christian & Carla,Bronx,Allerton,40.86666784260982,-73.85634556161752,Private room,85,1,1,2015-03-28,0.19,4,279
182177,PRIVATE FLAT / APARTMENT- $SPECIAL$,873273,Christian & Carla,Bronx,Allerton,40.864658045324134,-73.85708738793606,Entire home/apt,185,2,138,2015-09-01,2.84,4,342
755528,PRIVATE BATH/TONS OF SUNLIGHT/SAFE,3684360,Enrique,Bronx,Allerton,40.85839659260934,-73.86968575313621,Private room,49,2,45,2015-08-31,1.30,2,270
3429765,Sunny Private room,16286162,Pat,Bronx,Allerton,40.8668887200942,-73.857756180011,Private room,40,2,20,2015-08-01,1.67,4,309
501568,Private Room Guest Homestay,1367090,Toni Ann,Bronx,Allerton,40.86898295334139,-73.85127443943601,Private room,50,3,15,2015-08-31,0.38,5,244
759901,GREAT PRICE for GREAT GUESTS ONLY,873273,Christian & Carla,Bronx,Allerton,40.86633066268338,-73.85642849360434,Private room,85,2,18,2015-08-27,0.54,4,282
3400359,Awesome Deal NYC,16286162,Pat,Bronx,Allerton,40.86676961474904,-73.8593779298868,Private room,55,2,19,2015-08-07,1.34,4,333
260566,Private Room Guests Homestay,1367090,Toni Ann,Bronx,Allerton,40.867021900432476,-73.85272315474995,Private room,50,3,16,2015-06-20,0.39,5,184
4407790,Retreat Room,16286162,Pat,Bronx,Allerton,40.8668196519771,-73.85811594431937,Private room,60,2,13,2015-08-04,1.27,4,240
773041,Nice beautiful room  In the Bronx ,3684360,Enrique,Bronx,Allerton,40.85994681799357,-73.86970321965524,Private room,39,2,34,2015-08-19,1.03,2,314
4303051,2 Bedroom Private Apt Homestay,1367090,Toni Ann,Bronx,Allerton,40.86807590076704,-73.84848954572689,Entire home/apt,55,3,1,2015-06-14,0.37,5,183
6472275,"Cozy,newly furnished room inAstoria",24597265,Freda,Queens,Ditmars Steinway,40.77076608894446,-73.9090311273744,Private room,55,5,0,,,6,346
7110692,***Brand New***Experience Astoria !,1448564,Burak,Queens,Ditmars Steinway,40.778551015745265,-73.91547930683177,Entire home/apt,70,1,0,,,2,36
2745140,20 min to Manhattan / Astoria House,1172202,Funda,Queens,Ditmars Steinway,40.76930341629789,-73.90718822246714,Private room,60,3,29,2015-08-25,1.87,3,329
1571222,"Steps to Subway, Min. to Manhattan",8354811,Danny,Queens,Ditmars Steinway,40.77579555450183,-73.91200574112433,Entire home/apt,99,2,48,2015-08-01,2.07,3,330
5101607,Cozy room in Astoria Queens,26359114,Ana,Queens,Ditmars Steinway,40.77449358685849,-73.92200140838517,Private room,100,1,0,,,1,365
5232121,".Safe, cozy & minutes to NYC",3339701,Angelo,Queens,Ditmars Steinway,40.77775897402653,-73.91612174364607,Private room,55,1,16,2015-08-10,2.93,7,236
4767748,"One bedroom apt in Astoria, queens.",24597265,Freda,Queens,Ditmars Steinway,40.772057734991236,-73.91124449204551,Entire home/apt,110,5,5,2015-06-02,1.32,6,318
6208444,Private Room in Astoria,32194132,Thomas,Queens,Ditmars Steinway,40.77295205054334,-73.91708239175114,Private room,95,1,0,,,1,361
876792,Private Room 15 min. to Manhattan,1488404,Tim,Queens,Ditmars Steinway,40.7709314362673,-73.91725774619034,Private room,69,1,53,2015-08-13,1.80,1,236
4538274,"Country Vibe, Big City Feel",23532244,Wendy,Queens,Ditmars Steinway,40.77028083973478,-73.91539515537983,Entire home/apt,150,1,1,2015-08-02,0.94,1,336
3167849,20minToManhattan DoubleRoom Astoria,1172202,Funda,Queens,Ditmars Steinway,40.76992494794164,-73.9070836743351,Private room,95,2,11,2015-08-11,0.79,3,327
