report_date,filing_date,accession,cusip,issuer,title_of_class,shares,value_usd,is_share
2022-09-30,2022-11-14,0000950123-22-012275,037833100,APPLE INC,COM,894802319.0,123661679000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,060505104,BANK AMER CORP,COM,1010100606.0,30505039000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,166764100,CHEVRON CORP NEW,COM,165359318.0,23757173000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,191216100,COCA COLA CO,COM,400000000.0,22407999000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,025816109,AMERICAN EXPRESS CO,COM,151610700.0,20453800000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,674599105,OCCIDENTAL PETE CORP,COM,194351650.0,11942909000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,500754106,KRAFT HEINZ CO,COM,325634818.0,10859921000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,615369105,MOODYS CORP,COM,24669778.0,5997470000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,00507V109,ACTIVISION BLIZZARD INC,COM,60141866.0,4470946000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,874039100,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,60060880.0,4117774000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,902973304,US BANCORP DEL,COM NEW,77788214.0,3136420000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,23918K108,DAVITA INC,COM,36095570.0,2987630000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,40434L105,HP INC,COM,104476035.0,2603542000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,064058100,BANK OF NEW YORK MELLON CORP,COM,62210878.0,2396364000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,172967424,CITIGROUP INC,COM NEW,55155797.0,2298341000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,92343E102,VERISIGN INC,COM,12815613.0,2226072000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,501044101,KROGER CO,COM,50268823.0,2199260000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,92556H206,PARAMOUNT GLOBAL,CLASS B COM,91216510.0,1736763000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,531229607,LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,43208291.0,1629386000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,37045V100,GENERAL MTRS CO,COM,50000000.0,1604500000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,92826C839,VISA INC,COM CL A,8297460.0,1474044000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,023135106,AMAZON COM INC,COM,10666000.0,1205258000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,G0403H108,AON PLC,SHS CL A,4396000.0,1177556000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,16119P108,CHARTER COMMUNICATIONS INC N,CL A,3828941.0,1161509000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,57636Q104,MASTERCARD INC,CL A,3986648.0,1133563000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,58155Q103,MCKESSON CORP,COM,3198344.0,1087021000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,833445109,SNOWFLAKE INC,CL A,6125376.0,1041069000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,150870103,CELANESE CORP DEL,COM,9710183.0,877219000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,02005N100,ALLY FINL INC,COM,30000000.0,834901000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,531229409,LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,20207680.0,769307000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,872590104,T-MOBILE US INC,COM,5242000.0,703319000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,37959E102,GLOBE LIFE INC,COM,6353727.0,633467000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,74967X103,RH,COM,2360000.0,580724000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,570535104,MARKEL CORP,COM,467611.0,506993000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,G6693N103,NU HLDGS LTD,ORD SHS CL A,107118784.0,471323000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,531229854,LIBERTY MEDIA CORP DEL,COM SER C FRMLA,7722451.0,451764000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,339750101,FLOOR & DECOR HLDGS INC,CL A,4780000.0,335843000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,546347105,LOUISIANA PAC CORP,COM,5795906.0,296692000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,G85158106,STONECO LTD,COM CL A,10695448.0,101928000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,571748102,MARSH & MCLENNAN COS INC,COM,404911.0,60449000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,478160104,JOHNSON & JOHNSON,COM,327100.0,53435000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,742718109,PROCTER & GAMBLE CO,COM,315400.0,39819000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,609207105,MONDELEZ INTL INC,CL A,578000.0,31692000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,G9001E102,LIBERTY LATIN AMERICA LTD,COM CL A,2630792.0,16285000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,922908363,VANGUARD INDEX FDS,S&P 500 ETF SHS,43000.0,14117000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,78462F103,SPDR S&P 500 ETF TR,TR UNIT,39400.0,14073000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,47233W109,JEFFERIES FINL GROUP INC,COM,433558.0,12790000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,911312106,UNITED PARCEL SERVICE INC,CL B,59400.0,9595000.0,True
2022-09-30,2022-11-14,0000950123-22-012275,G9001E128,LIBERTY LATIN AMERICA LTD,COM CL C,1284020.0,7897000.0,True
2022-12-31,2023-02-14,0000950123-23-002585,037833100,APPLE INC,COM,895136175.0,116305043218.0,True
2022-12-31,2023-02-14,0000950123-23-002585,060505104,BANK AMER CORP,COM,1010100606.0,33454532071.0,True
2022-12-31,2023-02-14,0000950123-23-002585,166764100,CHEVRON CORP NEW,COM,162975771.0,29252521137.0,True
2022-12-31,2023-02-14,0000950123-23-002585,191216100,COCA COLA CO,COM,400000000.0,25444000000.0,True
2022-12-31,2023-02-14,0000950123-23-002585,025816109,AMERICAN EXPRESS CO,COM,151610700.0,22400480926.0,True
2022-12-31,2023-02-14,0000950123-23-002585,500754106,KRAFT HEINZ CO,COM,325634818.0,13256593441.0,True
2022-12-31,2023-02-14,0000950123-23-002585,674599105,OCCIDENTAL PETE CORP,COM,194351650.0,12242210434.0,True
2022-12-31,2023-02-14,0000950123-23-002585,615369105,MOODYS CORP,COM,24669778.0,6873493546.0,True
2022-12-31,2023-02-14,0000950123-23-002585,00507V109,ACTIVISION BLIZZARD INC,COM,52717075.0,4035492091.0,True
2022-12-31,2023-02-14,0000950123-23-002585,40434L105,HP INC,COM,104476035.0,2807271061.0,True
2022-12-31,2023-02-14,0000950123-23-002585,23918K108,DAVITA INC,COM,36095570.0,2695256212.0,True
2022-12-31,2023-02-14,0000950123-23-002585,92343E102,VERISIGN INC,COM,12815613.0,2632839535.0,True
2022-12-31,2023-02-14,0000950123-23-002585,172967424,CITIGROUP INC,COM NEW,55155797.0,2494696699.0,True
2022-12-31,2023-02-14,0000950123-23-002585,501044101,KROGER CO,COM,50000000.0,2229000000.0,True
2022-12-31,2023-02-14,0000950123-23-002585,92826C839,VISA INC,COM CL A,8297460.0,1723880290.0,True
2022-12-31,2023-02-14,0000950123-23-002585,531229607,LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,43208291.0,1690740426.0,True
2022-12-31,2023-02-14,0000950123-23-002585,37045V100,GENERAL MTRS CO,COM,50000000.0,1682000000.0,True
2022-12-31,2023-02-14,0000950123-23-002585,92556H206,PARAMOUNT GLOBAL,CLASS B COM,93637189.0,1580595750.0,True
2022-12-31,2023-02-14,0000950123-23-002585,57636Q104,MASTERCARD INC,CL A,3986648.0,1386277109.0,True
2022-12-31,2023-02-14,0000950123-23-002585,G0403H108,AON PLC,SHS CL A,4396000.0,1319415440.0,True
2022-12-31,2023-02-14,0000950123-23-002585,16119P108,CHARTER COMMUNICATIONS INC N,CL A,3828941.0,1298393893.0,True
2022-12-31,2023-02-14,0000950123-23-002585,064058100,BANK OF NEW YORK MELLON CORP,COM,25069867.0,1141180346.0,True
