comparison,method,object,target,window,prior_basis,column,before,after
format_1_0_checked_in_vs_before,alpha-a2,guide_mid_next_q,guide_mid,W1,PIT,ROW,absent,present
format_1_0_checked_in_vs_before,alpha-a2,guide_mid_next_q,guide_mid,W1,full_sample,ROW,absent,present
format_1_0_checked_in_vs_before,alpha-a2,guide_mid_next_q,guide_mid,W2,PIT,ROW,absent,present
format_1_0_checked_in_vs_before,alpha-a2,guide_mid_next_q,guide_mid,W2,full_sample,ROW,absent,present
format_1_0_checked_in_vs_before,alpha-b2,revenue_q_plus_2,revenue_musd,W1,PIT,ROW,absent,present
format_1_0_checked_in_vs_before,alpha-b2,revenue_q_plus_2,revenue_musd,W1,full_sample,ROW,absent,present
format_1_0_checked_in_vs_before,alpha-b2,revenue_q_plus_2,revenue_musd,W2,PIT,ROW,absent,present
format_1_0_checked_in_vs_before,alpha-b2,revenue_q_plus_2,revenue_musd,W2,full_sample,ROW,absent,present
format_1_0_checked_in_vs_before,tracker-backlog,nights_yoy_next_q,nights_yoy,W1,PIT,conformal_cov_empirical,0.8867924528301887,0.8679245283018868
format_1_0_checked_in_vs_before,tracker-backlog,nights_yoy_next_q,nights_yoy,W1,PIT,conformal_mean_width,11.91144255270154,11.562123183572153
format_1_0_checked_in_vs_before,tracker-backlog,nights_yoy_next_q,nights_yoy,W1,full_sample,conformal_cov_empirical,0.7547169811320755,0.7830188679245284
format_1_0_checked_in_vs_before,tracker-backlog,nights_yoy_next_q,nights_yoy,W1,full_sample,conformal_mean_width,9.959512956409394,9.286283222621831
format_1_0_checked_in_vs_before,tracker-backlog,nights_yoy_next_q,nights_yoy,W2,PIT,conformal_cov_empirical,0.8918918918918919,0.8513513513513513
format_1_0_checked_in_vs_before,tracker-backlog,nights_yoy_next_q,nights_yoy,W2,PIT,conformal_mean_width,11.304936574888645,10.436614393822111
format_1_0_checked_in_vs_before,tracker-backlog,nights_yoy_next_q,nights_yoy,W2,full_sample,conformal_cov_empirical,0.8243243243243243,0.7432432432432432
format_1_0_checked_in_vs_before,tracker-backlog,nights_yoy_next_q,nights_yoy,W2,full_sample,conformal_mean_width,10.079508767459846,9.04910864448695
format_1_0_checked_in_vs_before,tracker-backlog,revenue_yoy_next_q,revenue_yoy,W1,PIT,conformal_cov_empirical,0.8867924528301887,0.8679245283018868
format_1_0_checked_in_vs_before,tracker-backlog,revenue_yoy_next_q,revenue_yoy,W1,PIT,conformal_mean_width,14.230237229137966,14.325903080422869
format_1_0_checked_in_vs_before,tracker-backlog,revenue_yoy_next_q,revenue_yoy,W1,full_sample,conformal_cov_empirical,0.7735849056603774,0.839622641509434
format_1_0_checked_in_vs_before,tracker-backlog,revenue_yoy_next_q,revenue_yoy,W1,full_sample,conformal_mean_width,12.318537077907637,11.939705061964457
format_1_0_checked_in_vs_before,tracker-backlog,revenue_yoy_next_q,revenue_yoy,W2,PIT,conformal_cov_empirical,0.8648648648648649,0.8243243243243243
format_1_0_checked_in_vs_before,tracker-backlog,revenue_yoy_next_q,revenue_yoy,W2,PIT,conformal_mean_width,13.394285842662878,12.337484243978704
format_1_0_checked_in_vs_before,tracker-backlog,revenue_yoy_next_q,revenue_yoy,W2,full_sample,conformal_cov_empirical,0.7702702702702703,0.7972972972972973
format_1_0_checked_in_vs_before,tracker-backlog,revenue_yoy_next_q,revenue_yoy,W2,full_sample,conformal_mean_width,11.891063608400556,11.270835283685212
format_1_1_checked_in_vs_before,alpha-a2,guide_mid_next_q,guide_mid,W1,PIT,ROW,absent,present
format_1_1_checked_in_vs_before,alpha-a2,guide_mid_next_q,guide_mid,W1,full_sample,ROW,absent,present
format_1_1_checked_in_vs_before,alpha-a2,guide_mid_next_q,guide_mid,W2,PIT,ROW,absent,present
format_1_1_checked_in_vs_before,alpha-a2,guide_mid_next_q,guide_mid,W2,full_sample,ROW,absent,present
format_1_1_checked_in_vs_before,alpha-b2,revenue_q_plus_2,revenue_musd,W1,PIT,ROW,absent,present
format_1_1_checked_in_vs_before,alpha-b2,revenue_q_plus_2,revenue_musd,W1,full_sample,ROW,absent,present
format_1_1_checked_in_vs_before,alpha-b2,revenue_q_plus_2,revenue_musd,W2,PIT,ROW,absent,present
format_1_1_checked_in_vs_before,alpha-b2,revenue_q_plus_2,revenue_musd,W2,full_sample,ROW,absent,present
format_1_1_checked_in_vs_before,l0-dolthub-v2,street_dolthub,revenue_musd,W1,PIT,ROW,absent,present
format_1_1_checked_in_vs_before,l0-dolthub-v2,street_dolthub,revenue_musd,W1,full_sample,ROW,absent,present
format_1_1_checked_in_vs_before,l0-dolthub-v2,street_dolthub,revenue_musd,W2,PIT,ROW,absent,present
format_1_1_checked_in_vs_before,l0-dolthub-v2,street_dolthub,revenue_musd,W2,full_sample,ROW,absent,present
