read,g_pct,g_lo,g_hi,nights_m,nights_lo,nights_hi,note
"spec a stays only, W1, jul-only corrected",9.281772592614772,8.385470634602942,10.1780745506266,146.00044818373334,144.8029887678295,147.19790759963715,band = ±1 sd of the July→Q3 gap
"joint fit, W1, jul-only corrected",8.937777821793368,7.342151972291131,9.998013087331874,145.54087116991593,143.40911503498094,146.9573454846754,fitted beta; stays ±1 sd; backlog band fee 0.133
"identity-restricted beta=1, W1, jul-only corrected",4.581772592614771,-5.244529365397058,7.738074550626601,139.7212481837333,126.59330876782953,143.93806759963715,gamma from spec a; backlog term enters at its identity value 1
"spec a stays only, W1, E6 Jul+Aug day-matched",9.184601756645058,8.288299798633227,10.080903714656888,145.8706279468778,144.673168530974,147.0680873627816,band = ±1 sd of the July→Q3 gap
"joint fit, W1, E6 Jul+Aug day-matched",8.842501330231558,7.2468754807293205,9.902736595770063,145.41358177718936,143.28182564225438,146.8300560919488,fitted beta; stays ±1 sd; backlog band fee 0.133
"identity-restricted beta=1, W1, E6 Jul+Aug day-matched",4.484601756645058,-5.341700201366773,7.640903714656888,139.59142794687781,126.46348853097399,143.8082473627816,gamma from spec a; backlog term enters at its identity value 1
"spec a stays only, W2, jul-only corrected",9.20104608382012,8.669430228588757,9.732661939051484,145.8925975679837,145.18235878539457,146.60283635057277,band = ±1 sd of the July→Q3 gap
"joint fit, W2, jul-only corrected",8.298083409508111,6.0895062445176515,9.282639464430082,144.68623943510283,141.73558034267558,146.0016063244786,fitted beta; stays ±1 sd; backlog band fee 0.133
"identity-restricted beta=1, W2, jul-only corrected",4.50104608382012,-4.960569771411244,7.292661939051484,139.61339756798367,126.97267878539458,143.34299635057278,gamma from spec a; backlog term enters at its identity value 1
"spec a stays only, W2, E6 Jul+Aug day-matched",9.14341198338574,8.611796128154376,9.675027838617103,145.81559840980333,145.10535962721423,146.52583719239246,band = ±1 sd of the July→Q3 gap
"joint fit, W2, E6 Jul+Aug day-matched",8.236307452026773,6.027730287036314,9.220863506948746,144.60370675590775,141.65304766348052,145.91907364528353,fitted beta; stays ±1 sd; backlog band fee 0.133
"identity-restricted beta=1, W2, E6 Jul+Aug day-matched",4.443411983385739,-5.018203871845625,7.235027838617103,139.53639840980333,126.89567962721424,143.26599719239246,gamma from spec a; backlog term enters at its identity value 1
mechanism v2 (final_nights.md),9.89,9.89,9.89,146.81304,146.81304,146.81304,146.8m; DEC-0028 base
reviews index W2-corrected,9.52,9.52,9.52,146.31871999999998,146.31871999999998,146.31871999999998,146.3m
Street card,11.5,11.5,11.5,148.964,148.964,148.964,149.0m
