market,region,kind,late,old,window,side,vintage,win_start,win_end,weights_src,n_runs,n_listings,n_runs_over90,nights,mean_run_cap90,mean_run_cap30,nights_lt7,nights_n7_27,nights_ge28,w_nights_lt7,w_nights_n7_27,w_nights_ge28,w_nights,share_lt7,w_share_lt7,share_n7_27,w_share_n7_27,share_ge28,w_share_ge28
los-angeles,na,jun,2026-06-15,2025-07-01,lead_matched,late,2026-06-15,2026-06-22,2026-09-20,14c:2026-06-15,63528,15360,9811,461395.0,7.262860470973429,5.829230091527581,149453.0,194030.0,117912.0,917810.3061371567,758672.9523741289,277900.74148871447,1954383.9999999998,0.3239155170732236,0.4696161584095842,0.42052904777901795,0.3881903210290961,0.2555554351477584,0.14219352056131984
los-angeles,na,jun,2026-06-15,2025-07-01,lead_matched,old,2025-07-01,2025-07-08,2025-10-06,listings:2025-06-17,48924,12799,5605,335893.0,6.865607881612297,5.6090211294335965,114908.0,141153.0,79832.0,848980.1314064318,641749.8280551177,214538.04053845053,1705268.0,0.34209703685399817,0.49785730536574413,0.4202320381788248,0.3763337071094501,0.23767092496717704,0.1258089875248058
los-angeles,na,jun,2026-06-15,2025-07-01,calendar_q3,late,2026-06-15,2026-07-01,2026-09-30,14c:2026-06-15,55762,14032,5389,385989.0,6.922079552383344,5.702686710674729,133436.0,163676.0,88877.0,909005.1778088895,681399.019541042,213726.8026500684,1804131.0,0.3456989706960561,0.5038465487311562,0.42404317221475224,0.3776882163994976,0.23025785708919166,0.11846523486934618
los-angeles,na,jun,2026-06-15,2025-07-01,calendar_q3,old,2025-07-01,2025-07-02,2025-10-01,listings:2025-06-17,67419,19367,14990,631582.0,9.368011984752073,6.418627638543461,146150.0,218039.0,267393.0,926280.1110130346,874724.0029942713,642904.8859926941,2443909.0,0.23140304821860028,0.3790157943741091,0.3452267480707177,0.357920038346056,0.42337020371068207,0.2630641672798349
los-angeles,na,aug,2026-08-10,2025-08-01,lead_matched,late,2026-08-10,2026-08-17,2026-11-15,14c:2026-08-10,56634,13973,5081,353581.0,6.243263763816788,5.138070992407908,139786.0,135252.0,78543.0,1040765.6178833835,639487.5250713804,181012.85704523604,1861266.0000000002,0.3953436412024402,0.5591708105576437,0.38252055398904355,0.34357664357022605,0.2221358048085163,0.09725254587213006
los-angeles,na,aug,2026-08-10,2025-08-01,lead_matched,old,2025-08-01,2025-08-08,2025-11-06,listings:2025-09-01,45368,12497,5381,295219.0,6.507207723505554,5.1843792633015005,109620.0,108807.0,76792.0,949234.2617454722,572983.2741875331,199616.46406699473,1721834.0,0.37131756424891355,0.5512925530251302,0.3685636764571386,0.3327749795784803,0.2601187592939479,0.11593246739638939
los-angeles,na,aug,2026-08-10,2025-08-01,calendar_sep,late,2026-08-10,2026-09-01,2026-09-30,14c:2026-08-10,22439,10754,784,139044.0,6.196532822318285,5.1123036170990135,56674.0,51304.0,31066.0,967934.29910813,451329.5235729754,79896.17731889451,1499160.0,0.40759759500589743,0.6456510973532712,0.3689767267915192,0.30105493981494663,0.22342567820258336,0.053293962831782137
los-angeles,na,aug,2026-08-10,2025-08-01,calendar_sep,old,2025-08-01,2025-09-02,2025-10-01,listings:2025-09-01,15145,7707,786,95291.0,6.29191152195444,5.065285326086957,37349.0,34487.0,23455.0,744824.0332072774,331765.7380162813,69326.22877644126,1145916.0,0.39194677356728336,0.6499813539624871,0.36191245762978663,0.28952012016263085,0.24614076880292998,0.060498525874881984
chicago,na,jun,2026-06-24,2025-05-14,lead_matched,late,2026-06-24,2026-07-01,2026-09-29,14c:2026-06-24,29886,5135,1326,176811.0,5.916181489660711,5.1051966675771645,80919.0,64451.0,31441.0,383890.5956425259,230700.6922765049,71899.71208096923,686491.0,0.457658177375842,0.5592070335117661,0.3645191758431319,0.33605785403815186,0.17782264678102608,0.10473511245008198
chicago,na,jun,2026-06-24,2025-05-14,lead_matched,old,2025-05-14,2025-05-21,2025-08-19,listings:2025-06-17,27740,4873,1107,170975.0,6.163482335976928,5.035413278131007,75859.0,57873.0,37243.0,361166.4399130876,203186.99148586043,75310.56860105203,639664.0,0.4436847492323439,0.5646189873325489,0.3384880830530779,0.31764643857690983,0.21782716771457816,0.11773457409054133
chicago,na,jun,2026-06-24,2025-05-14,calendar_q3,late,2026-06-24,2026-07-01,2026-09-30,14c:2026-06-24,29993,5138,1369,177831.0,5.929083452805655,5.110177277212562,81197.0,64835.0,31799.0,383829.0329774793,231010.08335021362,71927.88367230711,686767.0,0.45659643144333667,0.5588926564285693,0.3645877265493643,0.3363733017897098,0.17881584200729905,0.1047340417817209
chicago,na,jun,2026-06-24,2025-05-14,calendar_q3,old,2025-05-14,2025-07-02,2025-10-01,listings:2025-06-17,16022,3866,1081,88186.0,5.504056921732618,4.792220174156232,45601.0,28148.0,14437.0,352014.0259097844,135242.1143466787,37238.85974353688,524495.0,0.5171002199895675,0.6711484874208228,0.31918898691402264,0.25785205644797127,0.16371079309640987,0.07099945613120598
chicago,na,aug,2026-08-27,2025-08-19,lead_matched,late,2026-08-27,2026-09-03,2026-12-02,14c:2026-08-27,26615,5259,1040,150716.0,5.662821717076836,4.966917523016388,72305.0,55827.0,22584.0,427137.9499212004,247358.72806029994,48909.32201849969,723406.0,0.4797433583693835,0.5904539773255965,0.37041190052814565,0.34193624059006966,0.14984474110247087,0.06760978208433395
chicago,na,aug,2026-08-27,2025-08-19,lead_matched,old,2025-08-19,2025-08-26,2025-11-24,listings:2025-09-22,23576,4876,1058,129862.0,5.508228707159824,4.72762209076385,66258.0,41287.0,22317.0,421631.0681638823,186870.38164798974,54003.550188127985,662505.0,0.5102185396805841,0.6364194506666098,0.31792980240563057,0.2820663717979332,0.1718516579137854,0.08151417753545707
chicago,na,aug,2026-08-27,2025-08-19,calendar_sep,late,2026-08-27,2026-09-01,2026-09-30,14c:2026-08-27,13881,5040,195,85771.0,6.179021684316692,5.436032863849765,37220.0,35426.0,13125.0,393683.53080642555,269165.17329176853,36071.2959018059,698920.0,0.43394620559396535,0.5632740954707628,0.4130300451201455,0.38511585487862493,0.15302374928588916,0.05161004965061223
chicago,na,aug,2026-08-27,2025-08-19,calendar_sep,old,2025-08-19,2025-09-02,2025-10-01,listings:2025-09-22,10164,3959,202,55301.0,5.440869736324282,4.743122936881064,27921.0,18863.0,8517.0,382541.68395740504,161376.64368128614,25118.672361308843,569037.0,0.5048914124518544,0.6722615294917642,0.3410969060233992,0.2835960467971083,0.1540116815247464,0.04414242371112747
austin,na,jun,2025-05-11,2024-05-19,lead_matched,late,2025-05-11,2025-05-18,2025-08-16,listings:2025-06-13,18165,5195,2083,112318.0,6.1832094687586014,4.491231067076643,48331.0,27419.0,36568.0,430564.79778369586,140811.51352657352,68481.68868973058,639858.0,0.43030502679891025,0.6729067977327717,0.24411937534500258,0.22006681721033966,0.3255755978560872,0.10702638505688854
austin,na,jun,2025-05-11,2024-05-19,lead_matched,old,2024-05-19,2024-05-26,2024-08-24,listings:2024-06-17,17984,5142,2366,113669.0,6.320562722419929,4.587122086314332,47285.0,28721.0,37663.0,,,,,0.4159885280947312,,0.252672232534816,,0.3313392393704528,
austin,na,jun,2025-05-11,2024-05-19,calendar_q3,late,2025-05-11,2025-07-01,2025-09-30,listings:2025-06-13,7988,2999,2033,50718.0,6.3492739108663,4.380709997389715,20840.0,10907.0,18971.0,273341.0432258079,70847.46224813163,38504.49452606047,382693.0,0.41089948341811583,0.714256710276404,0.21505185535707244,0.185128712174332,0.37404866122481173,0.10061457754926396
austin,na,jun,2025-05-11,2024-05-19,calendar_q3,old,2024-05-19,2024-07-02,2024-10-01,listings:2024-06-17,10377,3605,2284,63474.0,6.116796762069963,4.501349865013498,28127.0,14490.0,20857.0,,,,,0.44312631943788006,,0.22828244635598827,,0.3285912342061316,
