year,kind,window,weighting,region,n_markets,los_mix_pp,share_lt7_late,share_n7_27_late,share_ge28_late,share_lt7_old,share_n7_27_old,share_ge28_old,d_share_lt7_pp,d_share_n7_27_pp,d_share_ge28_pp,mean_run_late,mean_run_old,n_runs_late,n_runs_old,los_mix_p25,los_mix_p75,los_mix_sd
2025,jun,calendar_q3,occupancy_weighted,emea,2,,0.4586990005797705,0.41475971589461796,0.12654128352561156,,,,,,,7.393968873625639,7.949753611622546,564044.0,440243.0,,,
2025,jun,calendar_q3,occupancy_weighted,na,2,,0.7011788811312454,0.2246432757194894,0.07417784314926525,,,,,,,5.552690162655358,5.075902650989532,83283.0,73673.0,,,
2025,jun,calendar_q3,occupancy_weighted,market_dispersion,4,,,,,,,,,,,,,,,,,
2025,jun,calendar_q3,unweighted,emea,2,0.26543656914883423,0.31072337311053516,0.44739242454732936,0.2418842023421355,0.2856060486299037,0.45671697131614614,0.2576769800539502,2.5117324480631478,-0.9324546768816777,-1.579277771181467,7.393968873625639,7.949753611622546,564044.0,440243.0,,,
2025,jun,calendar_q3,unweighted,na,2,-0.9471787757469238,0.5117486420103512,0.266413190526005,0.22183816746364388,0.5979674518005509,0.2375658563902127,0.16446669180923645,-8.62188097901997,2.8847334135792297,5.7371475654407424,5.552690162655358,5.075902650989532,83283.0,73673.0,,,
2025,jun,calendar_q3,unweighted,market_dispersion,4,0.16487401892030837,,,,,,,,,,,,,,-0.20988843005605273,0.4354653582994285,0.5282508160579219
2025,jun,lead_matched,occupancy_weighted,emea,2,,0.4274216767571859,0.44268047274361266,0.12989785049920138,,,,,,,7.350970728918886,7.752952649795409,671030.0,576832.0,,,
2025,jun,lead_matched,occupancy_weighted,na,2,,0.720746571987544,0.21454710988367473,0.06470631812878126,,,,,,,5.137245371269388,5.262674945020489,111169.0,107997.0,,,
2025,jun,lead_matched,occupancy_weighted,market_dispersion,4,,,,,,,,,,,,,,,,,
2025,jun,lead_matched,unweighted,emea,2,0.23659015207558826,0.3150960231947432,0.4636299008513388,0.221274075953918,0.28452112419811015,0.48257010726138977,0.23290876854050008,3.057489899663307,-1.8940206410050953,-1.1634692586582092,7.350970728918886,7.752952649795409,671030.0,576832.0,,,
2025,jun,lead_matched,unweighted,na,2,0.08993759336805511,0.5729478694146128,0.2587077968061805,0.16834433377920668,0.5586017337374022,0.26944334195132624,0.17195492431127152,1.4346135677210659,-1.0735545145145742,-0.36105905320648335,5.137245371269388,5.262674945020489,111169.0,107997.0,,,
2025,jun,lead_matched,unweighted,market_dispersion,4,0.03811496736622276,,,,,,,,,,,,,,-0.11195168744959871,0.23077420643791066,0.38120491543416934
2026,aug,calendar_sep,occupancy_weighted,apac,16,-0.24487503137364713,0.5164872129562779,0.39449520952891287,0.08901757751480925,0.5322693416201895,0.39548639612082126,0.07224426225898928,-1.5782128663911599,-0.09911865919083884,1.6773315255819974,6.370395780610623,6.207599279186652,204126.0,145948.0,,,
2026,aug,calendar_sep,occupancy_weighted,emea,4,0.14458088135141461,0.4574675551085976,0.4508569699020003,0.09167547498940198,0.4442085469000706,0.45538788570329714,0.10040356739663207,1.325900820852699,-0.4530915801296831,-0.872809240723009,7.687920741348982,8.123584904016537,164998.0,183481.0,,,
2026,aug,calendar_sep,occupancy_weighted,latam,5,-0.5381678172023193,0.5464549420983723,0.36691706239858,0.08662799550304767,0.5897062327955565,0.3579739672129654,0.0523197999914781,-4.325129069718415,0.8943095185614591,3.430819551156957,7.607491942427281,6.820101382990333,163831.0,83585.0,,,
2026,aug,calendar_sep,occupancy_weighted,na,5,-0.03415116620301647,0.6930561588495807,0.27128720144195856,0.03565663970846076,0.713876934664949,0.24725243689244675,0.038870628442604256,-2.082077581536823,2.403476454951181,-0.3213988734143497,5.1563953563329195,5.215769139785916,69326.0,52854.0,,,
2026,aug,calendar_sep,occupancy_weighted,global_10k_weighted,30,-0.07487164022861253,0.549514757840138,0.37568422649097355,0.07380101566888846,0.5597112541562472,0.3690143576094117,0.07027438823434098,-1.019649631610916,0.666986888156174,0.35266274345474724,,,,,,,
2026,aug,calendar_sep,occupancy_weighted,market_dispersion,30,-0.08871433761431538,,,,,,,,,,,,,,-0.4438175833920443,0.015719880645734402,0.4578592262748809
2026,aug,calendar_sep,unweighted,apac,16,-0.5538831037684678,0.2996144465951443,0.44944560032217196,0.25093995308268374,0.32196985874951456,0.4690090217154867,0.20902111953499874,-2.235541215437026,-1.956342139331474,4.1918833547685,6.370395780610623,6.207599279186652,204126.0,145948.0,,,
2026,aug,calendar_sep,unweighted,emea,4,0.6238125442163249,0.28112404767756205,0.4789989862374048,0.23987696608503317,0.2607206156061302,0.45076725381993693,0.2885121305739329,2.040343207143186,2.823173241746785,-4.863516448889971,7.687920741348982,8.123584904016537,164998.0,183481.0,,,
2026,aug,calendar_sep,unweighted,latam,5,-1.3135422120117115,0.2828151992789937,0.38105843487149044,0.33612636584951594,0.3481444331246254,0.41146804461678527,0.24038752225858934,-6.532923384563172,-3.040960974529483,9.573884359092661,7.607491942427281,6.820101382990333,163831.0,83585.0,,,
2026,aug,calendar_sep,unweighted,na,5,0.23855961110356622,0.5252782546098899,0.339456780552633,0.13526496483747716,0.518194213874693,0.3277273236909968,0.15407846243431023,0.7084040735196862,1.1729456861636234,-1.8813497596833066,5.1563953563329195,5.215769139785916,69326.0,52854.0,,,
2026,aug,calendar_sep,unweighted,global_10k_weighted,30,0.02746277978218603,0.3558206157606988,0.4167920476327399,0.22638733660656135,0.3594703560904277,0.4096447724869351,0.22988487142263722,-0.36497403297289555,0.714727514580481,-0.34975348160758424,,,,,,,
2026,aug,calendar_sep,unweighted,market_dispersion,30,-0.14417320367823258,,,,,,,,,,,,,,-0.9511865121034427,0.20073360985747787,1.020810675366856
2026,aug,lead_matched,occupancy_weighted,apac,16,0.12424791883892199,0.498868165962559,0.3975178436521263,0.1036139903853147,0.4957073558815932,0.3907224112275097,0.11357023289089702,0.31608100809658035,0.6795432424616554,-0.9956242505582316,6.048555110584907,6.070741356864293,447660.0,384912.0,,,
2026,aug,lead_matched,occupancy_weighted,emea,4,-0.06858554169914405,0.44319361466878615,0.42590802733234756,0.1308983579988663,0.4593976320403435,0.41088750843761906,0.12971485952203743,-1.6204017371557355,1.5020518894728496,0.11834984768288592,7.419845396879635,7.298873034920142,422052.0,410257.0,,,
2026,aug,lead_matched,occupancy_weighted,latam,5,0.1388719318241231,0.5594441635872277,0.3647502023904941,0.07580563402227823,0.5474332679187127,0.3681615466071518,0.08440518547413546,1.2010895668514987,-0.34113442166576746,-0.8599551451857229,6.840015959823765,6.96642363055376,222485.0,169732.0,,,
2026,aug,lead_matched,occupancy_weighted,na,5,0.06338421512953932,0.6819601656700023,0.263854486159049,0.054185348170948694,0.6926375381432679,0.2444326153052009,0.06292984655153132,-1.0677372473265612,1.9421870853848082,-0.8744498380582624,5.031461653002298,5.096751066809345,151749.0,131569.0,,,
2026,aug,lead_matched,occupancy_weighted,global_10k_weighted,30,0.030867588219764173,0.5403650291371782,0.36345948464043665,0.0951754862223852,0.547611842901417,0.3513436572781124,0.10004449982047077,-0.7246813764238683,1.2115827362324239,-0.4869013598085581,,,,,,,
