severity,file,location,finding,fix
material,research/notes/reverse_dcf/D_sell-side-dispersion.md,"s.5 bullet 1; s.5 last para; s.7 closing; s.1 implicit","'Targets chase up, not down' rests on the last eight prints. Six down prints since 2022 (day-1 move -5% or worse) drew mean-target cuts averaging -3.8% at +20 sessions (2Q24 -14.1%, 19 cuts 0 raises); sign-split regression gives negative-change betas at least as large as positive (blocks 0.11/0.16/0.20 vs -0.03/0.16/0.01; daily NW 0.10/0.12/0.12 vs 0.05/0.13/0.07); 21-day falls over 15% are followed by -5.0% in the mean target over 42 sessions; 2Q25 had 6 cuts and 8 raises, not none","Reword to symmetric lagged chasing; print-day cuts rare; down prints after a run-up or wide pre-print discount give no net cut in 20 sessions. Invert the 'what would change the reading' paragraph: a 3-4% cut over 2-3 months is the base case after the 8-10 Sep fall. Add the 23-print table"
material,"analysis/src/reverse_dcf/D_02_revisions_positioning.py; data/processed/reverse_dcf/D/D_chase_regression.csv; note s.5 bullet 2",S_no = S.iloc[::L] (block offset 0 only),"Block regression depends on the offset: over 21 offsets R2 0.19-0.34, contemporaneous beta 0.035-0.111 (t 0.9-3.1, significant at 5% in 10 of 21), lag-1 0.09-0.19 (t 2.5-4.9), lag-2 0.06-0.12; offset 0 is the maximum R2 and near-minimum contemporaneous t. OLS SEs acceptable (DW 1.6-2.3, resid autocorr -0.10); HC1 lag-1 t 2.2-5.5","Loop over all 21 offsets and report mean and range; cite the Newey-West daily estimates (0.07/0.13/0.10) as the single number; drop 'contemporaneous response is small (t 1.5)'"
material,"note s.2, s.8 caveat 2; data/processed/reverse_dcf/D/D_live_targets_2026-09-12.csv; D_target_panel_daily.csv; D_print_revisions.csv",feed coverage,"yfinance feed misses whole firms (Gordon Haskett, Hold, $180 from $146 Aug 2026, no feed row since Jan 2023) and about a third of intermediate actions: 96 prior-target chain breaks, 17 since Sep 2025 on live-tape firms (Wedbush 130 then 'from 152' to 200; Evercore 155 then 'from 190'; Piper 132 then 'from 145'; BofA 146 then 'from 160'; B. Riley, Bernstein, Mizuho, Jefferies, Cantor, BMO, Baird, Truist, Goldman, Morgan Stanley). Print-window raise/cut counts are lower bounds; tape is 32 of a 40-46 universe","State the chain-break count and the Gordon Haskett omission in caveat 2; label n_raises and n_cuts as lower bounds; add a chain_break flag to the live-targets file"
material,"note s.1 bullet 2, s.4 Bernstein, s.4 summary; data/processed/reverse_dcf/D/D_analyst_own_multiples.csv",'25.5 times core earnings' tested against EBITDA,"25.5x is a P/E. $217 / 25.5 = $8.51 core EPS, 40% above management delivered FY27 $6.08 and 27% above ambition $6.68, i.e. out-year and/or ex-SBC earnings well above management's FY27 case. 'Every bull with a published number is at or below management's delivered operating case' fails for Bernstein","Recompute as P/E on core EPS; reword the Bernstein paragraph and the camps summary; keep the point that 12% revenue growth is consensus-like"
material,"note s.1 headline-table caption, s.2, s.6 reading","'ANCHOR inputs ... ADR +3.0%, FX -0.6pp, take rate flat'; 'consensus nights +8-9%, two points below delivered'","The decomposition terms are not in the brief; they are task-set JUDGEMENT. The nights gap is derived from revenue consensus under fixed ADR/FX/take rate; it is 1.0 point on the Zacks FY26 base and 2.0 on the delivered base, half of the FY27 revenue gap is the FY26 base (Zacks $14,100m vs delivered $14,231m), and the direct quarterly nights consensus (Bloomberg 3Q26 +11.1%, 4Q26 +10.1%) is 0.4 points below management","Relabel the decomposition JUDGEMENT; say 'one to two points, derived'; cite the Bloomberg quarterly nights consensus alongside"
minor,"note s.4 Raymond James; D_analyst_own_multiples.csv note field",'$178-184',"Nights +10% to +12% at 16.5x and 36.2% on the spot basis is $176.4 to $179.3",Correct the figures
minor,data/processed/reverse_dcf/D/D_thesis_quotes.csv,Rosenblatt KPI row,"Page reads 'Nights and seats booked growth accelerated to 10% year-over-year in the quarter'; CSV omits the word 'growth'",Restore the word
minor,"D_thesis_quotes.csv; note s.4 Goldman",7 Aug 2026 row labelled Neutral,"The 7 Aug MarketScreener headline carries no rating (verified); Neutral is by continuity from the verified 20 Jul headline 'Maintains Neutral Rating'",Say 'rating by continuity' in quote_type
minor,"note s.4 Morgan Stanley, s.8 caveat 2; D_analyst_actions_2026-09-12.csv",'cannot both be right',"MarketScreener and TheFly show $125 from $130 (May 2025), $130 from $125 (Jul 2025), $120 from $130 (Aug 2025), $125 from $120 (30 Jul 2026) and no Jan 2026 action; the feed's 13 Jan 2026 '$120 to $130' row is the spurious one. Feed also duplicates the Truist 12 Jun 2026 row","State which row is wrong; live $125 UW confirmed; note the duplicate"
minor,note s.7 reading,'on the 32-firm active tape it is 34-37%',"Hold-or-worse is 10/32 = 31.3% (feed as-is and corrected) and 13/35 = 37.1% including the three no-target firms",Correct to 31-37%
minor,note s.3 reading,"'Only three targets (Mizuho, BofA, Jefferies at $175 and Benchmark at $180)'",Four names listed,'four targets'
minor,note s.5 bullet 1,'The two -8% prints drew no cut in the mean target at all',"2Q25 drew 6 cuts (MS -7.7%, UBS -5.1%, Wedbush -3.7%, Jefferies -3.0%, Truist -1.9%, Wells -0.9%) and 8 raises; the mean was flat",'no net cut in the mean'
minor,"note s.7 reading, s.1",'none has measured predictive content',"In-sample correlations, n 13-78, no out-of-sample test; the one p 0.05 result (3m change in Buy share vs fwd 1m excess, r -0.24) is the right sign for a contrarian signal","'no detectable content at these sample sizes'; note the sign"
