id,severity,file,location,finding,fix
1,material,"A_02_market_implied_solves.py; research/notes/reverse_dcf/A_joint-solve.md","specs A-low / A-high (line rotated about sample means); headline table Band column; sections 1, 2.5, 4.3, 7.1","Band carries slope uncertainty only; intercept (level) uncertainty omitted, so the band collapses to 13.4-13.5 at $179.50 (the solve lands on the pivot) and reads 11.0-11.8 at $170.19 when the fitted-line 1 s.e. band is 10.1-12.9 FY27 (NTM 11.5-14.3); fitted-line s.e. is 0.74-1.74 turns across the tape","Compute se_fit = sqrt(x' V x) from the Newey-West covariance at the solved g and re-solve with the intercept shifted +/- se_fit; replace the column; quote the residual s.d. (2.95 turns, +/- 5pp of growth) once in the caveats"
2,material,"research/notes/reverse_dcf/A_joint-solve.md; data/processed/reverse_dcf/A/A_joint_solve.csv","section 1 headline 11.5% point; section 3.1; column fy27_growth_direct_fy27_basis_pct","FY27 point hides a 1.1pp mapping range at the price (chained-Street 10.4 vs proportional 11.5; base-consistent proportional 12.1); the direct FY27 basis (9.5) is a mis-specification (NTM-fitted multiple applied to an FY27 EBITDA 11.6% larger at the same g and at 36.2% not the 35.1% LTM margin the line was fitted on), not a third mapping","Headline FY27 as a range ($15.7-15.9bn, +10.4 to +11.5% on the Delivered FY26 base) with NTM 12.9% as the MEASURED number; drop or relabel the direct column as mis-specified; state that growth rates are on a fixed base and are a level index"
3,material,"research/notes/reverse_dcf/A_joint-solve.md; data/processed/reverse_dcf/A/A_nearest_case_by_price.csv","section 1 headline; section 5 nearest case","Headline growth is in guide-proxy units, which the note measures as 1.37pp above realised NTM growth (RMSE 2.9, n 12, sign unstable); the realised-units reading (FY27 about 9.5-10.5% at the price) moves the nearest case from team base to Street and is confined to section 2.3 and caveat 2","Carry the realised-units figure in the headline table at every price; say Street to team base at $170.19"
4,material,"research/notes/reverse_dcf/A_joint-solve.md; data/processed/reverse_dcf/A/A_headline.csv; A_implied_nights.csv","tail rows $150 and $220: FY27 growth, EBITDA, EPS, nights, nearest case","Tail figures compound slope uncertainty, the mapping choice (at $150: 1.4 chained / 7.2 proportional / 10.2 base-consistent; at $220: 30.8 / 21.2 / 16.2) and the fixed-base convention, yet are labelled MEASURED","Label tail FY27 and nights figures JUDGEMENT and quote as ranges (FY27 at $150: 5.8-10.2; at $220: 16.2-24.3); keep NTM growth with the fitted-line band as the MEASURED tail number"
5,minor,research/notes/reverse_dcf/A_joint-solve.md,"section 4.3 cross-check paragraph; section 1 Third","$1.40 a share per point of nights on a fixed 16x multiple is $1.54 at the price's 16.02x ($1.59 at 16.5x); $1.40 corresponds to 14.5x","Correct to about $1.50"
6,minor,research/notes/reverse_dcf/A_joint-solve.md,"section 1 First: about 60/40 at the price","Per pp of NTM growth at the price the EV move is 72% multiple (dlnM 2.24%) and 28% EBITDA (dlnEBITDA 0.89%); 60/40 is wrong in either direction","State about 70/30 multiple to EBITDA"
7,minor,"analysis/src/reverse_dcf/A_01_multiple_regressions.py; data/processed/reverse_dcf/A/A_regression_specs.csv; A_joint-solve.md","window_note first diff available Nov 2023; section 2.1 table 12m-change rows Nov 2023 to Sep 2026","EV/NTM EBITDA series starts Nov 2021 so the 12-month-change sample is Jan 2023 to Sep 2026 (n 45), not Nov 2023","Correct the window label"
8,minor,research/notes/reverse_dcf/A_joint-solve.md,"section 2.1 point 3; caveat 1","Rolling 24-month slope maximum +0.94 is the window ending Jan 2026 (Dec 2025 is +0.93)","Correct the date"
9,minor,"data/processed/reverse_dcf/A/A_regression_specs.csv; A_regression_loo.csv; A_regression_rolling.csv","column implied_fy27_growth_at_170.19_pct (9.54 for the primary spec)","Column is the direct FY27-basis solve, inconsistent with the note's proportional headline 11.51 for the same spec","Rename to implied_fy27_growth_direct_basis_pct or compute the proportional mapping"
10,minor,research/notes/reverse_dcf/A_joint-solve.md,"section 4.2 table, Residual row, 3Q26 Delivered / Team cell (-1.1 / -1.5)","-1.5 is WS29's guide-implied residual (nights 11.0, ADR 3.0, guide midpoint; 29_bridge_assumptions.csv), not the team base 3Q26 (nights 9.9, $4,771m), which is about -0.5 at ADR ex-FX 3.5; not in any A CSV","Relabel or recompute from the team's 3Q26 inputs and add to A_quarterly_consensus_decomposition.csv"
11,minor,"analysis/src/reverse_dcf/A_common.py; A_03_decomposition_comparison.py","Q3_25_TAKE uses 3Q25 GBV 22,892 (management model) while the history check uses the panel's 22,900","1bp difference in the 3Q25 take-rate baseline; immaterial","Note the source once"
