id,severity,file,location,what_is_wrong,evidence,fix,label
1,material,research/notes/reverse_dcf/C_reaction-function.md; data/processed/reverse_dcf/C/C_sorted_portfolios.csv,section 1 item 1; section 4 sorted-portfolio table; post2022 decelerating row,"The '0 of 8 decelerating prints positive, binomial p 0.008' depends on the QQQ-excess convention and one-decimal rounding; on raw close-to-close returns the bucket is 2 of 8 positive (p 0.29); three of the eight prints are within 1.6 pts of zero (2Q23 -0.04, 1Q25 -0.5 excess / +1.0 raw, 1Q26 -1.6 excess / +0.7 raw). The per-bucket binomial (two-sided vs 50%) is also not the test the claim needs; against the sample base rate of 0.29 positive it is p 0.068 one-sided","Auditor recomputation from C_print_panel.csv: excess 0/8, raw 2/8; Fisher exact accel-vs-decel positive p 0.007 (post-2022), 0.089 (3Q22-2Q26); Mann-Whitney 0.019 / 0.145","Quote both counts; replace the per-bucket binomial with the between-bucket Fisher / Mann-Whitney; do not write 'sold 8 of 8 times'",MEASURED
2,material,research/notes/reverse_dcf/C_reaction-function.md,section 1 item 1 ('confirms the predictive study ... on a cleaner panel'); section 3 pre-stated design; section 4,"The sign rule is a re-test on the same prints the predictive study used (no new observations) and it fails the workstream's own pre-stated selection rule on the pre-stated primary sample (3Q22-2Q26 n 16: t 1.4, LOO R2 -0.02, perm p 0.16); it passes only on the secondary post-2022 sample (n 14). None of the 17 pre-stated specs clears Holm (smallest threshold 0.0029; best p 0.040); the post-2022 result (p 0.013) is one of 36 primary-target univariate tests across samples (Holm threshold 0.0014, Bonferroni p 0.45)","C_univariate_tests.csv primary rows; auditor Holm table","Lead section 1 with both samples side by side; replace 'confirms' with 're-tests on the same prints and finds the same base rate'; state that the post-2022 result is secondary-sample and would not survive a multiplicity correction",MEASURED
3,material,analysis/src/reverse_dcf/C_01_print_panel.py; research/notes/reverse_dcf/C_reaction-function.md,nights_accel_sign definition (0.25-pt dead band); section 10 caveat 2,"The sign result is carried by two prints (3Q22 accelerated +0.30 pt just over the band and fell 10%; 4Q22 decelerated and rose 12.6%) and the dead-band choice; no sensitivity is reported. Post-2022 is stable for dead bands 0 to 1.0 pt (b 5.3-6.0, t 2.2-2.8, LOO +0.16 to +0.34); the primary sample is not significant at any dead band (t 1.3-1.6, LOO -0.04 to +0.03); both collapse at 1.5 pts","Auditor dead-band table in audit_C.md finding 3","Add the dead-band sensitivity rows (0 / 0.25 / 0.5 / 1.0) to section 4 and name the prints that move",MEASURED
4,material,research/notes/reverse_dcf/C_reaction-function.md; data/processed/reverse_dcf/C/C_guide_direction_coding.csv,section 1 item 2; section 5,"'Guide direction vs printed rate does not move the stock' is a power statement: 3 accelerating guides in 16 (2Q23 0.0, 3Q24 -8.8, 2Q26 +16.3), 11 decelerating by construction (standard 'moderate relative to' language; every Q4 print guides a hard Q1 comp). 2Q26 'low double-digit' vs a 10.34% print is as reasonably coded stable (10.34 is low double-digit); recoding it removes the one positive accelerating-guide observation. t 0.3 cannot distinguish +1 per step from 0 or +5","Label distribution 3 / 2 / 11 primary, 5 / 3 / 11 on 19 coded prints; quotes verified against the guidance ledger and four letters","Re-label as 'not detectable on 3 accelerating guides; label distribution 3/2/11 by construction; the variable that carries information is the guide vs Street'; note 2Q26 as contestable",JUDGEMENT relabel
5,material,research/notes/reverse_dcf/C_reaction-function.md; data/processed/reverse_dcf/C/C_scenarios.csv,section 1 item 8; section 7 scenarios; one-line synthesis,"The team-base expected reaction (-4% to -8.5%) is conditional on a decelerating print. The team's nowcast (9.5-10.0, band 8.5-11.0) puts roughly 13-20% of its mass above the 10.6% accelerating threshold and 17-22% in the flat zone; the Street is at 11.1 and the company has beaten guide 19 of 19 times. Unconditional expectation under S1 is about -2 to -2.5%; under S2 with the team guide in every state about -6 to -7%. The bootstrap p10/p90 (-11.3 / -6.1) is the sampling range of the fitted mean, not the realised move (residual sd 7.3); '0% of refits positive' is near-automatic when the decelerating bucket mean is -3.6 with 1 of 9 positive","docs/q3nowcast/SYNTHESIS.md band; auditor normal-mixture calculation (JUDGEMENT on shape)","Add an unconditional row to C_scenarios.csv with P(accelerating) as an explicit input; rewrite the one-liner as 'conditional on a decelerating print ... roughly one-in-six chance of acceleration'; state what the bootstrap range is and is not",MEASURED conditional / JUDGEMENT unconditional
6,material,analysis/src/reverse_dcf/C_03_breakeven.py; research/notes/reverse_dcf/C_reaction-function.md; data/processed/reverse_dcf/C/C_breakeven_zero_contour.csv,S2 / M6 coefficients; section 7 contour and scenarios; section 1 item 7,"The two-variable breakeven function is post-hoc (M6 added after univariate results) and its guide-vs-Street coefficient is fragile: drop 2Q24 and LOO R2 is +0.007; drop 4Q22 -0.008; drop 2Q24 and 2Q26 b 1.4 t 1.2 LOO -0.13; fails the pre-stated rule on n 14 and n 19. With Zacks $3,200m instead of Bloomberg $3,154m the Street scenario flips +2.0% to -1.0%, management delivered +0.4% to -2.5%, team base -8.5% to -11.5%. The contour's 'implied 4Q26 nights guide' (~14% / ~16%) uses 1 pt = 1% of revenue anchored on management delivered, but the team's own base case (8.9% at $3,111m vs 10.5% at $3,130m) implies 0.4% per point, 2.5x smaller","Auditor leave-out fits; C_scenarios.csv E_S2_ex_reopening_zacks_pct column; arithmetic on the anchors","Make S1 (sign only) the headline conditional number (-4.0% / -6.1%); present S2 as post-hoc and illustrative; print the Zacks column beside Bloomberg in the scenarios table; drop or restate the implied-nights column on the team's elasticity",MEASURED / post-hoc
7,material,research/notes/reverse_dcf/C_reaction-function.md,section 1 items 6 and 8; one-line synthesis,"The conditional expectation lives entirely in the overnight gap (decelerating prints ex-reopening gap -5.3% and retrace +1.7% intraday, 9 of 9; accelerating gap +4.9% and give back -1.6%, 4 of 6). The note says 'not a trade' but the one-liner ('worth roughly -4% to -9% on the day') reads as a return. Capturing it requires a position held through the print, i.e. a bet on the nowcast being on the correct side of 10.1-10.6% and on a 15th observation obeying the rule; the intraday retrace argues for covering at the open","C_print_panel.csv gap_excess_pct and ret_1d_open_excess_pct by sign","Rewrite the one-liner: 'close-to-close excess, conditional on a decelerating print, captured only by a pre-print position; nothing capturable after the open'",MEASURED
8,minor,research/notes/reverse_dcf/C_reaction-function.md,section 4 sorted-portfolio table row '3Q22-2Q26 spread MW p',"Note says Mann-Whitney p 0.11; C_sorted_portfolios.csv row 31 and auditor recomputation give 0.145 (Welch 0.197)","C_sorted_portfolios.csv; scipy mannwhitneyu exact","Correct the table to 0.145",MEASURED
9,minor,analysis/src/reverse_dcf/C_01_print_panel.py; data/processed/reverse_dcf/C/C_univariate_tests.csv,guide_vs_street_pct for 2021Q4; 'all' sample rows,"4Q21 guide-vs-Street +16.5% is an unattributed CNBC number the source file flags low-confidence; it enters the all-sample regressions unwinsorised and drives the all-sample guide-vs-Street (b +0.78, t 1.8) and M6 rows. Not in the primary sample","16_consensus_at_print_merged.csv notes column","Clip or set to NaN in the all sample and say so",MEASURED
10,minor,analysis/src/reverse_dcf/C_01_print_panel.py,target column source (abnb_earnings_reactions.csv excess_1d_pct),"Primary target is rounded to one decimal (2Q23 stored as -0.0; full-precision -0.036 exists in 20_executable_returns.csv legacy_1d_pct and B's file)","Comparison of the two files","Use legacy_1d_pct (same quantity, full precision) as the target",MEASURED
11,minor,research/notes/reverse_dcf/C_reaction-function.md,section 1 item 1 wording,"'The only print variable that does so in every sample' overstates: the sign coefficient is positive in all three samples (+3.4, +3.5, +5.7) but significant and rule-passing in one. 'Threshold not slope' is under-powered: points Spearman 0.20 (p 0.45) n 16, 0.38 (p 0.19) n 14","C_univariate_tests.csv; auditor Spearman","'Positive in every sample, significant in one; the points version is not significant at n 14, a power limit as much as a finding'",JUDGEMENT relabel
12,minor,analysis/src/reverse_dcf/C_03_breakeven.py,REV_PER_NIGHT_PT and rev4_from_nights; ex-NA lap scenario,"Mapping 1 pt nights = 1% revenue anchored on management delivered; the team's own bridge implies about 0.4% per point, so mapped scenarios (ex-NA lap 8.1% -> $3,055m; nowcast 9.75% -> $3,107m) overstate the revenue swing","Team base 8.9% / $3,111m vs delivered 10.5% / $3,130m","Take team revenue from the WS29/30 files or state the elasticity used is 2.5x the team's",JUDGEMENT
13,minor,data/processed/reverse_dcf/B/B_reconcile_reaction_files.csv; data/processed/reverse_dcf/B/B_print_base_rates.csv,cc_1d_pct column; nights accel / decel rows,"B's cc_1d_pct is the QQQ-excess legacy_1d_pct (matches 20_executable_returns exactly), mislabelled as close-to-close; B's reconcile compares it to the raw abnb_1d_pct. B's 6/2 and 1/10 counts are 19 prints with no dead band; C's 7 (5 positive) / 10 (1 positive) differ only by 1Q22 and 3Q24 being flat under C's 0.25-pt band. Fully reconciled. Task's '6 of 6' is not a C claim (C: 4 of 5 post-2022, 4 of 6 primary)","Auditor count from C_print_panel.csv vs B_print_moves.csv","Relabel B's column; synthesis should say the two workstreams use the same excess return series with a different dead band",MEASURED
