id,severity,file,location,finding,fix
1,material,"analysis/src/reverse_dcf/market_implied_model.py; model/ABNB_market_implied.xlsx; data/processed/reverse_dcf/market/market_implied_params.json","builder lines 82-89 and 289-290 and 383; Inputs B35-B36; Print_5Nov column I; params.json event_sd","B_headline.csv stores event_sd_central_pct and event_exp_abs_move_central_pct as strings (9.5 (range 8.5-10.5; ...)); bval() returns NaN; Inputs cells empty; Print_5Nov 'Options-implied event sd' reads 0 in all nine rows; params.json event_sd NaN. Workbook does not carry the 9.5%","Parse the leading number (float(str(v).split()[0])) or have B write numeric rows; rebuild; confirm Print_5Nov column I reads 9.5"
2,material,"analysis/src/reverse_dcf/market_implied_model.py; research/notes/2026-09-13_market-implied-model.md; data/processed/reverse_dcf/market/*.csv; model/ABNB_market_implied.xlsx","builder lines 160 and 183; note section 3 caption and P(above) column, section 7 P(above) column; Market_Implied S, Cases I, Comparison H","P(above) column is p_above_12m_skew_rnd while the caption says lognormal; section 4 of the same note uses lognormal (0.41 vs 0.43 at $179.5). Audit B asked for lognormal as headline","Switch interp_p_above to p_above_12m_lognormal and rebuild (0.75/0.59/0.50/0.49/0.46/0.41/0.38/0.32/0.25/0.23), update sections 3 and 7; or relabel every caption skew-adjusted RND"
3,material,research/notes/2026-09-13_market-implied-model.md,"section 5 first table, row 'Printed nights acceleration, sign'","'(6 of 6 positive on excess)'; C_sorted_portfolios.csv post-2022 accelerating bucket is 4 of 5 positive (n 5); n 16 bucket is 4 of 6; audit C said '6 of 6' is not a C claim","'4 of 5 positive on excess (4 of 6 on the n 16 sample)'"
4,material,"analysis/src/reverse_dcf/market_implied_model.py; research/notes/2026-09-13_market-implied-model.md; model/ABNB_market_implied.xlsx; data/processed/reverse_dcf/market/market_implied_print_scenarios.csv","builder lines 195-196; note section 5 scenario table rows 2-3; Print_5Nov rows 6-7","Ex-NA lap scenario uses 4Q26 guide $3,055m (H-note 1%/pt mapping retired by audit C finding 12) and nowcast-central uses $3,107m (no source); C_scenarios.csv has $3,102m (-1.7%, S2 -9.2%) and $3,121m (-1.0%, S2 -7.9%); note prints -3.1%/-12.2% and -1.5%/-8.8%","Read rev_guide_4q26_musd from C_scenarios.csv (3,102 and 3,121), rebuild, correct the note table"
5,material,docs/reverse_dcf/SYNTHESIS.md,"section 1, second paragraph","'The three views agree on FY27 revenue within a point': market 10.4-11.5% vs Delivered 12.6% is 1.1-2.2pp; vs sell-side mean on the joint solve (14.0%) 2.5-3.6pp; A's note says 1.1 to 2.2pp","'within one to two points of growth ($15.7-15.9bn vs $16.0bn); the sell-side mean is Delivered plus one'"
6,material,"research/notes/2026-09-13_market-implied-model.md; data/processed/reverse_dcf/market/market_implied_comparison.csv","section 7 table 'Sell-side mean target $182' row; section 3 table label 'mean target' at $179.5","$182 row is not in market_implied_comparison.csv (which carries $179.5: 13.4%/$16.1bn/$5.8bn/10.8%/16.7x/0.43); derivable from SellSide sheet mean row but 16.8x should be 16.9x (99,136/5,870) and 0.41 is skew-RND; section 3 calls $179.5 the mean while 6/7 use $182","Add a $182 row to Comparison sheet and CSV fed from SellSide mean row, or use $179.5 in section 7; fix 16.9x"
7,minor,research/notes/2026-09-13_market-implied-model.md,"section 3 table, $125.5 row","EV/FY27 EBITDA 12.3x; market_implied_by_price.csv 12.48x",12.5x
8,minor,research/notes/2026-09-13_market-implied-model.md,"section 6 table, min row","Joint-solve FY27 growth 'about 0%' at $125; SellSide sheet 1.49%",'about 1.5%'
9,minor,research/notes/2026-09-13_market-implied-model.md,"section 5, paragraph after scenario table","'residual sd of the reaction function is 7.3 points' is S2 (illustrative); S1 is 8.8 (n 16) / 6.9 (n 14) per C_coefficients_used.csv","'7 to 9 points (S1 8.8 / 6.9; S2 7.3)'"
10,minor,model/ABNB_market_implied.xlsx,"Print_5Nov A2; Inputs C33","Print caption says unconditional 'about -2 to -2.5%' where note and C_unconditional.csv say -1.9 to -3.5; Inputs c_S1 source says 'perm p 0.013' where C_coefficients_used.csv says 0.017","'-2 to -3.5%'; 'perm p 0.017'"
