vintage_date,quarter,guide_type,direction,realised_yoy_pp,quote
2023-02-14,2023Q1,ceiling,-1,-0.7648054453720956,
2023-05-09,2023Q2,ceiling,-1,-0.8200427110862947,
2023-08-03,2023Q3,floor,1,3.475883805172046,
2023-11-01,2023Q4,floor,1,6.6696439323041865,
2024-02-13,2024Q1,floor,1,5.383143356352438,
2024-05-08,2024Q2,ceiling,-1,-0.4382634010505697,
2024-08-06,2024Q3,ceiling,-1,-1.5236475283500042,
2024-11-07,2024Q4,ceiling,-1,-2.426444922772621,
2025-02-13,2025Q1,ceiling,-1,-1.4407112610302306,
2025-05-01,2025Q2,ceiling,-1,1.155879399253017,
2025-08-06,2025Q3,ceiling,-1,-2.379696045290892,
2025-11-06,2025Q4,ceiling,-1,-2.5530376924684717,
2026-02-12,2026Q1,point,0,1.0262611892414988,
2026-05-07,2026Q2,floor,1,1.2614803737889417,
