scenario,sentence,level_pct,quarter,ytd_rev,ytd_ebitda,q3_margin_assumed_pct,ytd_margin_pct,fy_sentence_level_pct,rev4,rev4_source,q4_margin_implied_pct,q4_ebitda_implied_musd
base,predicted: approximately 36.0%,36.0,2026Q4,11090.0355,4133.977395,49.0,37.27650281191615,36.0,3178.1078,ws06_v2b,31.545632058169954,1002.5541929999999
base,predicted: approximately 36.0%,36.0,2026Q4,11090.0355,4157.9975725,49.5,37.493095243022445,36.0,3178.1078,ws06_v2b,30.78983083896649,978.5340154999994
base,predicted: approximately 36.0%,36.0,2026Q4,11090.0355,4186.8217855,50.1,37.75300616034998,36.0,3178.1078,ws06_v2b,29.88286937592235,949.7098024999996
bear,predicted: approximately 36.0%,36.0,2026Q4,11041.0,4109.95,49.0,37.22443619237388,36.0,3123.807,ws06_v2b,31.672267844972517,989.3805200000006
bear,predicted: approximately 36.0%,36.0,2026Q4,11041.0,4133.725,49.5,37.43976994837425,36.0,3123.807,ws06_v2b,30.911177291042634,965.6055200000001
bear,predicted: approximately 36.0%,36.0,2026Q4,11041.0,4162.255,50.1,37.698170455574676,36.0,3123.807,ws06_v2b,29.997868626326795,937.0755200000003
bull,predicted: approximately 36.0%,36.0,2026Q4,11164.0,4170.219999999999,49.0,37.354174131135785,36.0,3227.9366,ws06_v2b,31.316512722090046,1010.8771760000009
bull,predicted: approximately 36.0%,36.0,2026Q4,11164.0,4194.610000000001,49.5,37.57264421354354,36.0,3227.9366,ws06_v2b,30.5609216736165,986.4871759999996
bull,predicted: approximately 36.0%,36.0,2026Q4,11164.0,4223.878000000001,50.1,37.83480831243283,36.0,3227.9366,ws06_v2b,29.654212415448296,957.2191759999996
base,floor held 35.5%,35.5,2026Q4,11090.0355,4133.977395,49.0,37.27650281191615,35.5,3178.1078,ws06_v2b,29.300877600816438,931.2134765000001
base,floor held 35.5%,35.5,2026Q4,11090.0355,4157.9975725,49.5,37.493095243022445,35.5,3178.1078,ws06_v2b,28.54507638161297,907.1932989999996
base,floor held 35.5%,35.5,2026Q4,11090.0355,4186.8217855,50.1,37.75300616034998,35.5,3178.1078,ws06_v2b,27.638114918568828,878.3690859999997
bear,floor held 35.5%,35.5,2026Q4,11041.0,4109.95,49.0,37.22443619237388,35.5,3123.807,ws06_v2b,29.40503318546889,918.5564850000001
bear,floor held 35.5%,35.5,2026Q4,11041.0,4133.725,49.5,37.43976994837425,35.5,3123.807,ws06_v2b,28.643942631539,894.7814849999995
bear,floor held 35.5%,35.5,2026Q4,11041.0,4162.255,50.1,37.698170455574676,35.5,3123.807,ws06_v2b,27.73063396682317,866.2514849999998
bull,floor held 35.5%,35.5,2026Q4,11164.0,4170.219999999999,49.0,37.354174131135785,35.5,3227.9366,ws06_v2b,29.08723464395183,938.9174930000008
bull,floor held 35.5%,35.5,2026Q4,11164.0,4194.610000000001,49.5,37.57264421354354,35.5,3227.9366,ws06_v2b,28.33164359547829,914.5274929999996
bull,floor held 35.5%,35.5,2026Q4,11164.0,4223.878000000001,50.1,37.83480831243283,35.5,3227.9366,ws06_v2b,27.42493433731008,885.2594929999996
base,bull: approximately 36.5%,36.5,2026Q4,11090.0355,4133.977395,49.0,37.27650281191615,36.5,3178.1078,ws06_v2b,33.79038651552347,1073.8949094999998
base,bull: approximately 36.5%,36.5,2026Q4,11090.0355,4157.9975725,49.5,37.493095243022445,36.5,3178.1078,ws06_v2b,33.03458529632001,1049.8747319999993
base,bull: approximately 36.5%,36.5,2026Q4,11090.0355,4186.8217855,50.1,37.75300616034998,36.5,3178.1078,ws06_v2b,32.12762383327587,1021.0505189999994
bear,bull: approximately 36.5%,36.5,2026Q4,11041.0,4109.95,49.0,37.22443619237388,36.5,3123.807,ws06_v2b,33.93950250447612,1060.2045550000003
bear,bull: approximately 36.5%,36.5,2026Q4,11041.0,4133.725,49.5,37.43976994837425,36.5,3123.807,ws06_v2b,33.178411950546234,1036.4295549999997
bear,bull: approximately 36.5%,36.5,2026Q4,11041.0,4162.255,50.1,37.698170455574676,36.5,3123.807,ws06_v2b,32.2651032858304,1007.899555
bull,bull: approximately 36.5%,36.5,2026Q4,11164.0,4170.219999999999,49.0,37.354174131135785,36.5,3227.9366,ws06_v2b,33.54579080022826,1082.836859000001
bull,bull: approximately 36.5%,36.5,2026Q4,11164.0,4194.610000000001,49.5,37.57264421354354,36.5,3227.9366,ws06_v2b,32.79019975175472,1058.4468589999997
bull,bull: approximately 36.5%,36.5,2026Q4,11164.0,4223.878000000001,50.1,37.83480831243283,36.5,3227.9366,ws06_v2b,31.88349049358651,1029.1788589999996
