h,window,n,rmse_carry,rmse_mean,rmse_ar1,mean_vs_carry,ar1_vs_carry,targets,registered,mean_wins
1,targets 1Q24+,10,0.7840876300485826,0.7575920496364472,0.9665177990862807,0.9662083938111692,1.2326655364099985,1Q24..2Q26,False,True
1,targets 1Q25+,6,0.48046640860448336,0.7963282829411776,0.7368685766368387,1.6574067794960243,1.5336526413512996,1Q25..2Q26,False,False
2,targets 1Q24+,9,1.0473109380747199,0.8247409184612704,1.2658296391311914,0.7874842976216769,1.2086473969785672,2Q24..2Q26,False,True
2,targets 1Q25+,6,0.8015790948645682,0.8325907158248124,0.9254231373526728,1.0386881608551477,1.1545000902362963,1Q25..2Q26,False,False
3,targets 1Q24+,8,0.988317764408707,0.7749694480909728,1.1460505396742446,0.7841298375878362,1.159597227679001,3Q24..2Q26,False,True
3,targets 1Q25+,6,0.9999267522119019,0.8387735820320963,0.9564512860365122,0.8388350248422453,0.9565213491096031,1Q25..2Q26,False,True
4,targets 1Q24+,7,1.2323715089473215,0.8362739243926405,1.3674415201878065,0.6785891416030679,1.1096016990492261,4Q24..2Q26,False,True
4,targets 1Q25+,6,1.0739811663350465,0.840040864154137,1.0056371547168725,0.7821746698042861,0.9363638639480081,1Q25..2Q26,False,True
5,targets 1Q24+,6,1.0254466468177386,0.8287737972454543,1.3251008355903335,0.8082076232999369,1.2922182150602468,1Q25..2Q26,True,True
5,targets 1Q25+,6,1.0254466468177386,0.8287737972454543,1.3251008355903335,0.8082076232999369,1.2922182150602468,1Q25..2Q26,True,True
6,targets 1Q24+,5,0.9281915227911877,0.9214911549066463,1.4167684057083942,0.9927812658055823,1.5263750755318202,2Q25..2Q26,True,True
6,targets 1Q25+,5,0.9281915227911877,0.9214911549066463,1.4167684057083942,0.9927812658055823,1.5263750755318202,2Q25..2Q26,True,True
