rule,v2_3Q26,v2_4Q26,v3_3Q26,v3_4Q26,v3_fxV1_3Q26,v3_fxV1_4Q26,d_3Q26,v3_vs_street_3Q26,d_4Q26,v3_vs_street_4Q26
core mean reversion to the 2023-25 mean,175.19524499121164,170.6029328032933,174.88689021638817,170.30138275173928,174.2262012417128,169.91442573008416,-0.30835477482347073,-2.173109783611835,-0.3015500515540168,-1.0286172482607299
AR(1) fitted on core,177.29773862047358,172.3788885005477,176.2701647009397,171.05483426013816,175.60947572626432,170.66787723848304,-1.0275739195338929,-0.7898352990603144,-1.324054240409538,-0.27516573986184767
lap-only (K4 residual steps): every 2025-26 residual step laps at its anniversary,176.9871287134339,171.70514860329325,176.89398117170762,171.6140566264437,176.23329219703226,171.22709960478855,-0.09314754172626749,-0.1660188282923798,-0.09109197684955461,0.2840566264436859
base + sub-regional + composition tilt B (EMEA 5 / LatAm 30 / APAC 25) — retired by upgrade 2,176.79302500436333,172.17794192295722,176.8711792930293,172.2543715154287,176.21049031835392,171.86741449377357,0.07815428866595653,-0.1888207069707164,0.07642959247147019,0.9243715154286747
"base + sub-regional country mix (v2 H3, Inside Airbnb panel)",177.44617906655745,172.78813191077424,177.5243333552234,172.86456150324568,176.86364438054804,172.47760448159056,0.07815428866595653,0.4643333552234026,0.07642959247144177,1.5345615032456692
base: core carry + bundle laps (nights-linked geo),177.68122194149538,173.0340496165458,177.5880743997691,172.9429576396962,176.92738542509375,172.55600061804108,-0.09314754172626749,0.5280743997691104,-0.09109197684958303,1.6129576396961909
full lap: ex-NA RNPL sized at the 1H26 residual steps,177.68122194149538,173.0340496165458,177.5880743997691,172.9429576396962,176.92738542509375,172.55600061804108,-0.09314754172626749,0.5280743997691104,-0.09109197684958303,1.6129576396961909
base + sub-regional + measured origin-destination tilt (upgrade 2: EMEA 10.5 / LatAm 16.4 / APAC 14.9),177.89709352906203,173.19197636903988,177.975247817728,173.26840596151135,177.31455884305262,172.88144893985623,0.07815428866595653,0.9152478177279875,0.07642959247147019,1.9384059615113358
base + fee-migration K line (DEC-0008 sensitivity),177.97498429149536,173.6613745665458,177.8818367497691,173.5702825896962,177.22114777509373,173.18332556804106,-0.09314754172626749,0.8218367497690906,-0.09109197684958303,2.240282589696193
"card v3: last_q residual carry, no lap (card geo)",178.32410571482023,174.55368729156143,178.4566436699055,174.6833004205026,177.79595469523014,174.29634339884743,0.13253795508526878,1.396643669905501,0.12961312894117327,3.353300420502592
