quarter,adr_usd,reported_yoy,fx_pp,exfx_yoy,geo_mix,unit_size,los_mix,seats,interaction,residual,bundle,core,basis
1Q23,168.43,0.2141964657583317,-2.8,3.0,-1.351797894609108,0.4620912842772667,0.4626252943505493,0.0,-0.0494786368971566,3.4765599528784485,0.0,3.4765599528784485,"history (H decomposition, disclosed letter figures)"
2Q23,166.01,1.3863442042262086,-0.6,2.0,-0.9030804532740522,0.3621440282039081,0.1183751453729842,0.0,-0.0494786368971566,2.4720399165943165,0.0,2.4720399165943165,"history (H decomposition, disclosed letter figures)"
3Q23,161.38,3.1577601636410213,2.7,0.5,-1.167207984169072,0.4098973686879872,0.3015954388247532,0.0,-0.0494786368971566,1.005193813553488,0.0,1.005193813553488,"history (H decomposition, disclosed letter figures)"
4Q23,156.73,2.565277141548328,2.1,0.5,-0.939076865441546,0.2906539573280417,0.3639387380400816,0.0,-0.0494786368971566,0.8339628069705792,0.0,0.8339628069705792,"history (H decomposition, disclosed letter figures)"
1Q24,172.88,2.642047141245607,0.6,2.0,-1.325072509344749,0.9633505413705318,0.2125302124850181,0.0,-0.1065834527970392,2.2557752082862383,0.0,2.2557752082862383,"history (H decomposition, disclosed letter figures)"
2Q24,169.53,2.120354195530405,-0.9,3.0,-1.131644617522953,0.7721595803184097,0.2316928734386047,0.0,-0.1065834527970392,3.234375616562978,0.0,3.234375616562978,"history (H decomposition, disclosed letter figures)"
3Q24,163.64,1.40042136572065,-0.6,2.0,-1.1196157663853512,0.8903157468661863,0.2526948668717388,0.0,-0.1065834527970392,2.083188605444465,0.0,2.083188605444465,"history (H decomposition, disclosed letter figures)"
4Q24,158.13,0.8932559178204569,-1.1,2.0,-1.791887454358232,0.7066747659259102,0.4315510396297295,0.0,-0.1065834527970392,2.760245101599631,0.0,2.760245101599631,"history (H decomposition, disclosed letter figures)"
1Q25,171.34,-0.8907913003239232,-1.9,1.0,-1.8943503003307605,0.6690991824547088,0.2787347156817832,-0.1765366347734276,-0.1083206075608631,2.231373644528559,0.0,2.231373644528559,"history (H decomposition, disclosed letter figures)"
2Q25,174.48,2.9198371969562764,1.9,1.0,-1.7015904262112749,0.7324103132323075,0.3484146139979049,-0.1765366347734276,-0.1083206075608631,1.905622741315353,0.0,1.905622741315353,"history (H decomposition, disclosed letter figures)"
3Q25,171.29,4.674896113419713,2.7,2.0,-1.5932340599689845,0.7481509563315145,0.3076491557727268,-0.1765366347734276,-0.1083206075608631,2.8222911901990337,0.5111111111111111,2.3111800790879227,"history (H decomposition, disclosed letter figures)"
4Q25,167.51,5.931828242585202,2.9,3.0,-1.457397157766538,0.8224227396698655,0.2210184783094426,-0.1765366347734276,-0.1083206075608631,3.69881318212152,1.0,2.69881318212152,"history (H decomposition, disclosed letter figures)"
1Q26,186.82,9.0346679117544,5.0,4.0,-1.0430677435334657,0.9450489445563696,0.3,-0.4825701517057523,-0.1,4.380588950682848,1.0,3.3805889506828484,"history (H decomposition, disclosed letter figures)"
2Q26,183.73,5.30146721687299,1.3,4.0,-1.2672243932303706,0.7004681684496338,0.3,-0.4825701517057523,-0.1,4.84932637648649,1.0,3.8493263764864896,"history (H decomposition, disclosed letter figures)"
