quarter,rnpl_na_leg,fee_cancel_leg,rnpl_exna_leg,bundle_total
1Q23,0.0,0.0,0.0,0.0
2Q23,0.0,0.0,0.0,0.0
3Q23,0.0,0.0,0.0,0.0
4Q23,0.0,0.0,0.0,0.0
1Q24,0.0,0.0,0.0,0.0
2Q24,0.0,0.0,0.0,0.0
3Q24,0.0,0.0,0.0,0.0
4Q24,0.0,0.0,0.0,0.0
1Q25,0.0,0.0,0.0,0.0
2Q25,0.0,0.0,0.0,0.0
3Q25,0.5111111111111111,0.0,0.0,0.5111111111111111
4Q25,0.5111111111111111,0.48888888888888893,0.0,1.0
1Q26,0.5111111111111111,0.48888888888888893,0.0,1.0
2Q26,0.5111111111111111,0.48888888888888893,0.0,1.0
3Q26,0.0,0.48888888888888893,0.0,0.48888888888888893
4Q26,0.0,0.0,0.0,0.0
1Q27,0.0,0.0,0.0,0.0
2Q27,0.0,0.0,0.0,0.0
3Q27,0.0,0.0,0.0,0.0
4Q27,0.0,0.0,0.0,0.0
