country,region,q,n_cur,n_prior,n_mkts,stays_yoy_pct,quarter
argentina,LatAm,2016Q1,7935.0,5787.0,1,37.11767755313633,1Q16
argentina,LatAm,2016Q2,6843.0,5007.0,1,36.668663870581184,2Q16
argentina,LatAm,2016Q3,9111.0,6054.0,1,50.49554013875124,3Q16
argentina,LatAm,2016Q4,12282.0,8277.0,1,48.38709677419355,4Q16
argentina,LatAm,2017Q1,11919.0,8793.0,1,35.551006482429216,1Q17
argentina,LatAm,2017Q2,12900.0,7527.0,1,71.38302112395377,2Q17
argentina,LatAm,2017Q3,15330.0,10248.0,1,49.590163934426236,3Q17
argentina,LatAm,2017Q4,19167.0,13449.0,1,42.51617220611197,4Q17
argentina,LatAm,2018Q1,18873.0,13251.0,1,42.42698664251754,1Q18
argentina,LatAm,2018Q2,19146.0,14157.0,1,35.240517058698885,2Q18
argentina,LatAm,2018Q3,23781.0,16839.0,1,41.22572599323,3Q18
argentina,LatAm,2018Q4,32352.0,20718.0,1,56.15406892557198,4Q18
argentina,LatAm,2019Q1,32061.0,20274.0,1,58.13850251553714,1Q19
argentina,LatAm,2019Q2,34218.0,20340.0,1,68.23008849557522,2Q19
argentina,LatAm,2019Q3,41880.0,25764.0,1,62.55239869585467,3Q19
argentina,LatAm,2019Q4,49044.0,34512.0,1,42.107093184979135,4Q19
argentina,LatAm,2020Q1,39141.0,34140.0,1,14.64850615114235,1Q20
argentina,LatAm,2020Q2,2391.0,36453.0,1,-93.44086906427455,2Q20
argentina,LatAm,2020Q3,1971.0,45003.0,1,-95.62029198053463,3Q20
argentina,LatAm,2020Q4,5937.0,52614.0,1,-88.71593112099441,4Q20
argentina,LatAm,2021Q1,10344.0,42342.0,1,-75.57035567521609,1Q21
argentina,LatAm,2021Q2,8205.0,2658.0,1,208.69074492099324,2Q21
argentina,LatAm,2021Q3,11970.0,2247.0,1,432.7102803738318,3Q21
argentina,LatAm,2021Q4,27495.0,6531.0,1,320.99219108865407,4Q21
argentina,LatAm,2022Q1,42519.0,11427.0,1,272.09241270674715,1Q22
argentina,LatAm,2022Q2,56232.0,8757.0,1,542.1377183967112,2Q22
argentina,LatAm,2022Q3,72609.0,13131.0,1,452.95864747543976,3Q22
argentina,LatAm,2022Q4,100653.0,29931.0,1,236.28345193946078,4Q22
argentina,LatAm,2023Q1,96303.0,46536.0,1,106.94301186178441,1Q23
argentina,LatAm,2023Q2,113994.0,62328.0,1,82.8937235271467,2Q23
argentina,LatAm,2023Q3,144333.0,80433.0,1,79.44500391630301,3Q23
argentina,LatAm,2023Q4,179268.0,113274.0,1,58.2605010858626,4Q23
argentina,LatAm,2024Q1,158253.0,109941.0,1,43.943569732856716,1Q24
argentina,LatAm,2024Q2,131064.0,129381.0,1,1.3008092378324454,2Q24
argentina,LatAm,2024Q3,166062.0,165237.0,1,0.4992828482724754,3Q24
argentina,LatAm,2024Q4,207435.0,205191.0,1,1.0936152170416769,4Q24
argentina,LatAm,2025Q1,190230.0,181305.0,1,4.922644163150491,1Q25
argentina,LatAm,2025Q2,200676.0,149988.0,1,33.79470357628611,2Q25
argentina,LatAm,2025Q3,211243.0,168514.0,1,25.356350214225532,3Q25
argentina,LatAm,2025Q4,197460.0,159690.0,1,23.65207589705054,4Q25
argentina,LatAm,2026Q1,185926.0,147300.0,1,26.222674813306178,1Q26
argentina,LatAm,2026Q2,194128.0,155830.0,1,24.576782391067198,2Q26
australia,APAC,2016Q1,53619.0,23550.0,11,127.68152866242039,1Q16
australia,APAC,2016Q2,46695.0,22404.0,11,108.42260310658811,2Q16
australia,APAC,2016Q3,58902.0,28971.0,11,103.31365848607228,3Q16
australia,APAC,2016Q4,85959.0,44964.0,11,91.17293835068054,4Q16
australia,APAC,2017Q1,107025.0,60645.0,11,76.47786297303982,1Q17
australia,APAC,2017Q2,94716.0,52428.0,11,80.65918974593728,2Q17
australia,APAC,2017Q3,101538.0,66762.0,11,52.08951199784308,3Q17
australia,APAC,2017Q4,138747.0,97281.0,11,42.62497301631356,4Q17
australia,APAC,2018Q1,168252.0,120399.0,11,39.745346722148845,1Q18
australia,APAC,2018Q2,145407.0,106989.0,11,35.90836441129461,2Q18
australia,APAC,2018Q3,163131.0,115497.0,11,41.24262967869294,3Q18
australia,APAC,2018Q4,218697.0,156426.0,11,39.80859959341798,4Q18
australia,APAC,2019Q1,252318.0,190227.0,11,32.640476903909544,1Q19
australia,APAC,2019Q2,211266.0,164832.0,11,28.170500873616767,2Q19
australia,APAC,2019Q3,219306.0,185343.0,11,18.324403942959798,3Q19
australia,APAC,2019Q4,294936.0,249033.0,11,18.43249689800146,4Q19
australia,APAC,2020Q1,293484.0,286104.0,11,2.5794815871151844,1Q20
australia,APAC,2020Q2,76101.0,240168.0,11,-68.313430598581,2Q20
australia,APAC,2020Q3,157044.0,248238.0,11,-36.736518985812005,3Q20
australia,APAC,2020Q4,239757.0,334479.0,11,-28.319266680419396,4Q20
australia,APAC,2021Q1,298902.0,332907.0,11,-10.214564427903284,1Q21
australia,APAC,2021Q2,306174.0,86004.0,11,255.99972094321194,2Q21
australia,APAC,2021Q3,181953.0,177261.0,11,2.646944336317625,3Q21
australia,APAC,2021Q4,303204.0,271779.0,11,11.562703520139529,4Q21
australia,APAC,2022Q1,400635.0,338046.0,11,18.514935837134594,1Q22
australia,APAC,2022Q2,413628.0,346419.0,11,19.401072112095473,2Q22
australia,APAC,2022Q3,412158.0,207768.0,11,98.37414808825228,3Q22
australia,APAC,2022Q4,485226.0,345138.0,11,40.588981798584925,4Q22
australia,APAC,2023Q1,540330.0,456942.0,11,18.24914321730111,1Q23
australia,APAC,2023Q2,472029.0,473136.0,11,-0.23397078218524436,2Q23
australia,APAC,2023Q3,483549.0,473799.0,11,2.0578346514028123,3Q23
australia,APAC,2023Q4,598554.0,559500.0,11,6.980160857908846,4Q23
australia,APAC,2024Q1,696993.0,623562.0,11,11.776054345838904,1Q24
australia,APAC,2024Q2,568821.0,545886.0,11,4.20142667150285,2Q24
australia,APAC,2024Q3,602775.0,560712.0,11,7.501712108890124,3Q24
australia,APAC,2024Q4,758463.0,698286.0,11,8.617815622825042,4Q24
australia,APAC,2025Q1,816207.0,818856.0,11,-0.32350010258214157,1Q25
australia,APAC,2025Q2,694065.0,669084.0,11,3.733611923166591,2Q25
australia,APAC,2025Q3,652997.0,626458.0,11,4.23635742539803,3Q25
australia,APAC,2025Q4,639384.0,603282.0,11,5.984266064626498,4Q25
australia,APAC,2026Q1,688356.0,654702.0,11,5.140353932017927,1Q26
australia,APAC,2026Q2,562426.0,558244.0,11,0.7491347869390541,2Q26
austria,EMEA,2016Q1,5481.0,3357.0,1,63.27077747989276,1Q16
austria,EMEA,2016Q2,10701.0,7575.0,1,41.26732673267326,2Q16
austria,EMEA,2016Q3,13869.0,9012.0,1,53.8948069241012,3Q16
austria,EMEA,2016Q4,12597.0,7893.0,1,59.597111364500186,4Q16
austria,EMEA,2017Q1,9060.0,6330.0,1,43.12796208530805,1Q17
austria,EMEA,2017Q2,19017.0,12438.0,1,52.89435600578871,2Q17
austria,EMEA,2017Q3,19827.0,16131.0,1,22.91240468662823,3Q17
austria,EMEA,2017Q4,17403.0,14634.0,1,18.92168921689217,4Q17
austria,EMEA,2018Q1,14001.0,10452.0,1,33.95522388059702,1Q18
austria,EMEA,2018Q2,24990.0,21903.0,1,14.093959731543615,2Q18
austria,EMEA,2018Q3,29643.0,24024.0,1,23.38911088911089,3Q18
austria,EMEA,2018Q4,30690.0,20751.0,1,47.8964869162932,4Q18
austria,EMEA,2019Q1,23601.0,16881.0,1,39.808068242402705,1Q19
austria,EMEA,2019Q2,39738.0,30051.0,1,32.23520015972847,2Q19
austria,EMEA,2019Q3,41739.0,36333.0,1,14.879035587482448,3Q19
austria,EMEA,2019Q4,39183.0,36936.0,1,6.083495776478243,4Q19
austria,EMEA,2020Q1,25551.0,28338.0,1,-9.834850730467926,1Q20
austria,EMEA,2020Q2,3567.0,47490.0,1,-92.48894504106127,2Q20
austria,EMEA,2020Q3,16758.0,50076.0,1,-66.53486700215672,3Q20
austria,EMEA,2020Q4,5397.0,46968.0,1,-88.50919775166071,4Q20
