quarter,origin,origin_date,variant,pred_pp,disclosed_pp,half_width,err_pp,interval_err_pp,obs_frac,n_train,naive_pp,beta_na,beta_emea,beta_latam,beta_apac,sigma_map,shares_fy
1Q23,O2,2023-03-01,V0_translation,-2.2171049015513833,-2.8,0.5,0.5828950984486165,0.08289509844861653,0.5846153846153846,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O2,2023-03-01,V1_passthrough,-3.0872536236969714,-2.8,0.5,-0.2872536236969716,0.0,0.5846153846153846,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O2,2023-03-01,V2_eur_ols,-2.7794460132724224,-2.8,0.5,0.020553986727577467,0.0,0.5846153846153846,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O2,2023-03-01,V3_usd_broad_ols,-4.5867764777149445,-2.8,0.5,-1.7867764777149446,-1.2867764777149446,0.5846153846153846,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O2,2023-03-01,naive_last_disclosed,-5.5,-2.8,0.5,-2.7,-2.2,0.5846153846153846,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O2,2023-03-01,zero,0.0,-2.8,0.5,2.8,2.3,0.5846153846153846,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O3,2023-05-08,V0_translation,-2.1903426266242794,-2.8,0.5,0.6096573733757205,0.10965737337572046,1.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O3,2023-05-08,V1_passthrough,-3.030469774526793,-2.8,0.5,-0.23046977452679318,0.0,1.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O3,2023-05-08,V2_eur_ols,-2.6695708372924907,-2.8,0.5,0.13042916270750915,0.0,1.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O3,2023-05-08,V3_usd_broad_ols,-4.586104378182986,-2.8,0.5,-1.7861043781829862,-1.2861043781829862,1.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O3,2023-05-08,naive_last_disclosed,-5.5,-2.8,0.5,-2.7,-2.2,1.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
1Q23,O3,2023-05-08,zero,0.0,-2.8,0.5,2.8,2.3,1.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
2Q23,O1,2023-03-31,V0_translation,-0.5416706981543822,-0.6,0.5,0.0583293018456178,0.0,0.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
2Q23,O1,2023-03-31,V1_passthrough,-0.5569951329409857,-0.6,0.5,0.043004867059014296,0.0,0.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
2Q23,O1,2023-03-31,V2_eur_ols,-0.3139602058917599,-0.6,0.5,0.2860397941082401,0.0,0.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
2Q23,O1,2023-03-31,V3_usd_broad_ols,-3.427869661667419,-0.6,0.5,-2.827869661667419,-2.327869661667419,0.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
2Q23,O1,2023-03-31,naive_last_disclosed,-5.5,-0.6,0.5,-4.9,-4.4,0.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
2Q23,O1,2023-03-31,zero,0.0,-0.6,0.5,0.6,0.09999999999999998,0.0,3,-5.5,1.0232857591108522,1.4256175286496853,0.9568655408193293,1.080137423967558,0.2783100770380633,2022
2Q23,O2,2023-05-30,V0_translation,0.20433001304775883,-0.6,0.5,0.8043300130477589,0.30433001304775886,0.5692307692307692,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O2,2023-05-30,V1_passthrough,0.3436021382057659,-0.6,0.5,0.9436021382057659,0.4436021382057659,0.5692307692307692,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O2,2023-05-30,V2_eur_ols,-0.09798758708546573,-0.6,0.5,0.5020124129145342,0.002012412914534245,0.5692307692307692,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O2,2023-05-30,V3_usd_broad_ols,-0.506110815053207,-0.6,0.5,0.09388918494679299,0.0,0.5692307692307692,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O2,2023-05-30,naive_last_disclosed,-2.8,-0.6,0.5,-2.1999999999999997,-1.6999999999999997,0.5692307692307692,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O2,2023-05-30,zero,0.0,-0.6,0.5,0.6,0.09999999999999998,0.5692307692307692,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O3,2023-08-02,V0_translation,0.40911247938747664,-0.6,0.5,1.0091124793874766,0.5091124793874766,1.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O3,2023-08-02,V1_passthrough,0.5842953071273815,-0.6,0.5,1.1842953071273814,0.6842953071273814,1.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O3,2023-08-02,V2_eur_ols,-0.021844944479751605,-0.6,0.5,0.5781550555202484,0.07815505552024837,1.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O3,2023-08-02,V3_usd_broad_ols,-0.3034626393337345,-0.6,0.5,0.29653736066626546,0.0,1.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O3,2023-08-02,naive_last_disclosed,-2.8,-0.6,0.5,-2.1999999999999997,-1.6999999999999997,1.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
2Q23,O3,2023-08-02,zero,0.0,-0.6,0.5,0.6,0.09999999999999998,1.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
3Q23,O1,2023-06-30,V0_translation,3.5353449303043454,2.7,0.25,0.8353449303043452,0.5853449303043452,0.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
3Q23,O1,2023-06-30,V1_passthrough,4.593094045762226,2.7,0.25,1.8930940457622256,1.6430940457622256,0.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
3Q23,O1,2023-06-30,V2_eur_ols,2.402643129381943,2.7,0.25,-0.2973568706180574,-0.04735687061805738,0.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
3Q23,O1,2023-06-30,V3_usd_broad_ols,2.5539547261626314,2.7,0.25,-0.14604527383736876,0.0,0.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
3Q23,O1,2023-06-30,naive_last_disclosed,-2.8,2.7,0.25,-5.5,-5.25,0.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
3Q23,O1,2023-06-30,zero,0.0,2.7,0.25,-2.7,-2.45,0.0,4,-2.8,1.01930728389875,1.4210416828924775,0.9662985232314629,1.0703226150247438,0.23189882851831897,2022
3Q23,O2,2023-08-29,V0_translation,3.5119260755468833,2.7,0.25,0.8119260755468831,0.5619260755468831,0.5692307692307692,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O2,2023-08-29,V1_passthrough,4.413815239588388,2.7,0.25,1.7138152395883877,1.4638152395883877,0.5692307692307692,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O2,2023-08-29,V2_eur_ols,1.9727212265556038,2.7,0.25,-0.7272787734443964,-0.4772787734443964,0.5692307692307692,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O2,2023-08-29,V3_usd_broad_ols,2.022913146684233,2.7,0.25,-0.677086853315767,-0.427086853315767,0.5692307692307692,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O2,2023-08-29,naive_last_disclosed,-0.6,2.7,0.25,-3.3000000000000003,-3.0500000000000003,0.5692307692307692,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O2,2023-08-29,zero,0.0,2.7,0.25,-2.7,-2.45,0.5692307692307692,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O3,2023-10-31,V0_translation,3.2682860430383243,2.7,0.25,0.5682860430383241,0.3182860430383241,1.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O3,2023-10-31,V1_passthrough,4.092027701215511,2.7,0.25,1.3920277012155111,1.1420277012155111,1.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O3,2023-10-31,V2_eur_ols,1.7638704624272268,2.7,0.25,-0.9361295375727734,-0.6861295375727734,1.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O3,2023-10-31,V3_usd_broad_ols,1.8018063717932584,2.7,0.25,-0.8981936282067418,-0.6481936282067418,1.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O3,2023-10-31,naive_last_disclosed,-0.6,2.7,0.25,-3.3000000000000003,-3.0500000000000003,1.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
3Q23,O3,2023-10-31,zero,0.0,2.7,0.25,-2.7,-2.45,1.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
4Q23,O1,2023-09-30,V0_translation,2.15455850553312,2.1,0.25,0.054558505533119916,0.0,0.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
4Q23,O1,2023-09-30,V1_passthrough,2.5794201287192258,2.1,0.25,0.4794201287192257,0.22942012871922568,0.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
4Q23,O1,2023-09-30,V2_eur_ols,0.3225531750767745,2.1,0.25,-1.7774468249232256,-1.5274468249232256,0.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
4Q23,O1,2023-09-30,V3_usd_broad_ols,1.5606251741299193,2.1,0.25,-0.5393748258700808,-0.2893748258700808,0.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
4Q23,O1,2023-09-30,naive_last_disclosed,-0.6,2.1,0.25,-2.7,-2.45,0.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
4Q23,O1,2023-09-30,zero,0.0,2.1,0.25,-2.1,-1.85,0.0,5,-0.6,1.0338260028697828,1.36562205364031,0.9051048727053513,1.1540268550399075,0.5442034161965705,2022
4Q23,O2,2023-11-29,V0_translation,2.1950863900864332,2.1,0.25,0.09508639008643316,0.0,0.5846153846153846,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O2,2023-11-29,V1_passthrough,2.5153480516928455,2.1,0.25,0.4153480516928454,0.1653480516928454,0.5846153846153846,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O2,2023-11-29,V2_eur_ols,1.1156163269188564,2.1,0.25,-0.9843836730811437,-0.7343836730811437,0.5846153846153846,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O2,2023-11-29,V3_usd_broad_ols,1.895370344292946,2.1,0.25,-0.20462965570705416,0.0,0.5846153846153846,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O2,2023-11-29,naive_last_disclosed,2.7,2.1,0.25,0.6000000000000001,0.3500000000000001,0.5846153846153846,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O2,2023-11-29,zero,0.0,2.1,0.25,-2.1,-1.85,0.5846153846153846,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O3,2024-02-12,V0_translation,2.38479885376595,2.1,0.25,0.2847988537659498,0.03479885376594982,1.0,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O3,2024-02-12,V1_passthrough,2.7443306122458244,2.1,0.25,0.6443306122458243,0.39433061224582433,1.0,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O3,2024-02-12,V2_eur_ols,1.1971619903862616,2.1,0.25,-0.9028380096137385,-0.6528380096137385,1.0,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O3,2024-02-12,V3_usd_broad_ols,2.1020468845359295,2.1,0.25,0.002046884535929383,0.0,1.0,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O3,2024-02-12,naive_last_disclosed,2.7,2.1,0.25,0.6000000000000001,0.3500000000000001,1.0,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
4Q23,O3,2024-02-12,zero,0.0,2.1,0.25,-2.1,-1.85,1.0,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
1Q24,O1,2023-12-31,V0_translation,1.6292969544530866,0.6,0.5,1.0292969544530868,0.5292969544530868,0.0,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
1Q24,O1,2023-12-31,V1_passthrough,1.7853662729664,0.6,0.5,1.1853662729663998,0.6853662729663998,0.0,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
1Q24,O1,2023-12-31,V2_eur_ols,0.06378809444914446,0.6,0.5,-0.5362119055508555,-0.03621190555085552,0.0,6,2.7,1.0285157806849718,1.2746827377911245,0.8241602566453812,1.1824314198554984,0.7416719218966076,2022
