region,quarter,q,mix_pp,region_growth_pct,n_countries,n_imputed,share_imputed
APAC,3Q26,2026Q3,-0.4751278135575965,15.890037510805454,6,1,0.3014685741135071
APAC,4Q26,2026Q4,-0.48253889918689064,14.234779097703825,6,1,0.30743555794873256
APAC,1Q27,2027Q1,-0.4794467993988416,14.790091456872059,6,1,0.31344892460985374
APAC,2Q27,2027Q2,-0.4948133528669407,10.67929955446402,6,1,0.31936576854980353
APAC,3Q27,2027Q3,-0.48974456840915614,10.770028746000884,6,1,0.32539828116383096
APAC,4Q27,2027Q4,-0.48227095534985054,10.791677484994139,6,1,0.33127413014484025
EMEA,3Q26,2026Q3,0.07746659443748083,7.281803631125516,21,2,0.02113683081597998
EMEA,4Q26,2026Q4,0.05610665467616904,6.696711246509341,21,2,0.021108592765592703
EMEA,1Q27,2027Q1,0.03379744672564744,7.0908073955604225,21,2,0.021076815244921103
EMEA,2Q27,2027Q2,0.01173703590222619,5.405663676142125,21,2,0.02104124848076214
EMEA,3Q27,2027Q3,-0.011380595772947366,5.583171583785853,21,2,0.02100061612446418
EMEA,4Q27,2027Q4,-0.03451388105679687,5.721839817651455,21,2,0.02095493249658513
LatAm,3Q26,2026Q3,-0.20973769155496758,17.843847973809357,5,2,0.3817971931703027
LatAm,4Q26,2026Q4,-0.16223956464146427,16.099261175370252,5,2,0.39508345268805556
LatAm,1Q27,2027Q1,-0.11744533543606162,16.792996509584928,5,2,0.4084941575085834
LatAm,2Q27,2027Q2,-0.08329720617800129,12.282074422255116,5,2,0.42174893513776046
LatAm,3Q27,2027Q3,-0.04839969323293669,12.421034781745236,5,2,0.4354550677004986
LatAm,4Q27,2027Q4,-0.018516345250541022,12.45970787331713,5,2,0.4490547045245289
NAM,3Q26,2026Q3,-0.23447178720545914,5.589413371284493,2,0,0.0
NAM,4Q26,2026Q4,-0.24662922132832055,3.329157691756899,2,0,0.0
NAM,1Q27,2027Q1,-0.2562975754834995,2.360370906187961,2,0,0.0
NAM,2Q27,2027Q2,-0.2636958749641094,2.3927277417597725,2,0,0.0
NAM,3Q27,2027Q3,-0.27115418368420796,2.425933267831912,2,0,0.0
NAM,4Q27,2027Q4,-0.2786612451731174,2.4599879325939846,2,0,0.0
