quarter,na,emea,latam,apac,basket_na,basket_emea,basket_latam,basket_apac,eur_yoy,usd_broad_yoy,obs_frac,shares_fy,y,h,print_date
2Q22,-0.16681009650849116,-3.342998980919743,0.3202873074646305,-0.5934621642892703,-0.3090062197557266,-10.728475119879974,4.051297385866024,-8.537324579693157,-11.68656443980951,6.420287976978822,1.0,2021,-5.6,0.5,2022-08-02
3Q22,-0.16328538929399597,-4.313898328639852,-0.04523902328689675,-0.6791529882046813,-0.3024769000389105,-13.844320968285562,-0.5722260374041713,-9.770040700936242,-14.561450643191954,9.021550092667185,1.0,2021,-7.1,0.5,2022-11-01
4Q22,-0.24947018355527442,-3.3161358296974464,0.4381384388753231,-0.7747765329021378,-0.4621293313517061,-10.642264908278088,5.541990177862526,-11.145645225818912,-10.61404607810108,8.530057846687345,1.0,2021,-5.5,0.5,2023-02-14
1Q23,-0.15965399300710192,-1.8417402089588812,0.30331918648979866,-0.49226761114809486,-0.3129705453688807,-5.418415809769561,3.963086485405778,-6.7034080646043455,-4.377271779789982,4.201265364931617,1.0,2022,-2.8,0.5,2023-05-09
2Q23,-0.06400369905470887,0.5154229628970611,0.36165528587442436,-0.4039620703293,-0.1254667811401804,1.5163788667341072,4.725290188237725,-5.500915637582014,2.2741397900749805,0.3465945242942414,1.0,2022,-0.6,0.5,2023-08-03
3Q23,0.08232724070543021,2.5662174824218846,0.8547483583516755,-0.2350070384406659,0.16138651427996198,7.549834287389563,11.167910960753641,-3.200186323548335,8.072209716917111,-2.9527726072464233,1.0,2022,2.7,0.25,2023-11-01
4Q23,0.11307981907898683,1.7499822858424965,0.612842797944596,-0.0911060491001291,0.22167095216835933,5.148463197090006,8.00723830997805,-1.240628086108867,5.324525364811583,-2.60822923024282,1.0,2022,2.1,0.25,2024-02-13
1Q24,0.10699979378399231,0.6930262011441838,0.533785385796439,-0.3859218061204423,0.22431953562476759,1.934589203392163,6.458679729164313,-4.69905986401839,1.2004089305147403,0.23902921268956767,1.0,2023,0.6,0.5,2024-05-08
2Q24,-0.04466614977406665,-0.20322924742789106,-0.14096535347359654,-0.2969102751572359,-0.09364027369708738,-0.5673163687583505,-1.7056481785014692,-3.615237944783551,-1.0963821368004556,2.616520822432422,1.0,2023,-0.9,0.5,2024-08-06
3Q24,-0.1572832470020224,0.47587765977082364,-0.8519886234058976,0.022056814635496805,-0.3297361955694498,1.328416993770526,-10.308865319083056,0.2685681159706469,0.9356616250930649,2.3424865173202747,1.0,2023,-0.6,0.5,2024-11-07
4Q24,-0.22425382911443836,0.060028991634073416,-1.087325240234366,-0.0972006618849703,-0.4701365584926258,0.16757149861587384,-13.156383960628972,-1.183534389028897,-0.8953409223557807,3.4971311708968056,1.0,2023,-1.1,0.5,2025-02-13
1Q25,-0.3795270021119734,-0.8457802851215102,-1.2883439731623048,-0.3662761018335837,-0.8207963914936967,-2.3250855407858007,-14.857011209969816,-4.20369417799015,-3.0807616984107167,5.8794264429848475,1.0,2024,-1.9,0.5,2025-05-01
2Q25,-0.1507589202911551,1.8962578092101388,-0.7730496521599732,-0.02665216626071536,-0.3260436729715419,5.212892392216536,-8.914705689826743,-0.30588279055098866,5.365211004769677,-0.12354063396208259,1.0,2024,1.9,0.5,2025-08-06
3Q25,-0.021554989253461238,1.964653510484842,0.1342639319217671,-0.13860504239879834,-0.0466165972367536,5.400915048789656,1.54831379135502,-1.5907486370394783,6.387195815799163,-1.9897857088860715,1.0,2024,2.7,0.5,2025-11-06
4Q25,0.10369128865337122,2.6727969264409164,0.708458120899665,-0.04921755252513964,0.2242513314794614,7.347631053177944,8.169844748964778,-0.5648622390844822,9.130590411040608,-4.0028051670096705,1.0,2024,2.9,0.5,2026-02-12
1Q26,0.3067555152862208,3.5904226468507767,1.1589017559989656,0.4432974134401093,0.694837973612588,9.592782806803198,12.38309997369393,4.890148032018261,11.20405384739871,-6.752506768896415,1.0,2025,5.0,0.5,2026-05-07
2Q26,0.10754474518155403,0.7052862293003697,1.0639445278112045,0.24304385021875005,0.24360172544871528,1.884362449708232,11.368462758945451,2.681090324029003,2.5070858026281506,-2.494809888948346,1.0,2025,1.3,0.5,2026-08-06
