market,country,snapshot_start,url,local_path,compact_path,source_partial_scope,team_historical_count,team_current_count,team_current_sha256,checked_at_utc,status,acquisition,rows,snapshot_complete,sha256,compact_sha256,bytes,city_scrape,previous_scrape,unknown_source_rows,error,expected_rows
amsterdam,The Netherlands,2025-09-11,https://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2025-09-11/data/listings.csv.gz,data/raw/listing_churn_archive/amsterdam_2025-09-11_listings.csv.gz,data/raw/listing_churn_archive/amsterdam_2025-09-11_compact.csv.gz,,,,,2026-09-07T18:54:12.569734+00:00,ok,downloaded,10480,2025-09-11,84574484ee5750890f8c17cd586521461bece6005adcfb6feae9a0a61e337696,01583ef8d0fb51a4acd29bb407c71b66eae5d2a94e0d3bb47e804773eed61a2c,5926208,5932,4548,0,,10480
amsterdam,The Netherlands,2026-06-15,https://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2026-06-15/data/listings.csv.gz,data/raw/listing_churn_archive/amsterdam_2026-06-15_listings.csv.gz,data/raw/listing_churn_archive/amsterdam_2026-06-15_compact.csv.gz,,,10369,e67b01d8b46e04f8ea85cd401dc6deeadef3b482fccf39e0388020d63c394062,2026-09-07T18:54:12.569259+00:00,ok,downloaded,10369,2026-06-24,e67b01d8b46e04f8ea85cd401dc6deeadef3b482fccf39e0388020d63c394062,6a713a53620cfdd9480d225d7e96617cab1002a39ad939afd713f1fecbbd00b6,5759896,5864,4505,0,,10369
austin,United States,2025-09-16,https://data.insideairbnb.com/united-states/tx/austin/2025-09-16/data/listings.csv.gz,data/raw/listing_churn_panel/austin_2025-09-16_listings.csv.gz,data/raw/listing_churn_archive/austin_2025-09-16_compact.csv.gz,True,10533,,,2026-09-07T18:54:24.956364+00:00,ok,reused,10533,2025-09-17,f3f243214fd5d3c209c36b9fbde54cd11e0a23591a813d1beff130ac781b090f,c5b0b8e96d418f2f8c80a0afd9d40e5594e16dfd859769ee78dc297d32651bcb,6496388,10533,0,0,,10533
austin,United States,2026-06-22,https://data.insideairbnb.com/united-states/tx/austin/2026-06-22/data/listings.csv.gz,data/raw/listing_churn_panel/austin_2026-06-22_listings.csv.gz,data/raw/listing_churn_archive/austin_2026-06-22_compact.csv.gz,False,11295,11295,5e2b0267729ea2f6c61c06e58621abae4a88ff852594ad9ccf1dec0a0d4f4c05,2026-09-07T18:54:26.097492+00:00,ok,reused,11295,2026-07-02,5e2b0267729ea2f6c61c06e58621abae4a88ff852594ad9ccf1dec0a0d4f4c05,4ee01198bf543e1a37e381ed4727acf3dd48e3976c0e9fd86a01374ec2257a4c,7647862,10186,1109,0,,11295
bangkok,Thailand,2025-09-26,https://data.insideairbnb.com/thailand/central-thailand/bangkok/2025-09-26/data/listings.csv.gz,data/raw/listing_churn_archive/bangkok_2025-09-26_listings.csv.gz,data/raw/listing_churn_archive/bangkok_2025-09-26_compact.csv.gz,,,,,2026-09-07T18:54:28.498428+00:00,ok,downloaded,28806,2025-09-28,66ca269c9819b900db621334a0b62a4cd678fb85a243eb09e2d88b16744bebf5,eb8894c9fb642f06e78184820c027cca0009d2cab509625c4cfc29c0407896e7,14878735,23277,5529,0,,28806
bangkok,Thailand,2026-06-29,https://data.insideairbnb.com/thailand/central-thailand/bangkok/2026-06-29/data/listings.csv.gz,data/raw/listing_churn_archive/bangkok_2026-06-29_listings.csv.gz,data/raw/listing_churn_archive/bangkok_2026-06-29_compact.csv.gz,,,31069,b17b99f9c421c566cc26a1c89a0b3d16b4c7f3dc74e659141900ccbac316b20e,2026-09-07T18:54:29.319981+00:00,ok,downloaded,31069,2026-07-02,b17b99f9c421c566cc26a1c89a0b3d16b4c7f3dc74e659141900ccbac316b20e,1fe7dff9bfc8040c8a3c70084e4e746ea5b734ab72b42bcf8d85b65d371c6a5e,20625983,28808,2261,0,,31069
barcelona,Spain,2025-09-14,https://data.insideairbnb.com/spain/catalonia/barcelona/2025-09-14/data/listings.csv.gz,data/raw/listing_churn_panel/barcelona_2025-09-14_listings.csv.gz,data/raw/listing_churn_archive/barcelona_2025-09-14_compact.csv.gz,False,19410,,,2026-09-07T18:54:37.168803+00:00,ok,reused,19410,2025-09-15,f6e61e1d11e301b5d7fbf0888db7037a04fb22df0b44182c04e41075d38abb83,d1529510b6aba87e0f647dc559142b9edaa6c63536b4d85be7251d70ac342e1d,9709188,15304,4106,0,,19410
barcelona,Spain,2026-06-24,https://data.insideairbnb.com/spain/catalonia/barcelona/2026-06-24/data/listings.csv.gz,data/raw/listing_churn_panel/barcelona_2026-06-24_listings.csv.gz,data/raw/listing_churn_archive/barcelona_2026-06-24_compact.csv.gz,False,15293,15293,aefc9848413a265973255a3ba6e43b650b645f9ee558a2474912e9c9d06a77fa,2026-09-07T18:54:41.571410+00:00,ok,reused,15293,2026-07-03,aefc9848413a265973255a3ba6e43b650b645f9ee558a2474912e9c9d06a77fa,7fc7f95d603be01890c8eb45450d70b1d8a16dfc41af974f0ce29ef727ba9536,8175620,13035,2258,0,,15293
berlin,Germany,2025-09-23,https://data.insideairbnb.com/germany/be/berlin/2025-09-23/data/listings.csv.gz,data/raw/listing_churn_archive/berlin_2025-09-23_listings.csv.gz,data/raw/listing_churn_archive/berlin_2025-09-23_compact.csv.gz,,,,,2026-09-07T18:54:50.088276+00:00,ok,downloaded,14274,2025-09-24,b5783f9fbdc31a2b76cb19ee66921385228e4492fe681fa03957eb6925a78718,ea9e386bdb6d52d45b40339d8a8f88dd8f03a236bf19ac757fddaefe0d4bbcb1,7263842,9335,4939,0,,14274
berlin,Germany,2026-06-26,https://data.insideairbnb.com/germany/be/berlin/2026-06-26/data/listings.csv.gz,data/raw/listing_churn_archive/berlin_2026-06-26_listings.csv.gz,data/raw/listing_churn_archive/berlin_2026-06-26_compact.csv.gz,,,,,2026-09-07T18:54:51.506023+00:00,ok,downloaded,12776,2026-07-03,2952261ea249a5d5754981a5808c05a96c5ee5a1646390433766606647d7d198,d9464b654cfacd56cec22b276650912aab63c24e3c7ec4f3d336f8708c0bf010,6779056,6658,6118,0,,12776
