market,endpoint_date,property_type,listings
amsterdam,2026-06-24,Room in boutique hotel,87
amsterdam,2026-06-24,Room in bed and breakfast,8
amsterdam,2026-06-24,Room in serviced apartment,6
amsterdam,2026-06-24,Room in hotel,359
amsterdam,2026-06-24,Shared room in hotel,15
austin,2026-07-02,Room in hotel,552
austin,2026-07-02,Room in boutique hotel,27
austin,2026-07-02,Shared room in hotel,2
austin,2026-07-02,Room in bed and breakfast,2
bangkok,2026-07-02,Room in hotel,2539
bangkok,2026-07-02,Room in hostel,122
bangkok,2026-07-02,Room in boutique hotel,365
bangkok,2026-07-02,Shared room in hotel,95
bangkok,2026-07-02,Room in serviced apartment,33
bangkok,2026-07-02,Room in bed and breakfast,26
bangkok,2026-07-02,Shared room in boutique hotel,2
bangkok,2026-07-02,Room in aparthotel,3
barcelona,2026-07-03,Room in serviced apartment,17
barcelona,2026-07-03,Room in boutique hotel,133
barcelona,2026-07-03,Room in hostel,13
barcelona,2026-07-03,Room in hotel,449
barcelona,2026-07-03,Shared room in boutique hotel,1
barcelona,2026-07-03,Shared room in hotel,19
berlin,2026-07-03,Room in hotel,440
berlin,2026-07-03,Room in serviced apartment,32
berlin,2026-07-03,Room in hostel,6
berlin,2026-07-03,Room in boutique hotel,52
berlin,2026-07-03,Room in aparthotel,1
berlin,2026-07-03,Shared room in hotel,16
buenos-aires,2026-07-02,Room in hotel,349
buenos-aires,2026-07-02,Room in hostel,29
buenos-aires,2026-07-02,Room in boutique hotel,43
buenos-aires,2026-07-02,Room in serviced apartment,9
buenos-aires,2026-07-02,Shared room in hotel,9
cape-town,2026-07-03,Room in boutique hotel,125
cape-town,2026-07-03,Room in bed and breakfast,27
cape-town,2026-07-03,Room in serviced apartment,24
cape-town,2026-07-03,Room in guesthouse,3
cape-town,2026-07-03,Room in hostel,12
cape-town,2026-07-03,Room in aparthotel,6
cape-town,2026-07-03,Room in hotel,181
cape-town,2026-07-03,Shared room in boutique hotel,1
cape-town,2026-07-03,Shared room in hotel,5
chicago,2026-07-03,Room in boutique hotel,13
chicago,2026-07-03,Room in bed and breakfast,9
chicago,2026-07-03,Room in serviced apartment,5
chicago,2026-07-03,Room in hotel,361
lisbon,2026-07-03,Room in boutique hotel,159
lisbon,2026-07-03,Room in bed and breakfast,19
lisbon,2026-07-03,Room in hostel,15
lisbon,2026-07-03,Room in serviced apartment,39
lisbon,2026-07-03,Room in hotel,300
lisbon,2026-07-03,Room in nature lodge,2
lisbon,2026-07-03,Room in aparthotel,1
lisbon,2026-07-03,Shared room in boutique hotel,2
lisbon,2026-07-03,Shared room in hotel,8
london,2026-07-01,Room in serviced apartment,41
london,2026-07-01,Room in hotel,1253
london,2026-07-01,Room in boutique hotel,180
london,2026-07-01,Room in bed and breakfast,12
london,2026-07-01,Room in aparthotel,2
london,2026-07-01,Room in hostel,8
london,2026-07-01,Shared room in hotel,44
london,2026-07-01,Room in rental unit,7
los-angeles,2026-06-23,Room in hotel,1294
los-angeles,2026-06-23,Room in boutique hotel,134
los-angeles,2026-06-23,Room in serviced apartment,1
los-angeles,2026-06-23,Room in hostel,4
los-angeles,2026-06-23,Room in bed and breakfast,10
los-angeles,2026-06-23,Shared room in hotel,13
madrid,2026-07-02,Room in hotel,427
madrid,2026-07-02,Room in boutique hotel,37
madrid,2026-07-02,Shared room in hotel,31
madrid,2026-07-02,Room in hostel,30
madrid,2026-07-02,Room in casa particular,2
madrid,2026-07-02,Room in serviced apartment,1
mexico-city,2026-07-06,Room in hotel,866
mexico-city,2026-07-06,Shared room in boutique hotel,3
mexico-city,2026-07-06,Room in boutique hotel,167
mexico-city,2026-07-06,Room in serviced apartment,25
mexico-city,2026-07-06,Shared room in hotel,25
mexico-city,2026-07-06,Room in bed and breakfast,8
mexico-city,2026-07-06,Room in casa particular,2
mexico-city,2026-07-06,Room in aparthotel,2
mexico-city,2026-07-06,Room in hostel,1
milan,2026-07-03,Room in boutique hotel,38
milan,2026-07-03,Room in aparthotel,1
milan,2026-07-03,Room in hostel,1
milan,2026-07-03,Room in hotel,191
milan,2026-07-03,Room in bed and breakfast,6
milan,2026-07-03,Shared room in hotel,10
nashville,2026-07-03,Room in boutique hotel,65
nashville,2026-07-03,Room in hotel,355
nashville,2026-07-03,Room in aparthotel,1
nashville,2026-07-03,Shared room in hotel,1
new-orleans,2026-06-25,Room in boutique hotel,75
new-orleans,2026-06-25,Room in hotel,717
new-orleans,2026-06-25,Room in bed and breakfast,11
new-orleans,2026-06-25,Room in condo,4
new-orleans,2026-06-25,Shared room in hotel,1
new-york-city,2026-06-23,Room in boutique hotel,220
new-york-city,2026-06-23,Room in hotel,1681
new-york-city,2026-06-23,Room in serviced apartment,31
new-york-city,2026-06-23,Room in bed and breakfast,1
paris,2026-06-29,Room in bed and breakfast,5
paris,2026-06-29,Room in boutique hotel,600
paris,2026-06-29,Room in serviced apartment,16
paris,2026-06-29,Room in hotel,1221
paris,2026-06-29,Room in aparthotel,1
paris,2026-06-29,Shared room in boutique hotel,2
paris,2026-06-29,Shared room in hotel,33
rio-de-janeiro,2026-07-01,Room in hotel,572
rio-de-janeiro,2026-07-01,Room in boutique hotel,26
rio-de-janeiro,2026-07-01,Room in serviced apartment,6
rio-de-janeiro,2026-07-01,Shared room in hotel,10
rio-de-janeiro,2026-07-01,Room in hostel,3
rio-de-janeiro,2026-07-01,Room in bed and breakfast,2
rio-de-janeiro,2026-07-01,Shared room in boutique hotel,1
rome,2026-07-07,Room in bed and breakfast,147
rome,2026-07-07,Room in boutique hotel,271
rome,2026-07-07,Room in serviced apartment,48
rome,2026-07-07,Room in hotel,404
rome,2026-07-07,Room in aparthotel,5
rome,2026-07-07,Room in hostel,23
rome,2026-07-07,Shared room in hotel,11
san-diego,2026-07-02,Room in hotel,513
san-diego,2026-07-02,Room in boutique hotel,59
san-diego,2026-07-02,Room in home,5
san-diego,2026-07-02,Room in aparthotel,2
san-diego,2026-07-02,Hotel room,4
san-diego,2026-07-02,Shared room in hotel,2
san-diego,2026-07-02,Room in tent,2
san-diego,2026-07-02,Room in hostel,2
san-francisco,2026-06-22,Room in boutique hotel,152
san-francisco,2026-06-22,Room in hotel,950
san-francisco,2026-06-22,Room in serviced apartment,1
san-francisco,2026-06-22,Room in hostel,3
san-francisco,2026-06-22,Room in bed and breakfast,3
san-francisco,2026-06-22,Room in aparthotel,1
san-francisco,2026-06-22,Shared room in hotel,8
