market,scope,baseline_date,endpoint_date,interval_days,pair_eligible,exclusion,baseline_listings,baseline_unique_host_ids,baseline_boutique_tagged,baseline_min_nights_le2,baseline_number_of_reviews_ltm,baseline_number_of_reviews_ltm_observed_sum,baseline_number_of_reviews_ltm_missing,baseline_number_of_reviews_ltm_positive,baseline_number_of_reviews_l30d,baseline_number_of_reviews_l30d_observed_sum,baseline_number_of_reviews_l30d_missing,baseline_number_of_reviews_l30d_positive,endpoint_listings,endpoint_unique_host_ids,endpoint_boutique_tagged,endpoint_min_nights_le2,endpoint_number_of_reviews_ltm,endpoint_number_of_reviews_ltm_observed_sum,endpoint_number_of_reviews_ltm_missing,endpoint_number_of_reviews_ltm_positive,endpoint_number_of_reviews_l30d,endpoint_number_of_reviews_l30d_observed_sum,endpoint_number_of_reviews_l30d_missing,endpoint_number_of_reviews_l30d_positive,retained_hotel_ids,new_to_panel_hotel_ids,recategorized_into_hotel,absent_baseline_hotel_ids,recategorized_out_of_hotel,retained_baseline_listings,retained_baseline_unique_host_ids,retained_baseline_boutique_tagged,retained_baseline_min_nights_le2,retained_baseline_number_of_reviews_ltm,retained_baseline_number_of_reviews_ltm_observed_sum,retained_baseline_number_of_reviews_ltm_missing,retained_baseline_number_of_reviews_ltm_positive,retained_baseline_number_of_reviews_l30d,retained_baseline_number_of_reviews_l30d_observed_sum,retained_baseline_number_of_reviews_l30d_missing,retained_baseline_number_of_reviews_l30d_positive,retained_listings,retained_unique_host_ids,retained_boutique_tagged,retained_min_nights_le2,retained_number_of_reviews_ltm,retained_number_of_reviews_ltm_observed_sum,retained_number_of_reviews_ltm_missing,retained_number_of_reviews_ltm_positive,retained_number_of_reviews_l30d,retained_number_of_reviews_l30d_observed_sum,retained_number_of_reviews_l30d_missing,retained_number_of_reviews_l30d_positive,new_to_panel_listings,new_to_panel_unique_host_ids,new_to_panel_boutique_tagged,new_to_panel_min_nights_le2,new_to_panel_number_of_reviews_ltm,new_to_panel_number_of_reviews_ltm_observed_sum,new_to_panel_number_of_reviews_ltm_missing,new_to_panel_number_of_reviews_ltm_positive,new_to_panel_number_of_reviews_l30d,new_to_panel_number_of_reviews_l30d_observed_sum,new_to_panel_number_of_reviews_l30d_missing,new_to_panel_number_of_reviews_l30d_positive,new_ids_first_review_after_baseline,new_ids_first_review_before_baseline,retained_missing_lifetime_review_delta_ids,retained_lifetime_review_delta_nonnegative,retained_negative_review_delta_ids,listings_growth,number_of_reviews_ltm_growth,number_of_reviews_l30d_growth,ltm_reviews_per_listing_baseline,ltm_reviews_per_listing_endpoint,l30d_reviews_per_listing_baseline,l30d_reviews_per_listing_endpoint
amsterdam,strict,2025-09-11,2026-06-24,286,True,,427,85,105,409,12248,12248,0,275,1147,1147,0,158,461,100,87,453,10229,10229,0,308,745,745,0,174,284,176,1,140,3,284,67,79,276,8769,8769,0,190,762,762,0,112,284,67,79,278,8661,8661,0,189,531,531,0,113,176,44,8,174,1549,1549,0,118,214,214,0,61,80,39,0,6246,14,0.07962529274004693,-0.16484323971260617,-0.3504795117698344,28.68384074941452,22.188720173535792,2.6861826697892273,1.616052060737527
amsterdam,broad,2025-09-11,2026-06-24,286,True,,453,95,105,431,12821,12821,0,296,1194,1194,0,171,475,107,87,467,10539,10539,0,320,767,767,0,181,297,177,1,147,9,297,74,79,286,9069,9069,0,202,785,785,0,120,297,74,79,291,8970,8970,0,200,553,553,0,120,177,45,8,175,1550,1550,0,119,214,214,0,61,80,40,0,6467,14,0.04856512141280356,-0.17798923640901643,-0.3576214405360134,28.30242825607064,22.187368421052632,2.6357615894039736,1.6147368421052632
amsterdam,boutique,2025-09-11,2026-06-24,286,True,,105,30,105,100,2748,2748,0,79,131,131,0,43,87,25,87,83,1513,1513,0,50,60,60,0,26,79,8,0,23,3,79,24,79,74,2164,2164,0,58,108,108,0,32,79,24,79,75,1508,1508,0,48,57,57,0,25,8,2,8,8,5,5,0,2,3,3,0,1,1,1,0,1078,13,-0.17142857142857137,-0.4494177583697234,-0.5419847328244275,26.17142857142857,17.39080459770115,1.2476190476190476,0.6896551724137931
austin,strict,2025-09-17,2026-07-02,288,False,Baseline or endpoint flagged by team or below 50% of maximum selected snapshot count,260,53,15,191,2074,2074,0,73,154,154,0,41,581,87,27,501,2745,2745,0,139,260,260,0,51,191,390,0,66,3,191,39,13,124,1977,1977,0,56,137,137,0,32,191,39,14,144,2228,2228,0,61,187,187,0,24,390,68,13,357,517,517,0,78,73,73,0,27,54,47,0,1493,1,1.2346153846153847,0.32352941176470584,0.6883116883116882,7.976923076923077,4.724612736660929,0.5923076923076923,0.4475043029259897
austin,broad,2025-09-17,2026-07-02,288,False,Baseline or endpoint flagged by team or below 50% of maximum selected snapshot count,261,54,15,192,2075,2075,0,74,155,155,0,42,583,87,27,503,2745,2745,0,139,260,260,0,51,191,392,0,67,3,191,39,13,124,1977,1977,0,56,137,137,0,32,191,39,14,144,2228,2228,0,61,187,187,0,24,392,68,13,359,517,517,0,78,73,73,0,27,54,47,0,1493,1,1.2337164750957856,0.3228915662650602,0.6774193548387097,7.950191570881226,4.708404802744425,0.5938697318007663,0.44596912521440824
austin,boutique,2025-09-17,2026-07-02,288,False,Baseline or endpoint flagged by team or below 50% of maximum selected snapshot count,15,7,15,12,15,15,0,6,0,0,0,0,27,8,27,24,172,172,0,5,8,8,0,2,13,13,1,2,0,13,5,13,10,14,14,0,5,0,0,0,0,13,5,13,11,18,18,0,3,0,0,0,0,13,4,13,12,65,65,0,1,5,5,0,1,0,2,0,18,1,0.8,10.466666666666667,,1.0,6.37037037037037,0.0,0.2962962962962963
bangkok,strict,2025-09-28,2026-07-02,277,True,,2471,508,406,2405,5437,5437,0,678,256,256,0,125,3001,566,367,2913,6114,6114,0,790,204,204,0,116,1948,1036,17,508,15,1948,387,338,1896,4968,4968,0,590,228,228,0,114,1948,390,336,1906,4744,4744,0,528,121,121,0,71,1036,224,20,990,1214,1214,0,250,79,79,0,41,233,41,0,3798,20,0.21448806151355737,0.12451719698363073,-0.203125,2.2003237555645487,2.037320893035655,0.10360178065560502,0.06797734088637121
bangkok,broad,2025-09-28,2026-07-02,277,True,,2713,587,406,2641,6689,6689,0,762,308,308,0,139,3185,621,367,3094,7294,7294,0,859,251,251,0,130,2127,1043,15,569,17,2127,441,338,2070,6106,6106,0,663,276,276,0,126,2127,445,338,2082,5920,5920,0,596,167,167,0,84,1043,228,20,997,1222,1222,0,253,80,80,0,42,233,47,0,4777,21,0.1739771470696645,0.09044700254148608,-0.18506493506493504,2.465536306671581,2.29010989010989,0.11352746037596756,0.07880690737833596
bangkok,boutique,2025-09-28,2026-07-02,277,True,,406,127,406,385,1632,1632,0,166,85,85,0,43,367,111,367,352,1790,1790,0,156,57,57,0,33,336,20,11,66,4,336,93,336,324,1567,1567,0,157,81,81,0,42,336,93,336,323,1588,1588,0,140,45,45,0,26,20,13,20,18,58,58,0,9,10,10,0,5,9,5,0,1259,14,-0.09605911330049266,0.09681372549019618,-0.3294117647058824,4.019704433497537,4.877384196185286,0.20935960591133004,0.1553133514986376
barcelona,strict,2025-09-15,2026-07-03,291,True,,678,163,176,676,11512,11512,0,405,1083,1083,0,215,602,170,134,598,10186,10186,0,378,685,685,0,189,474,128,0,203,1,474,127,115,472,9047,9047,0,302,869,869,0,176,474,127,115,473,9355,9355,0,301,542,542,0,142,128,57,19,125,831,831,0,77,143,143,0,47,54,27,0,6839,24,-0.11209439528023601,-0.11518415566365536,-0.36749769159741463,16.979351032448378,16.920265780730897,1.5973451327433628,1.1378737541528239
barcelona,broad,2025-09-15,2026-07-03,291,True,,723,174,176,712,12721,12721,0,435,1187,1187,0,235,632,180,134,628,11494,11494,0,408,779,779,0,210,504,128,0,217,2,504,137,115,494,10087,10087,0,330,966,966,0,195,504,137,115,503,10663,10663,0,331,636,636,0,163,128,57,19,125,831,831,0,77,143,143,0,47,54,27,0,7915,24,-0.12586445366528354,-0.09645468123575196,-0.34372367312552654,17.594744121715078,18.186708860759495,1.6417704011065006,1.2325949367088607
barcelona,boutique,2025-09-15,2026-07-03,291,True,,176,38,176,175,2821,2821,0,115,207,207,0,56,134,31,134,134,1532,1532,0,79,108,108,0,44,115,19,0,61,0,115,28,115,114,1550,1550,0,76,128,128,0,43,115,28,115,115,1525,1525,0,75,107,107,0,43,19,5,19,19,7,7,0,4,1,1,0,1,1,5,0,1097,5,-0.23863636363636365,-0.456930166607586,-0.4782608695652174,16.02840909090909,11.432835820895523,1.1761363636363635,0.8059701492537313
berlin,strict,2025-09-24,2026-07-03,282,True,,501,136,63,467,7882,7882,0,311,599,599,0,149,508,140,52,484,6744,6744,0,323,501,501,0,152,409,96,3,89,3,409,114,50,382,6079,6079,0,255,399,399,0,121,409,114,50,388,6214,6214,0,262,421,421,0,119,96,40,1,93,499,499,0,58,80,80,0,33,52,6,0,4347,0,0.013972055888223478,-0.1443795990865263,-0.1636060100166945,15.732534930139721,13.275590551181102,1.1956087824351298,0.9862204724409449
berlin,broad,2025-09-24,2026-07-03,282,True,,544,148,63,493,8436,8436,0,342,626,626,0,159,547,151,52,509,7224,7224,0,347,539,539,0,164,441,103,3,96,7,441,125,50,404,6519,6519,0,278,419,419,0,127,441,125,50,413,6692,6692,0,284,459,459,0,131,103,42,1,93,501,501,0,60,80,80,0,33,52,12,0,4713,0,0.005514705882353033,-0.14366998577524892,-0.13897763578274758,15.507352941176471,13.206581352833638,1.150735294117647,0.9853747714808044
berlin,boutique,2025-09-24,2026-07-03,282,True,,63,22,63,57,809,809,0,31,49,49,0,14,52,19,52,51,766,766,0,30,57,57,0,16,50,1,1,12,1,50,17,50,45,790,790,0,28,49,49,0,14,50,17,50,49,749,749,0,29,57,57,0,16,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,531,0,-0.17460317460317465,-0.053152039555006136,0.16326530612244894,12.841269841269842,14.73076923076923,0.7777777777777778,1.0961538461538463
