window,model,n,n_year_clusters,rmse_musd,mae_musd,bias_musd,error_sd_musd,worst_abs_miss_musd
W1,joint_flight,9,3,80.30008152396422,58.49324608075429,-54.149087210487124,62.89258205786001,156.25651711565297
W1,joint_noflight,9,3,67.11851962227665,47.33324234436244,-27.175697762356474,65.09358085358234,146.16165552470375
W1,fixed_flight,9,3,75.67616139657466,59.91771272648995,-9.024899562844691,79.69386215732743,125.39500366531456
W1,fixed_noflight,9,3,78.80763001111795,61.36558200554595,12.638807142874207,82.50615728369186,139.13435355539332
W1,guide_growth,9,3,63.513918418512404,60.170138083048336,-5.740692434445464,67.09094624949307,103.78881987577597
W1,revenue_growth,9,3,130.63565907650113,109.17550465658032,-19.36381889110059,137.02940444606241,200.8195366665459
W2,joint_flight,9,3,80.30008152396422,58.49324608075429,-54.149087210487124,62.89258205786001,156.25651711565297
W2,joint_noflight,9,3,67.11851962227665,47.33324234436244,-27.175697762356474,65.09358085358234,146.16165552470375
W2,fixed_flight,9,3,75.67616139657466,59.91771272648995,-9.024899562844691,79.69386215732743,125.39500366531456
W2,fixed_noflight,9,3,78.80763001111795,61.36558200554595,12.638807142874207,82.50615728369186,139.13435355539332
W2,guide_growth,9,3,63.513918418512404,60.170138083048336,-5.740692434445464,67.09094624949307,103.78881987577597
W2,revenue_growth,9,3,130.63565907650113,109.17550465658032,-19.36381889110059,137.02940444606241,200.8195366665459
