scenario,p_yes,p_hotel_descriptor_upgraded,p_hotel_route_yes,p_other_routes
base (rev 2),0.259,0.296,0.163,0.114
upgrade hazards halved (0.06 / 0.10),0.189,0.154,0.085,0.114
upgrade hazards doubled (0.24 / 0.40),0.379,0.544,0.299,0.114
Laplace hazard on 5 opportunities at both prints (0.143 / 0.143),0.244,0.265,0.146,0.114
P(figure >= 3) 0.40 (unconditional supply arithmetic),0.219,0.296,0.118,0.114
P(figure >= 3) 0.65 (revision 1),0.285,0.296,0.192,0.114
P(figure >= 3) 0.85 (hotels 4-6%),0.337,0.296,0.252,0.114
combined new-business sentence 0.10,0.312,0.296,0.163,0.178
aggregation route 0 (resolver may not sum two figures),0.243,0.296,0.163,0.096
aggregation route 0.05,0.281,0.296,0.163,0.142
strict denominator (a share of nights must be >= 3.1): P(>=3) 0.50,0.245,0.296,0.148,0.114
only an explicit number counts (no bucket): hazards x 0.75,0.225,0.227,0.125,0.114
"auditor construction (0.10 / 0.18, true 0.55, agg 0.025)",0.246,0.262,0.144,0.119
"revision-1 construction (0.12 / 0.18, true 0.65, no agg)",0.26,0.278,0.181,0.096
"joint bull (0.20/0.35, true 0.85, combined 0.10, rev 0.06, agg 0.05)",0.543,0.48,0.408,0.228
"joint bear (0.06/0.10, true 0.40, others 0.01)",0.108,0.154,0.062,0.049
