method,object,target,quarter,vintage_date,horizon_q,point,q50,q10,q90,sd,window,prior_basis,n_params,n_train,spec_id,notes
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2023Q1,2023-02-14,1,25.24893319912772,25.24893319912772,19.04315041177106,31.45471598648438,4.842398038599008,W1,PIT,2,4,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2023Q1,2023-02-14,1,23.237033114153164,23.237033114153164,17.75639850932697,28.717667718979357,4.276561905253635,W1,full_sample,2,18,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2023Q2,2023-05-09,1,20.093306992933275,20.093306992933275,14.276343677446082,25.91027030842047,4.53900059262559,W1,PIT,2,5,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2023Q2,2023-05-09,1,19.763966077190215,19.763966077190215,14.28333147236402,25.24460068201641,4.276561905253635,W1,full_sample,2,18,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2023Q3,2023-08-03,1,16.306564382511908,16.306564382511908,11.151146443323938,21.461982321699878,4.022793992684293,W1,PIT,2,6,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2023Q3,2023-08-03,1,16.650552040963767,16.650552040963767,11.169917436137572,22.13118664578996,4.276561905253635,W1,full_sample,2,18,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2023Q4,2023-11-01,1,17.633983208355133,17.633983208355133,12.96503693504029,22.302929481669977,3.6431981348567555,W1,PIT,2,7,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2023Q4,2023-11-01,1,17.584576251831702,17.584576251831702,12.103941647005508,23.0652108566579,4.276561905253635,W1,full_sample,2,18,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2024Q1,2024-02-13,1,17.713660382192487,17.713660382192487,13.424740284302839,22.002580480082134,3.3466621345564462,W1,PIT,2,8,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2024Q1,2024-02-13,1,17.858341968810237,17.858341968810237,12.377707363984042,23.33897657363643,4.276561905253635,W1,full_sample,2,18,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2024Q1,2024-02-13,1,17.713660382192487,17.713660382192487,13.424740284302839,22.002580480082134,3.3466621345564462,W2,PIT,2,8,unearned_raw,"raw unearned y/y feature, no RNPL correction"
tracker-backlog,revenue_yoy_next_q,revenue_yoy,2024Q1,2024-02-13,1,17.858341968810237,17.858341968810237,12.377707363984042,23.33897657363643,4.276561905253635,W2,full_sample,2,18,unearned_raw,"raw unearned y/y feature, no RNPL correction"
