region,bucket,share
andalucía,b0_1Q,0.26083593323569537
andalucía,b1_2Q,0.18143798416100101
andalucía,b2_4Q_capped,0.5577260826033036
attica,b0_1Q,0.3235735961891839
attica,b1_2Q,0.16098589280311612
attica,b2_4Q_capped,0.5154405110076999
auvergne-rhone-alpes,b0_1Q,0.21224955461829004
auvergne-rhone-alpes,b1_2Q,0.23525545000031603
auvergne-rhone-alpes,b2_4Q_capped,0.5524949953813939
bc,b0_1Q,0.2775020745452382
bc,b1_2Q,0.19500777659598448
bc,b2_4Q_capped,0.5274901488587773
be,b0_1Q,0.25866078585672053
be,b1_2Q,0.2265966083646063
be,b2_4Q_capped,0.5147426057786731
bru,b0_1Q,0.26781382588302693
bru,b1_2Q,0.21712593315311768
bru,b2_4Q_capped,0.5150602409638554
bv,b0_1Q,0.24216005691792342
bv,b1_2Q,0.23574653179033783
bv,b2_4Q_capped,0.5220934112917388
bz,b0_1Q,0.2713013803513224
bz,b1_2Q,0.19289552935342974
bz,b2_4Q_capped,0.5358030902952479
ca,b0_1Q,0.2788101534007747
ca,b1_2Q,0.19387148271242544
ca,b2_4Q_capped,0.5273183638867999
campania,b0_1Q,0.26157660177752123
campania,b1_2Q,0.157512916579833
campania,b2_4Q_capped,0.5809104816426458
catalonia,b0_1Q,0.2827844560133088
catalonia,b1_2Q,0.18778804997291001
catalonia,b2_4Q_capped,0.5294274940137812
central-macedonia,b0_1Q,0.22894492212960235
central-macedonia,b1_2Q,0.16958696558071945
central-macedonia,b2_4Q_capped,0.6014681122896782
central-thailand,b0_1Q,0.20589075557185746
central-thailand,b1_2Q,0.18453346037136706
central-thailand,b2_4Q_capped,0.6095757840567755
ciudad-autónoma-de-buenos-aires,b0_1Q,0.2697535580716038
ciudad-autónoma-de-buenos-aires,b1_2Q,0.20839611412778086
ciudad-autónoma-de-buenos-aires,b2_4Q_capped,0.5218503278006154
co,b0_1Q,0.2997887133689131
co,b1_2Q,0.19828829793199068
co,b2_4Q_capped,0.5019229886990962
comunidad-de-madrid,b0_1Q,0.24856869925576178
comunidad-de-madrid,b1_2Q,0.22416389268010986
comunidad-de-madrid,b2_4Q_capped,0.5272674080641284
crete,b0_1Q,0.2877945791973296
crete,b1_2Q,0.19877727025426736
crete,b2_4Q_capped,0.5134281505484031
dc,b0_1Q,0.28367875647668395
dc,b1_2Q,0.18200593534916093
dc,b2_4Q_capped,0.5343153081741552
df,b0_1Q,0.23080186310183637
df,b1_2Q,0.2158954264742565
df,b2_4Q_capped,0.5533027104239071
emilia-romagna,b0_1Q,0.21275047570508074
emilia-romagna,b1_2Q,0.18369113445789628
emilia-romagna,b2_4Q_capped,0.6035583898370229
england,b0_1Q,0.2376652190033241
england,b1_2Q,0.22357707136405292
england,b2_4Q_capped,0.5387577096326229
fl,b0_1Q,0.22414182045099654
fl,b1_2Q,0.18101726661842443
fl,b2_4Q_capped,0.5948409129305791
geneva,b0_1Q,0.24059536553454222
geneva,b1_2Q,0.23303345191624947
geneva,b2_4Q_capped,0.5263711825492083
hi,b0_1Q,0.297386247672565
hi,b1_2Q,0.22476446967381947
hi,b2_4Q_capped,0.47784928265361554
hk,b0_1Q,0.19823821759374669
hk,b1_2Q,0.23328294921012854
hk,b2_4Q_capped,0.5684788331961248
hovedstaden,b0_1Q,0.2583353417998555
hovedstaden,b1_2Q,0.24619134570548712
hovedstaden,b2_4Q_capped,0.49547331249465737
il,b0_1Q,0.30429961866430716
il,b1_2Q,0.17541128659687258
il,b2_4Q_capped,0.5202890947388202
