window,baseline,omitted_quarter,n,candidate_rmse,baseline_rmse,mse_delta,lower_mse,refit
W1,B1_guide_growth,2023Q2,11,65.5950750861023,58.5969313550914,869.113511318094,False,False
W1,B2_revenue_naive_cushion,2023Q2,11,65.5950750861023,116.437780328475,-9255.04281227092,True,False
W1,B1_guide_growth,2023Q4,11,61.4557625470011,77.1889516461081,-2181.32350599183,True,False
W1,B2_revenue_naive_cushion,2023Q4,11,61.4557625470011,122.348543531521,-11192.355354051,True,False
W1,B1_guide_growth,2024Q1,11,65.7517116529476,76.9057126104374,-1591.20104682682,True,False
W1,B2_revenue_naive_cushion,2024Q1,11,65.7517116529476,122.048175583675,-10572.4695780112,True,False
W1,B1_guide_growth,2024Q2,11,61.7315502129894,76.3978327464475,-2025.84455665534,True,False
W1,B2_revenue_naive_cushion,2024Q2,11,61.7315502129894,117.555259780304,-10008.454810316,True,False
W1,B1_guide_growth,2024Q3,11,66.0304915977943,73.5728323087074,-1052.9358332788,True,False
W1,B2_revenue_naive_cushion,2024Q3,11,66.0304915977943,106.153372472552,-6908.51266664996,True,False
W1,B1_guide_growth,2024Q4,11,65.8574376400986,76.6994852545566,-1545.60894579447,True,False
W1,B2_revenue_naive_cushion,2024Q4,11,65.8574376400986,122.354554021632,-10633.4347973131,True,False
W1,B1_guide_growth,2025Q1,11,65.8601756938863,76.0254851444194,-1442.31164901476,True,False
W1,B2_revenue_naive_cushion,2025Q1,11,65.8601756938863,121.764622244873,-10489.0604880071,True,False
W1,B1_guide_growth,2025Q2,11,61.8576672660575,76.4352953736566,-2015.98337925985,True,False
W1,B2_revenue_naive_cushion,2025Q2,11,61.8576672660575,122.440698442762,-11165.3536355531,True,False
W1,B1_guide_growth,2025Q3,11,55.7386335311882,75.2955226724462,-2562.62046659276,True,False
W1,B2_revenue_naive_cushion,2025Q3,11,55.7386335311882,109.787821266518,-8946.57043052489,True,False
W1,B1_guide_growth,2025Q4,11,65.7758907369978,76.7157696228128,-1558.84150657501,True,False
W1,B2_revenue_naive_cushion,2025Q4,11,65.7758907369978,121.599659482586,-10460.0093840354,True,False
W1,B1_guide_growth,2026Q1,11,66.201185037214,71.1159155893899,-674.876549785783,True,False
W1,B2_revenue_naive_cushion,2026Q1,11,66.201185037214,112.048513557386,-8172.27249008821,True,False
W1,B1_guide_growth,2026Q2,11,58.4132452233394,75.0182391535072,-2215.62898817082,True,False
W1,B2_revenue_naive_cushion,2026Q2,11,58.4132452233394,111.547113020274,-9030.65120563574,True,False
W2,B1_guide_growth,2024Q1,9,66.5210773864305,63.0404449126935,450.956041861128,False,False
W2,B2_revenue_naive_cushion,2024Q1,9,66.5210773864305,127.965122640947,-11950.0188758612,True,False
W2,B1_guide_growth,2024Q2,9,61.6332769067115,62.2811025661502,-80.2749145959469,True,False
W2,B2_revenue_naive_cushion,2024Q2,9,61.6332769067115,122.716454949538,-11260.6674931227,True,False
W2,B1_guide_growth,2024Q3,9,66.8577297274322,57.9751694865799,1108.83574730871,False,False
W2,B2_revenue_naive_cushion,2024Q3,9,66.8577297274322,109.27856762347,-7471.84931753086,True,False
W2,B1_guide_growth,2024Q4,9,66.6487836092731,62.7326122180087,506.679720900665,False,False
W2,B2_revenue_naive_cushion,2024Q4,9,66.6487836092731,128.322220516442,-12024.5319216747,True,False
W2,B1_guide_growth,2025Q1,9,66.6520903717976,61.7217075137261,632.931972520315,False,False
W2,B2_revenue_naive_cushion,2025Q1,9,66.6520903717976,127.634539147729,-11848.0744325229,True,False
W2,B1_guide_growth,2025Q2,9,61.7876301780977,62.3372569774391,-68.22236444591,True,False
W2,B2_revenue_naive_cushion,2025Q2,9,61.7876301780977,128.422607780778,-12674.6549461903,True,False
W2,B1_guide_growth,2025Q3,9,54.2054406236252,60.6181833551318,-736.334360075022,True,False
W2,B2_revenue_naive_cushion,2025Q3,9,54.2054406236252,113.582739005153,-9962.80880671133,True,False
W2,B1_guide_growth,2025Q4,9,66.5502867648446,62.7569444557752,490.506591057788,False,False
W2,B2_revenue_naive_cushion,2025Q4,9,66.5502867648446,127.442175892252,-11812.5675276687,True,False
W2,B1_guide_growth,2026Q1,9,67.0637226783379,54.0983797776396,1570.90820491129,False,False
W2,B2_revenue_naive_cushion,2026Q1,9,67.0637226783379,116.249677663062,-9016.44465728872,True,False
W2,B1_guide_growth,2026Q2,9,57.5446682387681,60.1965323497614,-312.233664225979,True,False
W2,B2_revenue_naive_cushion,2026Q2,9,57.5446682387681,115.658821718118,-10065.5741985135,True,False
