quarter,anchor_date,origin_date,origin_close,origin_close_utc,close_basis,guide_issuance_date,lead_days,target_date_basis,reconstruction_status,cushion_divisor,cushion_n,cushion_quarters,panel_n,panel_quarters,method,status,reason,point_musd,n_params,revenue_point_musd,source_quarters,api_interval_discarded,gbv1_hat_musd,gbv2_hat_musd,base_hat_musd,lambda_pct,lambda_variant,lambda_n_train,lambda_training_quarters,lambda_knowable_from,n_unprinted_gbv,value_low,value_high,value_mid,target_available_date,target_mid_lo,target_mid_hi,rounding_basis,error_raw_musd,error_interval_musd,rounding_adjustment_musd,error_raw_pct,error_interval_pct,year,season,n,actual_revenue_musd,actual_base_musd,lambda_star,divisor_star,b,l,a,U,C,P,UC,UP,CP,UCP,ROUND,raw_error,interval_error,raw_reconciliation_residual,interval_reconciliation_residual,ordered_upstream,ordered_conversion,ordered_policy,interpretation,gbv_shapley_musd,conversion_shapley_musd,cushion_shapley_musd,oracle_gbv_revenue_musd,oracle_gbv_guide_musd,oracle_guide_raw_error_musd,oracle_guide_interval_error_musd,candidate_revenue_raw_error_musd,oracle_conversion_revenue_error_musd,gbv_unavailable_increment_musd,shapley_reconciliation_residual_musd,oracle_status
2023Q2,2023-03-14,2023-03-14,2023-03-14T16:00:00-04:00,2023-03-14T20:00:00+00:00,regular_session_midmonth; no scheduled early close at these anchors,2023-05-09,56,observed_first_issuance,frozen_panel_reconstruction_not_archived_forecast,1.03369565217391,5,2021Q4;2022Q1;2022Q2;2022Q3;2022Q4,10,2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4,candidate_k0_gbv,forecast,,2431.69090756819,5,2513.62831858407,,,20548.6725663717,13500,18199.1150442478,13.8118161925602,ex_covid,1,2022Q2,2022-08-02,1,2350,2450,2400,2023-05-09,2399.5,2400.5,project midpoint +/-0.5 USDm convention; nominal guide endpoints,31.6909075681901,31.1909075681901,-0.5,1.32045448200792,1.29962114867459,2023,2,1,2484,18100,0.137237569060773,1.035,99.1150442477992,0.0008805928648285,0.001219159085024,13.1423263091005,15.3997399549723,3.02839116719965,0.0843285031514742,0.0165833770462231,0.0194318485236707,0.0001064082058696,-0.5,31.6909075681901,31.1909075681901,9.51416723182774e-12,9.51416723182774e-12,13.243344597504,15.4191718034957,3.02839116719952,expost accounting identity; interactions not unique causal shocks,13.1928177186014,15.4516556002202,3.04643424938672,2499.9387308534,2418.4475629707,18.4475629706953,17.9475629706953,29.6283185840698,15.938730853396,13.2433445974948,1.82325265996042e-11,ex_post_actual_GBV_substitution_holds_pre_event_lambda_and_cushion_not_executable
2023Q4,2023-09-13,2023-09-13,2023-09-13T16:00:00-04:00,2023-09-13T20:00:00+00:00,regular_session_midmonth; no scheduled early close at these anchors,2023-11-01,49,observed_first_issuance,frozen_panel_reconstruction_not_archived_forecast,1.03369565217391,7,2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2,12,2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2,candidate_k0_gbv,forecast,,2067.29411764706,5,2136.95294117647,,,17527.0588235294,19100,18051.3725490196,11.8381742738589,ex_covid,1,2022Q4,2023-02-14,1,2130,2170,2150,2023-11-01,2149.5,2150.5,project midpoint +/-0.5 USDm convention; nominal guide endpoints,-82.7058823529401,-82.2058823529401,0.5,-3.84678522571814,-3.82352941176465,2023,4,1,2218,18566.6666666667,0.119461400359066,1.03162790697674,-515.294117647067,-0.0010796576204774,-0.001939015359464,-59.6705037490769,-19.4310788007624,-4.30073606729128,0.539284772292791,0.119361436105625,0.0388688099650316,-0.0010787541724374,0.5,-82.7058823529401,-82.2058823529401,5.40012479177676e-13,5.40012479177676e-13,-59.0129362948509,-19.3922099907975,-4.30073606729138,expost accounting identity; interactions not unique causal shocks,-59.3415402296055,-19.14236159435,-4.22198052897996,2197.95435684647,2126.30705394192,-23.692946058085,-23.192946058085,-81.0470588235298,-20.0456431535267,-59.0129362948551,4.56168436357984e-12,ex_post_actual_GBV_substitution_holds_pre_event_lambda_and_cushion_not_executable
2024Q1,2023-12-14,2023-12-14,2023-12-14T16:00:00-05:00,2023-12-14T21:00:00+00:00,regular_session_midmonth; no scheduled early close at these anchors,2024-02-13,61,observed_first_issuance,frozen_panel_reconstruction_not_archived_forecast,1.02638846212936,8,2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3,13,2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3,candidate_k0_gbv,forecast,,2077.82328508391,5,2132.65384615385,,,15836.5384615385,18300,16657.6923076923,12.8028169014085,ex_covid,1,2023Q1,2023-05-09,1,2030,2070,2050,2024-02-13,2049.5,2050.5,project midpoint +/-0.5 USDm convention; nominal guide endpoints,27.8232850839099,27.3232850839099,-0.5,1.35723341872731,1.33284317482487,2024,1,1,2142,16433.3333333333,0.130344827586207,1.04487804878049,224.358974358969,-0.0023166585721219,0.0172404991504205,27.9879856451858,-36.4352783366792,36.9291491802007,-0.497439047348939,0.504181705924088,-0.656353087374321,-0.008960975993954,-0.5,27.8232850839099,27.3232850839099,4.2525982735242e-12,4.2525982735242e-12,27.985767327767,-37.0916314240535,36.929149180201,expost accounting identity; interactions not unique causal shocks,27.9883699824794,-37.0151613960403,36.8500764974776,2103.92957746479,2049.83751775614,-0.16248224385663,0,-9.34615384615017,-38.0704225352074,27.9857673277666,6.84252654536976e-12,ex_post_actual_GBV_substitution_holds_pre_event_lambda_and_cushion_not_executable
2024Q2,2024-03-14,2024-03-14,2024-03-14T16:00:00-04:00,2024-03-14T20:00:00+00:00,regular_session_midmonth; no scheduled early close at these anchors,2024-05-08,55,observed_first_issuance,frozen_panel_reconstruction_not_archived_forecast,1.02535458953077,8,2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4,14,2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4,candidate_k0_gbv,forecast,,2790.40055154569,5,2861.15001215658,,,23422.2222222222,15500,20781.4814814815,13.7677865493188,ex_covid,2,2022Q2;2023Q2,2023-08-03,1,2680,2740,2710,2024-05-08,2709.5,2710.5,project midpoint +/-0.5 USDm convention; nominal guide endpoints,80.4005515456902,79.9005515456902,-0.5,2.96681002013617,2.94835983563432,2024,2,1,2748,20433.3333333333,0.134486133768352,1.0140221402214,348.148148148168,0.0031917317248356,-0.010899391887601,46.1736450969756,64.3158720675486,-29.9515289071276,1.09582961289649,-0.510321500320855,-0.710833469158046,-0.0121113551025666,-0.5,80.4005515456902,79.9005515456902,2.14441797652398e-11,2.14441797652398e-11,46.7470418544487,63.6050385983905,-29.9515289071278,expost accounting identity; interactions not unique causal shocks,46.4623620349,64.5043330210574,-30.5661435102345,2813.21771824414,2743.65350969126,33.6535096912585,33.1535096912585,113.15001215658,65.2177182441369,46.7470418544317,3.2713387554395e-11,ex_post_actual_GBV_substitution_holds_pre_event_lambda_and_cushion_not_executable
2024Q3,2024-06-13,2024-06-13,2024-06-13T16:00:00-04:00,2024-06-13T20:00:00+00:00,regular_session_midmonth; no scheduled early close at these anchors,2024-08-06,54,observed_first_issuance,frozen_panel_reconstruction_not_archived_forecast,1.02535458953077,8,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1,15,2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1,candidate_k0_gbv,forecast,,3719.00517005819,5,3813.29901960784,,,21440.6862745098,22900,21927.1241830065,17.3907849829352,ex_covid,1,2023Q3,2023-11-01,1,3670,3730,3700,2024-08-06,3699.5,3700.5,project midpoint +/-0.5 USDm convention; nominal guide endpoints,19.0051700581898,18.5051700581898,-0.5,0.513653244815941,0.500139731302428,2024,3,1,3732,21766.6666666667,0.17145482388974,1.00864864864865,160.457516339833,0.0024530259396123,-0.0161531397170661,27.2753205416868,52.9363698883299,-60.2835174240907,0.390231474869593,-0.444392503006064,-0.86248393960304,-0.0063579799769539,-0.5,19.0051700581898,18.5051700581898,1.9678481066876e-11,1.9678481066876e-11,27.2148015335734,52.0738859487266,-60.2835174240904,expost accounting identity; interactions not unique causal shocks,27.246120700954,52.6981243292965,-60.9390749720543,3785.39419795223,3691.79036852464,-8.20963147535804,-7.70963147535804,81.2990196078399,53.3941979522347,27.2148015335479,6.3842264808045e-12,ex_post_actual_GBV_substitution_holds_pre_event_lambda_and_cushion_not_executable
2024Q4,2024-09-13,2024-09-13,2024-09-13T16:00:00-04:00,2024-09-13T20:00:00+00:00,regular_session_midmonth; no scheduled early close at these anchors,2024-11-07,55,observed_first_issuance,frozen_panel_reconstruction_not_archived_forecast,1.02535458953077,8,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2,16,2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2,candidate_k0_gbv,forecast,,2390.13809678456,5,2450.7390671504,,,20312.0418848168,21200,20608.0279232112,11.8921571548828,ex_covid,2,2022Q4;2023Q4,2024-02-13,1,2390,2440,2415,2024-11-07,2414.5,2415.5,project midpoint +/-0.5 USDm convention; nominal guide endpoints,-24.8619032154402,-24.3619032154402,0.5,-1.02947839401409,-1.00877446026667,2024,4,1,2480,20466.6666666667,0.121172638436482,1.02691511387164,141.361256544533,-0.002251066887654,0.0014820468126853,16.6801678121358,-44.8643076839026,3.67547609545974,-0.309873366850017,0.0253861524065268,-0.068280617155915,-0.0004716075165535,0.5,-24.8619032154402,-24.3619032154402,1.71809233506792e-11,1.71809233506792e-11,16.3952089901758,-44.9325883010587,3.67547609545954,expost accounting identity; interactions not unique causal shocks,16.5377670024047,-45.0535418784098,3.6538716605794,2433.92816436602,2373.7428877944,-41.2571122055951,-40.7571122055951,-29.2609328496001,-46.071835633983,16.395208990155,1.45732315104397e-11,ex_post_actual_GBV_substitution_holds_pre_event_lambda_and_cushion_not_executable
2025Q1,2024-12-14,2024-12-13,2024-12-13T16:00:00-05:00,2024-12-13T21:00:00+00:00,regular_session_midmonth; no scheduled early close at these anchors,2025-02-13,62,observed_first_issuance,frozen_panel_reconstruction_not_archived_forecast,1.02505765096736,8,2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3,17,2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3,candidate_k0_gbv,forecast,,2274.78034553435,5,2331.78099746017,,,17024.5901639344,20100,18049.7267759563,12.9186498300146,ex_covid,2,2023Q1;2024Q1,2024-05-08,1,2230,2270,2250,2025-02-13,2249.5,2250.5,project midpoint +/-0.5 USDm convention; nominal guide endpoints,24.7803455343501,24.2803455343501,-0.5,1.10134869041556,1.07912646819334,2025,1,1,2272,18433.3333333333,0.123254972875226,1.00977777777778,-383.606557377032,0.0059315254249199,-0.0147620152454263,-46.8235852132905,108.279056777533,-33.5392986376086,-2.25333939637224,0.69796898122314,-1.61404605398234,0.0335890768652521,-0.5,24.7803455343501,24.2803455343501,1.76747505520325e-11,1.76747505520325e-11,-48.3453665515744,106.665010723551,-33.5392986376087,expost accounting identity; interactions not unique causal shocks,-47.5900740619061,106.356560411312,-33.986140815033,2381.33778533269,2323.12571208594,73.1257120859382,72.6257120859382,59.7809974601701,109.337785332687,-48.3453665515881,2.27267094032868e-11,ex_post_actual_GBV_substitution_holds_pre_event_lambda_and_cushion_not_executable
2025Q2,2025-03-14,2025-03-14,2025-03-14T16:00:00-04:00,2025-03-14T20:00:00+00:00,regular_session_midmonth; no scheduled early close at these anchors,2025-05-01,48,observed_first_issuance,frozen_panel_reconstruction_not_archived_forecast,1.02270125441481,8,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4,18,2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4,candidate_k0_gbv,forecast,,3099.32032955026,5,3169.67878886438,,,26002.5806451613,17600,23201.7204301075,13.6613954918243,ex_covid,3,2022Q2;2023Q2;2024Q2,2024-08-06,1,2990,3050,3020,2025-05-01,3019.5,3020.5,project midpoint +/-0.5 USDm convention; nominal guide endpoints,79.3203295502599,78.8203295502599,-0.5,2.62650097848543,2.6099446870947,2025,2,1,3096,22200,0.139459459459459,1.02516556291391,1001.7204301075,-0.0028455045412164,0.0023504568197521,136.270076528137,-61.6195111309161,7.2770143139525,-2.78042897266104,0.328357383264456,-0.148478829310739,-0.0066997421963518,-0.5,79.3203295502599,78.8203295502599,1.01891828307998e-11,1.01891828307998e-11,133.811305196544,-61.767989960227,7.2770143139528,expost accounting identity; interactions not unique causal shocks,135.04180748604,-63.0861982792911,7.36472034353043,3032.82979918499,2965.50902435373,-54.4909756462748,-53.9909756462748,73.6787888643798,-63.170200815006,133.811305196535,1.95257143786876e-11,ex_post_actual_GBV_substitution_holds_pre_event_lambda_and_cushion_not_executable
2025Q3,2025-06-13,2025-06-13,2025-06-13T16:00:00-04:00,2025-06-13T20:00:00+00:00,regular_session_midmonth; no scheduled early close at these anchors,2025-08-06,54,observed_first_issuance,frozen_panel_reconstruction_not_archived_forecast,1.02047248230895,8,2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1,19,2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1,candidate_k0_gbv,forecast,,3940.63883140896,5,4021.31349017095,,,22681.2227074236,24500,23287.4818049491,17.2681336859546,ex_covid,2,2023Q3;2024Q3,2024-11-07,1,4020,4100,4060,2025-08-06,4059.5,4060.5,project midpoint +/-0.5 USDm convention; nominal guide endpoints,-119.36116859104,-118.86116859104,0.5,-2.93993026086306,-2.92761498992709,2025,3,1,4095,23833.3333333333,0.171818181818182,1.00862068965517,-545.851528384232,0.0008631550413641,-0.0115147595690982,-92.9856170030761,20.3960339403829,-47.1529404354571,-0.467127537035021,1.07993725613307,-0.236880042736561,0.005425230770831,0.5,-119.36116859104,-118.86116859104,2.20410356632783e-11,2.20410356632783e-11,-92.3673820532072,20.1591538976456,-47.1529404354569,expost accounting identity; interactions not unique causal shocks,-92.6774037332645,20.0458385607495,-46.7296034185019,4115.57186181917,4033.00621346218,-26.9937865378165,-26.4937865378165,-73.68650982905,20.5718618191731,-92.3673820532235,2.31494823310641e-11,ex_post_actual_GBV_substitution_holds_pre_event_lambda_and_cushion_not_executable
2025Q4,2025-09-13,2025-09-12,2025-09-12T16:00:00-04:00,2025-09-12T20:00:00+00:00,regular_session_midmonth; no scheduled early close at these anchors,2025-11-06,55,observed_first_issuance,frozen_panel_reconstruction_not_archived_forecast,1.01959770683009,8,2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2,20,2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2,candidate_k0_gbv,forecast,,2662.82455208825,5,2715.00980700004,,,22280.6603773585,23500,22687.106918239,11.9671927178046,ex_covid,3,2022Q4;2023Q4;2024Q4,2025-02-13,1,2660,2720,2690,2025-11-06,2689.5,2690.5,project midpoint +/-0.5 USDm convention; nominal guide endpoints,-27.1754479117499,-26.6754479117499,0.5,-1.01023969932156,-0.991652338726761,2025,4,1,2778,23100,0.12025974025974,1.03271375464684,-412.893081761002,-0.0005878130816942,0.0124564468667292,-48.0814887418656,-13.1483502820012,34.6040093957737,0.235015708571801,-0.618517579251414,-0.169139641894905,0.0030232289173133,0.5,-27.1754479117499,-26.6754479117499,-3.73034936274053e-13,-3.73034936274053e-13,-48.4619673836279,-13.3174899238959,34.6040093957736,expost accounting identity; interactions not unique causal shocks,-48.272231934233,-13.1144045056843,34.2111885281733,2764.42151781286,2711.28651947188,21.2865194718779,20.7865194718779,-62.9901929999601,-13.5784821871371,-48.4619673836278,5.93303184359684e-12,ex_post_actual_GBV_substitution_holds_pre_event_lambda_and_cushion_not_executable
