quarter,ledger,input_quarter,field,available_date,origin_date,strictly_before
2021Q4,panel_inputs.csv,2020Q4,available_date,2021-02-25,2021-09-13,True
2021Q4,panel_inputs.csv,2021Q1,available_date,2021-05-13,2021-09-13,True
2021Q4,panel_inputs.csv,2021Q2,available_date,2021-08-12,2021-09-13,True
2022Q1,panel_inputs.csv,2020Q3,available_date,2021-11-04,2021-12-14,True
2022Q1,panel_inputs.csv,2020Q4,available_date,2021-02-25,2021-12-14,True
2022Q1,panel_inputs.csv,2021Q1,available_date,2021-05-13,2021-12-14,True
2022Q1,panel_inputs.csv,2021Q2,available_date,2021-08-12,2021-12-14,True
2022Q1,panel_inputs.csv,2021Q3,available_date,2021-11-04,2021-12-14,True
2022Q2,panel_inputs.csv,2020Q3,available_date,2021-11-04,2022-03-14,True
2022Q2,panel_inputs.csv,2020Q4,available_date,2021-02-25,2022-03-14,True
2022Q2,panel_inputs.csv,2021Q1,available_date,2021-05-13,2022-03-14,True
2022Q2,panel_inputs.csv,2021Q2,available_date,2021-08-12,2022-03-14,True
2022Q2,panel_inputs.csv,2021Q3,available_date,2021-11-04,2022-03-14,True
2022Q2,panel_inputs.csv,2021Q4,available_date,2022-02-15,2022-03-14,True
2022Q3,panel_inputs.csv,2020Q3,available_date,2021-11-04,2022-06-13,True
2022Q3,panel_inputs.csv,2020Q4,available_date,2021-02-25,2022-06-13,True
2022Q3,panel_inputs.csv,2021Q1,available_date,2021-05-13,2022-06-13,True
2022Q3,panel_inputs.csv,2021Q2,available_date,2021-08-12,2022-06-13,True
2022Q3,panel_inputs.csv,2021Q3,available_date,2021-11-04,2022-06-13,True
2022Q3,panel_inputs.csv,2021Q4,available_date,2022-02-15,2022-06-13,True
2022Q3,panel_inputs.csv,2022Q1,available_date,2022-05-03,2022-06-13,True
2022Q4,panel_inputs.csv,2020Q3,available_date,2021-11-04,2022-09-13,True
2022Q4,panel_inputs.csv,2020Q4,available_date,2021-02-25,2022-09-13,True
2022Q4,panel_inputs.csv,2021Q1,available_date,2021-05-13,2022-09-13,True
2022Q4,panel_inputs.csv,2021Q2,available_date,2021-08-12,2022-09-13,True
2022Q4,panel_inputs.csv,2021Q3,available_date,2021-11-04,2022-09-13,True
2022Q4,panel_inputs.csv,2021Q4,available_date,2022-02-15,2022-09-13,True
2022Q4,panel_inputs.csv,2022Q1,available_date,2022-05-03,2022-09-13,True
2022Q4,panel_inputs.csv,2022Q2,available_date,2022-08-02,2022-09-13,True
2023Q1,panel_inputs.csv,2020Q3,available_date,2021-11-04,2022-12-14,True
2023Q1,panel_inputs.csv,2020Q4,available_date,2021-02-25,2022-12-14,True
2023Q1,panel_inputs.csv,2021Q1,available_date,2021-05-13,2022-12-14,True
2023Q1,panel_inputs.csv,2021Q2,available_date,2021-08-12,2022-12-14,True
2023Q1,panel_inputs.csv,2021Q3,available_date,2021-11-04,2022-12-14,True
2023Q1,panel_inputs.csv,2021Q4,available_date,2022-02-15,2022-12-14,True
2023Q1,panel_inputs.csv,2022Q1,available_date,2022-05-03,2022-12-14,True
2023Q1,panel_inputs.csv,2022Q2,available_date,2022-08-02,2022-12-14,True
2023Q1,panel_inputs.csv,2022Q3,available_date,2022-11-01,2022-12-14,True
2023Q2,panel_inputs.csv,2020Q3,available_date,2021-11-04,2023-03-14,True
2023Q2,panel_inputs.csv,2020Q4,available_date,2021-02-25,2023-03-14,True
2023Q2,panel_inputs.csv,2021Q1,available_date,2021-05-13,2023-03-14,True
2023Q2,panel_inputs.csv,2021Q2,available_date,2021-08-12,2023-03-14,True
2023Q2,panel_inputs.csv,2021Q3,available_date,2021-11-04,2023-03-14,True
2023Q2,panel_inputs.csv,2021Q4,available_date,2022-02-15,2023-03-14,True
2023Q2,panel_inputs.csv,2022Q1,available_date,2022-05-03,2023-03-14,True
2023Q2,panel_inputs.csv,2022Q2,available_date,2022-08-02,2023-03-14,True
2023Q2,panel_inputs.csv,2022Q3,available_date,2022-11-01,2023-03-14,True
2023Q2,panel_inputs.csv,2022Q4,available_date,2023-02-14,2023-03-14,True
2023Q3,panel_inputs.csv,2020Q3,available_date,2021-11-04,2023-06-13,True
2023Q3,panel_inputs.csv,2020Q4,available_date,2021-02-25,2023-06-13,True
2023Q3,panel_inputs.csv,2021Q1,available_date,2021-05-13,2023-06-13,True
2023Q3,panel_inputs.csv,2021Q2,available_date,2021-08-12,2023-06-13,True
2023Q3,panel_inputs.csv,2021Q3,available_date,2021-11-04,2023-06-13,True
2023Q3,panel_inputs.csv,2021Q4,available_date,2022-02-15,2023-06-13,True
2023Q3,panel_inputs.csv,2022Q1,available_date,2022-05-03,2023-06-13,True
2023Q3,panel_inputs.csv,2022Q2,available_date,2022-08-02,2023-06-13,True
2023Q3,panel_inputs.csv,2022Q3,available_date,2022-11-01,2023-06-13,True
2023Q3,panel_inputs.csv,2022Q4,available_date,2023-02-14,2023-06-13,True
2023Q3,panel_inputs.csv,2023Q1,available_date,2023-05-09,2023-06-13,True
2023Q4,panel_inputs.csv,2020Q3,available_date,2021-11-04,2023-09-13,True
2023Q4,panel_inputs.csv,2020Q4,available_date,2021-02-25,2023-09-13,True
2023Q4,panel_inputs.csv,2021Q1,available_date,2021-05-13,2023-09-13,True
2023Q4,panel_inputs.csv,2021Q2,available_date,2021-08-12,2023-09-13,True
2023Q4,panel_inputs.csv,2021Q3,available_date,2021-11-04,2023-09-13,True
2023Q4,panel_inputs.csv,2021Q4,available_date,2022-02-15,2023-09-13,True
2023Q4,panel_inputs.csv,2022Q1,available_date,2022-05-03,2023-09-13,True
2023Q4,panel_inputs.csv,2022Q2,available_date,2022-08-02,2023-09-13,True
2023Q4,panel_inputs.csv,2022Q3,available_date,2022-11-01,2023-09-13,True
2023Q4,panel_inputs.csv,2022Q4,available_date,2023-02-14,2023-09-13,True
2023Q4,panel_inputs.csv,2023Q1,available_date,2023-05-09,2023-09-13,True
2023Q4,panel_inputs.csv,2023Q2,available_date,2023-08-03,2023-09-13,True
2024Q1,panel_inputs.csv,2020Q3,available_date,2021-11-04,2023-12-14,True
2024Q1,panel_inputs.csv,2020Q4,available_date,2021-02-25,2023-12-14,True
2024Q1,panel_inputs.csv,2021Q1,available_date,2021-05-13,2023-12-14,True
