window,n,factor_a,factor_b,multiplier,mean_a,mean_b,raw_second_moment,contribution_to_raw_mse,population_covariance,contribution_to_population_variance,correlation
W1,12,gbv_shapley_musd,gbv_shapley_musd,1,-6.87745825500024,-6.87745825500024,3761.43576159094,3761.43576159094,3714.13632954167,3714.13632954167,1
W1,12,gbv_shapley_musd,conversion_shapley_musd,2,-6.87745825500024,8.59884991065327,-949.51343509151,-1899.02687018302,-890.37520378998,-1780.75040757996,-0.311331538793708
W1,12,gbv_shapley_musd,cushion_shapley_musd,2,-6.87745825500024,-8.81777972267404,446.887570540006,893.775141080012,386.243658595528,772.487317191056,0.21017811833112
W1,12,conversion_shapley_musd,conversion_shapley_musd,1,8.59884991065327,8.59884991065327,2276.065569725,2276.065569725,2202.12534993906,2202.12534993906,1
W1,12,conversion_shapley_musd,cushion_shapley_musd,2,8.59884991065327,-8.81777972267404,-970.827872475826,-1941.65574495165,-895.00510809535,-1790.0102161907,-0.632498578188418
W1,12,cushion_shapley_musd,cushion_shapley_musd,1,-8.81777972267404,-8.81777972267404,987.017004335808,987.017004335808,909.263765098207,909.263765098207,1
W2,10,gbv_shapley_musd,gbv_shapley_musd,1,-3.63807765489988,-3.63807765489988,4144.17603029131,4144.17603029131,4130.94042126823,4130.94042126823,1
W2,10,gbv_shapley_musd,conversion_shapley_musd,2,-3.63807765489988,10.6876904921969,-1273.39493175232,-2546.78986350464,-1234.51228379017,-2469.02456758035,-0.379878923338031
W2,10,gbv_shapley_musd,cushion_shapley_musd,2,-3.63807765489988,-10.4637810392495,507.192096732714,1014.38419346543,469.124048748055,938.24809749611,0.222905847125694
W2,10,conversion_shapley_musd,conversion_shapley_musd,1,10.6876904921969,10.6876904921969,2670.76031685034,2670.76031685034,2556.53358879334,2556.53358879334,1
W2,10,conversion_shapley_musd,cushion_shapley_musd,2,10.6876904921969,-10.4637810392495,-1177.78256004702,-2355.56512009404,-1065.9489069214,-2131.8978138428,-0.643826527246707
W2,10,cushion_shapley_musd,cushion_shapley_musd,1,-10.4637810392495,-10.4637810392495,1181.70981708068,1181.70981708068,1072.21910344332,1072.21910344332,1
