window,method,target,basis,n,bias_musd,mae_musd,rmse_musd,mse_musd2,population_variance_musd2,sample_sd_musd
W1,candidate_guide,first_issued_guide,raw,12,-7.09638806703586,52.6337494308342,63.8561732457943,4077.61086159689,4027.25213799892,66.2824710517502
W1,candidate_guide,first_issued_guide,midpoint_plusminus_0_5,12,-7.17972140036919,52.1337494308342,63.444677571614,4025.22711216606,3973.67871277914,65.8401263070075
W1,oracle_GBV_guide,first_issued_guide,raw,12,-0.113564777276565,31.0608668173581,36.3729998771912,1322.99512006615,1322.98222310751,37.9901741809524
W1,oracle_GBV_guide,first_issued_guide,midpoint_plusminus_0_5,12,-0.058357923621846,30.5889932970367,35.9468324065207,1292.17476006248,1292.17135441523,37.5451924691283
W1,candidate_revenue,actual_revenue,raw,12,1.69834979963995,57.8911729792,65.6853523672556,4314.56551561054,4311.6811235686,68.5831767622506
W1,oracle_GBV_conversion_revenue,actual_revenue,raw,12,8.80669727351778,39.1163453821324,48.6641351325088,2368.19804819508,2290.64013132769,49.9888001783057
W1,gbv_shapley_musd,raw_guide_error_attribution,Shapley_diagnostic,12,-6.87745825500024,51.2889990758969,61.3305450945199,3761.43576159094,3714.13632954167,63.6536337279556
W1,conversion_shapley_musd,raw_guide_error_attribution,Shapley_diagnostic,12,8.59884991065327,38.3171900794739,47.7081289690238,2276.065569725,2202.12534993906,49.0134528835695
W1,cushion_shapley_musd,raw_guide_error_attribution,Shapley_diagnostic,12,-8.81777972267404,25.758223018766,31.4168267706305,987.017004335808,909.263765098207,31.4948266764537
W2,candidate_guide,first_issued_guide,raw,10,-3.41416820196803,51.720820324888,64.0989498672863,4108.67537408888,4097.01882957755,67.4703130567441
W2,candidate_guide,first_issued_guide,midpoint_plusminus_0_5,10,-3.51416820196803,51.220820324888,63.6961894760117,4057.20455376399,4044.85517561227,67.0394177216514
W2,oracle_GBV_guide,first_issued_guide,raw,10,0.388260576007087,33.0589892779517,38.6966060118,1497.42731683247,1497.27657055759,40.7877510283771
W2,oracle_GBV_guide,first_issued_guide,midpoint_plusminus_0_5,10,0.45450880039275,32.592741053566,38.2701833772841,1464.60693573095,1464.40035748131,40.3374702765626
W2,candidate_revenue,actual_revenue,raw,10,7.17989378351394,58.40186983428,66.5795187585962,4432.83231812626,4381.28144338372,69.7717026641071
W2,oracle_GBV_conversion_revenue,actual_revenue,raw,10,10.9787279582344,43.3411770578666,52.6901372437816,2776.25056276854,2655.71809518762,54.3212470727781
W2,gbv_shapley_musd,raw_guide_error_attribution,Shapley_diagnostic,10,-3.63807765489988,54.2933630962555,64.3752749919665,4144.17603029131,4130.94042126823,67.7490501882436
W2,conversion_shapley_musd,raw_guide_error_attribution,Shapley_diagnostic,10,10.6876904921969,42.5212263759117,51.6793993468417,2670.76031685034,2556.53358879334,53.2972126516673
W2,cushion_shapley_musd,raw_guide_error_attribution,Shapley_diagnostic,10,-10.4637810392495,30.1830261446826,34.3760064155317,1181.70981708068,1072.21910344332,34.5160043947944
