event_index,prediction_id,issuing_fiscal_period,guided_fiscal_period,guidance_available_at_utc,target_metric,target_type,target_low,target_high,target_midpoint,target_unit,currency,target_source_id,target_citation,target_confidence,notes
1,ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,revenue_guidance,qualitative,,,,USD_millions,USD,AIRBNB_PR,https://news.airbnb.com/airbnb-q4-2020-financial-results/,medium,Qualitative only; no numeric midpoint manufactured; earliest observed public release timestamp needs continued source preservation.
2,ABNB-2021Q1-GUIDE,2021Q1,2021Q2,2021-05-13T20:00:42Z,revenue_guidance,qualitative,,,,USD_millions,USD,SEC_8K,https://www.sec.gov/Archives/edgar/data/1559720/,medium,Qualitative only; no numeric midpoint manufactured.
3,ABNB-2021Q2-GUIDE,2021Q2,2021Q3,2021-08-12T20:01:10Z,revenue_guidance,qualitative,,,,USD_millions,USD,SEC_8K,https://www.sec.gov/Archives/edgar/data/1559720/,medium,Qualitative only; no numeric midpoint manufactured.
4,ABNB-2021Q3-GUIDE,2021Q3,2021Q4,2021-11-04T20:01:21Z,revenue_guidance,numeric_range,1390,1480,1435,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,high,Numeric shareholder-letter range; transcript is contextual target evidence only.
5,ABNB-2021Q4-GUIDE,2021Q4,2022Q1,2022-02-15T21:02:10Z,revenue_guidance,numeric_range,1410,1480,1445,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,high,Numeric shareholder-letter range.
6,ABNB-2022Q1-GUIDE,2022Q1,2022Q2,2022-05-03T20:00:59Z,revenue_guidance,numeric_range,2030,2130,2080,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,high,Numeric shareholder-letter range.
7,ABNB-2022Q2-GUIDE,2022Q2,2022Q3,2022-08-02T20:01:20Z,revenue_guidance,numeric_range,2780,2880,2830,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312522210001/d353427dex991.htm,high,Numeric shareholder-letter range.
8,ABNB-2022Q3-GUIDE,2022Q3,2022Q4,2022-11-01T20:04:23Z,revenue_guidance,numeric_range,1800,1880,1840,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312522274904/d408297dex991.htm,high,Transcript turn supports call discussion; SEC exhibit controls numeric target.
9,ABNB-2022Q4-GUIDE,2022Q4,2023Q1,2023-02-14T21:02:02Z,revenue_guidance,numeric_range,1750,1820,1785,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312523039008/d451233dex991.htm,high,Numeric shareholder-letter range.
10,ABNB-2023Q1-GUIDE,2023Q1,2023Q2,2023-05-09T20:01:26Z,revenue_guidance,numeric_range,2350,2450,2400,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312523139392/d453262dex991.htm,high,Numeric shareholder-letter range.
