prediction_id,issuing_fiscal_period,guided_fiscal_period,guidance_cutoff_at_utc,target_type,target_midpoint,source_rank,source_id,first_available_at_utc,forecast_approval,timing_pass,approval_pass,strictly_eligible,exclusion_reason,guidance_comparison_target,expected_sign
ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,qualitative,,1,EUROSTAT_TOURISM_NIGHTS,2026-09-03T20:50:17Z,discovery_only_not_approved,False,False,False,"first availability is not strictly before the guidance cutoff; evidence manifest is discovery-only, not approved_for_forecasting",Revenue-guidance midpoint YoY residual vs same guided quarter prior year,positive
ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,qualitative,,2,EUROSTAT_TOUR_OCC_ARM,2026-09-03T21:12:40Z,discovery_only_not_approved,False,False,False,"first availability is not strictly before the guidance cutoff; evidence manifest is discovery-only, not approved_for_forecasting",Revenue-guidance midpoint YoY residual vs same guided quarter prior year,positive
ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,qualitative,,3,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,2026-09-03T20:50:17Z,discovery_only_not_approved,False,False,False,"first availability is not strictly before the guidance cutoff; evidence manifest is discovery-only, not approved_for_forecasting",Revenue-guidance midpoint YoY residual vs same guided quarter prior year,positive
ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,qualitative,,4,EUROSTAT_AVIA_TF_AIRPM,2026-09-03T21:15:07Z,discovery_only_not_approved,False,False,False,"first availability is not strictly before the guidance cutoff; evidence manifest is discovery-only, not approved_for_forecasting",Revenue-guidance midpoint YoY residual vs same guided quarter prior year,positive
ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,qualitative,,5,EUROSTAT_AVIA_TF_CM,2026-09-03T21:15:01Z,discovery_only_not_approved,False,False,False,"first availability is not strictly before the guidance cutoff; evidence manifest is discovery-only, not approved_for_forecasting",Revenue-guidance midpoint YoY residual vs same guided quarter prior year,positive
ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,qualitative,,6,EUROSTAT_TOUR_OCC_MNOR,2026-09-03T21:12:45Z,discovery_only_not_approved,False,False,False,"first availability is not strictly before the guidance cutoff; evidence manifest is discovery-only, not approved_for_forecasting",Revenue-guidance midpoint YoY residual vs same guided quarter prior year,positive
ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,qualitative,,7,TORONTO_STR_PROGRAM,2026-09-03T20:50:17Z,discovery_only_not_approved,False,False,False,"first availability is not strictly before the guidance cutoff; evidence manifest is discovery-only, not approved_for_forecasting",Revenue-guidance midpoint YoY residual vs same guided quarter prior year,net supply positive; enforcement negative
ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,qualitative,,8,UK_CAA_AIRPORT_PASSENGERS,2026-09-03T20:50:17Z,discovery_only_not_approved,False,False,False,"first availability is not strictly before the guidance cutoff; evidence manifest is discovery-only, not approved_for_forecasting",Revenue-guidance midpoint YoY residual vs same guided quarter prior year,positive
ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,qualitative,,9,EUROSTAT_TOUR_OCC_NIN2M,2026-09-03T21:13:15Z,discovery_only_not_approved,False,False,False,"first availability is not strictly before the guidance cutoff; evidence manifest is discovery-only, not approved_for_forecasting",Revenue-guidance midpoint YoY residual vs same guided quarter prior year,positive
ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,qualitative,,10,EUROSTAT_PLATFORM_NIGHTS_REGION,2026-09-03T20:51:33Z,discovery_only_not_approved,False,False,False,"first availability is not strictly before the guidance cutoff; evidence manifest is discovery-only, not approved_for_forecasting",Revenue-guidance midpoint YoY residual vs same guided quarter prior year,positive
