priority_rank,source_id,provider,dataset_name,family,operating_bridge,abnb_kpi,guidance_target,proposed_transformation,expected_sign,cadence,coverage_start,coverage_end,valid_observations,directness_score,timeliness_score,frequency_score,geography_score,pit_score,weighted_score,forecast_approval,historical_eligibility,first_available_at_utc,earliest_prospective_use,caveat,source_url
1,EUROSTAT_TOURISM_NIGHTS,Eurostat,Nights spent at tourist accommodation establishments - monthly,Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,monthly,2023-01,2026-06,1628,4,5,5,4,1,3.95,discovery_only_not_approved,False,2026-09-03T20:50:17Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Broader than short-term rentals and current API observations can be revised,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_nim/default/table
2,EUROSTAT_TOUR_OCC_ARM,Eurostat,Arrivals at tourist accommodation establishments - monthly data,Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,monthly,2026-07,2026-07,150,4,5,5,4,1,3.95,discovery_only_not_approved,False,2026-09-03T21:12:40Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_arm/default/table
3,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Short-stay accommodation offered via collaborative economy platforms by months and residence of guest - national,Collaborative-platform activity,Platform guest nights → ABNB Nights & Experiences Booked → GBV → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY guest-night growth; positive-growth geography breadth; international mix; platform share versus total lodging,positive,monthly,2018,2026-03,3424,5,3,5,4,1,3.85,discovery_only_not_approved,False,2026-09-03T20:50:17Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Combines Airbnb Booking and Expedia; API exposes latest observation versions rather than immutable vintages,https://ec.europa.eu/eurostat/databrowser/view/tour_ce_omr/default/table
4,EUROSTAT_AVIA_TF_AIRPM,Eurostat,Commercial flights by reporting airport and type of schedule - monthly data,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2026-07,2026-07,8588,3,5,5,4,1,3.65,discovery_only_not_approved,False,2026-09-03T21:15:07Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_tf_airpm/default/table
5,EUROSTAT_AVIA_TF_CM,Eurostat,Commercial flights by reporting country and type of schedule - monthly data,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2026-07,2026-07,456,3,5,5,4,1,3.65,discovery_only_not_approved,False,2026-09-03T21:15:01Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_tf_cm/default/table
6,EUROSTAT_TOUR_OCC_MNOR,Eurostat,"Net occupancy rate of bed-places and bedrooms in hotels and similar accommodation (NACE Rev. 2, I, 55.1) - monthly data",Hotel occupancy / pricing,Hotel occupancy pressure → lodging pricing/availability → ABNB ADR and GBV → revenue,GBV / implied ADR,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY percentage-point change in bed/room occupancy; regional occupancy breadth,positive,monthly,2026-07,2026-07,10,3,5,5,4,1,3.65,discovery_only_not_approved,False,2026-09-03T21:12:45Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_mnor/default/table
7,TORONTO_STR_PROGRAM,City of Toronto,Short Term Rental Registration and Enforcement overview,STR regulatory supply,Registrations/approvals/enforcement → legal STR capacity → ABNB nights and ADR → revenue,Active listings / Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,TTM net approvals less denials/revocations; enforcement intensity; complaint rate,net supply positive; enforcement negative,monthly,2020-01,2026-08,797,4,5,5,2,1,3.65,discovery_only_not_approved,False,2026-09-03T20:50:17Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Historical rows are contained in a current mutable publication; original monthly vintages were not retrieved,https://open.toronto.ca/dataset/short-term-rental-program-data/
8,UK_CAA_AIRPORT_PASSENGERS,UK Civil Aviation Authority,Terminal and transit passengers May 2026,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2026-05,2026-05,51,3,5,5,3,2,3.65,discovery_only_not_approved,False,2026-09-03T20:50:17Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",CAA requires attribution and prohibits selling its statistical data; May files were updated and some other May tables had missing airports,https://www.caa.co.uk/data-and-analysis/uk-aviation-market/airports/uk-airport-data/uk-airport-data-2026/may-2026/
9,EUROSTAT_TOUR_OCC_NIN2M,Eurostat,Nights spent at tourist accommodation establishments by month and NUTS 2 region (from 2020 onwards),Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,monthly,2025,2025-12,74016,4,3,5,4,1,3.55,discovery_only_not_approved,False,2026-09-03T21:13:15Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_nin2m/default/table
10,EUROSTAT_PLATFORM_NIGHTS_REGION,Eurostat,Short-stay accommodation offered via collaborative economy platforms by NUTS1 and NUTS2 region,Collaborative-platform activity,Platform guest nights → ABNB Nights & Experiences Booked → GBV → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY guest-night growth; positive-growth geography breadth; international mix; platform share versus total lodging,positive,monthly,2024,2025-12,10032,5,2,4,4,1,3.45,discovery_only_not_approved,False,2026-09-03T20:51:33Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Combines multiple platforms; regional releases lag country data and latest versions may revise history,https://ec.europa.eu/eurostat/databrowser/view/tour_ce_omn12/default/table
