Property_ID,winner
ab-10000103,48150114.0
ab-10000186,24661426.0
ab-10000341,59153146.0
ab-10000400,59030239.0
ab-10000432,35203157.0
ab-10000439,59230090.0
ab-1000051,24460158.0
ab-10000900,59150354.0
ab-10000993,24663333.0
ab-10001032,35201453.0
ab-10001094,59150623.0
ab-10001288,59230087.0
ab-10001313,59151406.0
ab-10001508,48060786.0
ab-10002202,35204896.0
ab-10002467,35204896.0
ab-10002734,59150394.0
ab-10002735,59370126.0
ab-10002736,35204900.0
ab-10003045,35204896.0
ab-10003935,59151442.0
ab-10006066,24230545.0
ab-10006167,35202405.0
ab-10006327,24661117.0
ab-10006724,35410147.0
ab-1000704,24661829.0
ab-10007116,35202900.0
ab-10007564,35202899.0
ab-10007672,35202932.0
ab-10007674,35204819.0
ab-10008169,35204470.0
ab-10008174,35250276.0
ab-10008264,24661504.0
ab-10008363,35202928.0
ab-10008372,35204157.0
ab-10008724,24660726.0
ab-10008809,48060309.0
ab-10008854,24663442.0
ab-10008962,24662028.0
ab-10009013,35203176.0
ab-1000924,59153166.0
ab-1000977,24661434.0
ab-10009939,24661748.0
ab-10010056,35240327.0
ab-10010080,24661798.0
ab-10010096,59153893.0
ab-10010281,59350056.0
ab-10010466,24661283.0
ab-10010470,59153410.0
ab-10010521,24661889.0
ab-1001073,35202821.0
ab-10010820,35202850.0
ab-10010956,24661283.0
ab-10010988,59170205.0
ab-10011075,35201453.0
ab-1001114,59260344.0
ab-10011526,35190898.0
ab-10011574,24663379.0
ab-10011675,24661440.0
ab-10011699,35060047.0
ab-10011700,59150408.0
ab-10011793,35202820.0
ab-10011874,48060622.0
ab-10011934,35203177.0
ab-10011938,35211599.0
ab-10011978,46110823.0
ab-10012090,46110823.0
ab-1001239,59150791.0
ab-1001271,24661797.0
ab-10013161,35212033.0
ab-10013310,48060662.0
ab-10013325,24663452.0
ab-10013401,24661463.0
ab-10013613,24600048.0
ab-10013653,35204601.0
ab-10013655,24661500.0
ab-1001380,35201440.0
ab-10013810,11020242.0
ab-10013978,24760051.0
ab-10014121,35204896.0
ab-10014316,24661858.0
ab-10014332,35200814.0
ab-1001438,35200886.0
ab-10014402,24662112.0
ab-10014406,59150201.0
ab-10014836,24662114.0
ab-10014917,24661093.0
ab-10015020,24661926.0
ab-10015076,35300689.0
ab-10015085,48060580.0
ab-10015087,35204590.0
ab-10015129,24661375.0
ab-10015173,24661496.0
ab-10015445,24661385.0
ab-1001559,24230169.0
ab-10015616,24662246.0
ab-10015858,24661256.0
ab-10015861,35190592.0
ab-10015864,35160185.0
ab-10016705,24662027.0
ab-1001671,59151302.0
ab-10017462,35200906.0
ab-10017509,59151438.0
ab-10017938,35203157.0
ab-10018035,59153703.0
ab-10018433,35480228.0
ab-10018582,24661639.0
ab-10018930,24140092.0
ab-10018938,35204841.0
ab-10018981,35204900.0
ab-10019021,24661858.0
ab-10019038,24661859.0
ab-10019053,59170095.0
ab-10019137,24662077.0
ab-10019157,24230161.0
ab-10019327,24662754.0
ab-10019460,24661918.0
ab-10019486,35202223.0
ab-10019521,24661435.0
ab-10019549,35200927.0
ab-10019885,35570130.0
ab-10020055,59170146.0
ab-10020103,35204588.0
ab-10020117,24660659.0
ab-10020245,35202812.0
ab-10020306,59150379.0
ab-10020322,35204591.0
ab-10020365,24660896.0
ab-10020436,35204573.0
ab-10020483,24660895.0
ab-10020579,35212135.0
ab-10020707,35204894.0
ab-10020716,24662140.0
ab-10020732,24730169.0
ab-10020754,24770088.0
ab-10020823,59210274.0
ab-10020942,59010137.0
ab-10021002,35204827.0
ab-10021031,35060305.0
ab-10021087,59270086.0
ab-10021152,35200436.0
ab-10021169,35204069.0
ab-10021312,24661846.0
ab-10021427,48110396.0
ab-10021453,24220065.0
ab-10021859,35201445.0
ab-10021880,24661283.0
ab-10021939,59152958.0
ab-10022242,35204616.0
ab-10022484,24661928.0
ab-10022517,24810336.0
ab-10022535,59153195.0
ab-10022553,35201663.0
ab-10022570,35211422.0
ab-1002264,24662115.0
ab-10022795,35204666.0
