winner_DA,n_listings
35204819,1705
59310174,1601
24661283,1412
35204826,1382
59310184,1148
24661106,1105
24661256,1085
35203157,981
35204894,893
59153845,868
59154001,848
35420227,823
24780101,808
24661104,772
48150136,761
35204845,714
59153146,657
35204842,645
59050062,607
35201453,581
35204896,581
35204827,552
24663443,542
35204843,499
24661858,494
24160050,485
59370295,483
59331651,479
24662115,474
24663442,460
35204844,456
59153843,446
59310172,439
35204900,429
24663358,427
59310178,423
59350189,421
59150780,416
35204820,413
24663373,395
24661260,395
35204606,389
35200870,381
59153464,378
35211462,375
35204872,360
24662114,359
35204616,352
24663242,346
35204763,346
35202820,335
35204615,334
24661280,331
35200855,326
59170158,325
35202013,321
35204588,316
24661940,315
24663360,311
59150850,309
24661281,309
24661257,303
35204841,298
59310177,298
24663437,297
35420228,297
35204738,294
24661272,293
35203176,291
35204822,290
59153528,283
24661278,282
59154000,276
35204653,274
24661087,274
59153846,273
24661265,271
35204004,270
24661269,269
59010254,267
35204666,265
35204106,260
35204018,259
24663346,258
24661946,258
48060607,254
59153834,253
35211981,252
59170160,251
35204228,249
24661277,248
59150785,247
24661080,245
24230870,244
24661262,243
24661925,242
59230090,235
24661261,234
59153584,232
24663452,228
24661425,228
24661958,228
35203160,226
59010140,226
24661861,225
59350077,223
24780099,222
59153852,219
24663359,215
35204883,212
59153847,211
24661838,211
35204676,211
48150112,210
35204142,210
59154027,208
24663347,208
24661937,205
35410145,205
24661944,204
35204578,204
59170400,201
24661889,200
59153683,199
24663243,199
59310173,197
35204870,197
24661094,196
35204592,195
24663246,193
24230882,193
24663368,192
24780102,191
24661929,188
24662140,187
35061790,186
35203175,185
24661081,184
59010126,184
24661375,183
24210047,183
59070149,183
59153479,182
24780110,182
24661957,181
35204230,181
59170635,181
24661963,180
35204871,179
59230093,179
24663438,178
59310176,177
59350256,177
24661859,176
24661437,176
24661954,173
35204567,173
35204022,172
35200782,171
24663445,170
24661853,170
35204602,169
59153483,168
35240720,168
24940332,167
24661899,165
35202818,165
59010255,165
24661943,162
35130082,161
24661882,161
35130078,161
11020212,161
24210046,160
59153164,159
24780100,157
24230871,156
24661422,156
59230089,156
35201039,155
24661273,154
35204821,154
24661100,154
24661928,153
24661953,153
24661367,153
24661282,153
24661964,151
24661871,150
24663249,150
59153580,150
24460155,150
35212173,150
59153849,149
35440163,149
11020125,149
24661949,148
24661434,147
24661959,147
24661284,147
35200805,146
24661941,145
48150113,145
24661427,145
59170630,145
48062351,145
35410247,145
35204897,144
48060652,144
35380243,144
24661962,144
35204895,144
24661835,143
59010156,142
35130081,141
35204090,141
35440261,141
24661124,141
24661082,139
24661960,139
24661276,138
24661961,138
35204650,137
59153839,137
48062289,137
24663350,137
59153582,137
35260795,137
11030165,137
24661383,136
24661285,136
24663349,136
24661102,136
59230087,135
24661866,135
59150757,135
35430941,135
35061793,134
35440221,134
24230155,132
35060338,132
59153246,132
35060249,131
24661795,131
