quarter,intended_forecast_cutoff,predictor_snapshots_used,snapshot_publication,latest_usable_review_month_at_cutoff,review_months_actually_used,other_input_vintages,forecast,target,benchmark,availability_verdict
1Q23,31 Mar 2023 (quarter end; print ~5 weeks later),Aug 2026 files (latest) over Aug/Sep 2025 files (prior) for every quarter,"CDN last-modified ≈ dump date + 18 days (median, cdn_probe_reviews.csv); downloaded 11 Sep 2026 (download_manifest.csv)",none of the quarter's months in any file at the cutoff (dumps are quarterly with ~18-day publication lag; reviews post 1–14 days after check-out),"all three months of the quarter, read in 2025/2026 files (index.global_quarterly requires all three)",regional weights: 10-Q revenue of the SAME quarter (published ~5 weeks after cutoff); ADR index & drift rule: Sep 2026 note; kernel: full-history K2; KPI history: as printed,"a_t + b_t × index_t, a_t/b_t refit on quarters before t (expanding)",printed nights y/y (booking-dated),naive y_{t−1} (available at cutoff),RETROSPECTIVE RECONSTRUCTION of the predictor; expanding window only in coefficients; weights look-ahead
2Q23,30 Jun 2023 (quarter end; print ~5 weeks later),Aug 2026 files (latest) over Aug/Sep 2025 files (prior) for every quarter,"CDN last-modified ≈ dump date + 18 days (median, cdn_probe_reviews.csv); downloaded 11 Sep 2026 (download_manifest.csv)",none of the quarter's months in any file at the cutoff (dumps are quarterly with ~18-day publication lag; reviews post 1–14 days after check-out),"all three months of the quarter, read in 2025/2026 files (index.global_quarterly requires all three)",regional weights: 10-Q revenue of the SAME quarter (published ~5 weeks after cutoff); ADR index & drift rule: Sep 2026 note; kernel: full-history K2; KPI history: as printed,"a_t + b_t × index_t, a_t/b_t refit on quarters before t (expanding)",printed nights y/y (booking-dated),naive y_{t−1} (available at cutoff),RETROSPECTIVE RECONSTRUCTION of the predictor; expanding window only in coefficients; weights look-ahead
3Q23,30 Sep 2023 (quarter end; print ~5 weeks later),Aug 2026 files (latest) over Aug/Sep 2025 files (prior) for every quarter,"CDN last-modified ≈ dump date + 18 days (median, cdn_probe_reviews.csv); downloaded 11 Sep 2026 (download_manifest.csv)",none of the quarter's months in any file at the cutoff (dumps are quarterly with ~18-day publication lag; reviews post 1–14 days after check-out),"all three months of the quarter, read in 2025/2026 files (index.global_quarterly requires all three)",regional weights: 10-Q revenue of the SAME quarter (published ~5 weeks after cutoff); ADR index & drift rule: Sep 2026 note; kernel: full-history K2; KPI history: as printed,"a_t + b_t × index_t, a_t/b_t refit on quarters before t (expanding)",printed nights y/y (booking-dated),naive y_{t−1} (available at cutoff),RETROSPECTIVE RECONSTRUCTION of the predictor; expanding window only in coefficients; weights look-ahead
4Q23,31 Dec 2023 (quarter end; print ~5 weeks later),Aug 2026 files (latest) over Aug/Sep 2025 files (prior) for every quarter,"CDN last-modified ≈ dump date + 18 days (median, cdn_probe_reviews.csv); downloaded 11 Sep 2026 (download_manifest.csv)",none of the quarter's months in any file at the cutoff (dumps are quarterly with ~18-day publication lag; reviews post 1–14 days after check-out),"all three months of the quarter, read in 2025/2026 files (index.global_quarterly requires all three)",regional weights: 10-Q revenue of the SAME quarter (published ~5 weeks after cutoff); ADR index & drift rule: Sep 2026 note; kernel: full-history K2; KPI history: as printed,"a_t + b_t × index_t, a_t/b_t refit on quarters before t (expanding)",printed nights y/y (booking-dated),naive y_{t−1} (available at cutoff),RETROSPECTIVE RECONSTRUCTION of the predictor; expanding window only in coefficients; weights look-ahead
1Q24,31 Mar 2024 (quarter end; print ~5 weeks later),Aug 2026 files (latest) over Aug/Sep 2025 files (prior) for every quarter,"CDN last-modified ≈ dump date + 18 days (median, cdn_probe_reviews.csv); downloaded 11 Sep 2026 (download_manifest.csv)",none of the quarter's months in any file at the cutoff (dumps are quarterly with ~18-day publication lag; reviews post 1–14 days after check-out),"all three months of the quarter, read in 2025/2026 files (index.global_quarterly requires all three)",regional weights: 10-Q revenue of the SAME quarter (published ~5 weeks after cutoff); ADR index & drift rule: Sep 2026 note; kernel: full-history K2; KPI history: as printed,"a_t + b_t × index_t, a_t/b_t refit on quarters before t (expanding)",printed nights y/y (booking-dated),naive y_{t−1} (available at cutoff),RETROSPECTIVE RECONSTRUCTION of the predictor; expanding window only in coefficients; weights look-ahead
2Q24,30 Jun 2024 (quarter end; print ~5 weeks later),Aug 2026 files (latest) over Aug/Sep 2025 files (prior) for every quarter,"CDN last-modified ≈ dump date + 18 days (median, cdn_probe_reviews.csv); downloaded 11 Sep 2026 (download_manifest.csv)",none of the quarter's months in any file at the cutoff (dumps are quarterly with ~18-day publication lag; reviews post 1–14 days after check-out),"all three months of the quarter, read in 2025/2026 files (index.global_quarterly requires all three)",regional weights: 10-Q revenue of the SAME quarter (published ~5 weeks after cutoff); ADR index & drift rule: Sep 2026 note; kernel: full-history K2; KPI history: as printed,"a_t + b_t × index_t, a_t/b_t refit on quarters before t (expanding)",printed nights y/y (booking-dated),naive y_{t−1} (available at cutoff),RETROSPECTIVE RECONSTRUCTION of the predictor; expanding window only in coefficients; weights look-ahead
3Q24,30 Sep 2024 (quarter end; print ~5 weeks later),Aug 2026 files (latest) over Aug/Sep 2025 files (prior) for every quarter,"CDN last-modified ≈ dump date + 18 days (median, cdn_probe_reviews.csv); downloaded 11 Sep 2026 (download_manifest.csv)",none of the quarter's months in any file at the cutoff (dumps are quarterly with ~18-day publication lag; reviews post 1–14 days after check-out),"all three months of the quarter, read in 2025/2026 files (index.global_quarterly requires all three)",regional weights: 10-Q revenue of the SAME quarter (published ~5 weeks after cutoff); ADR index & drift rule: Sep 2026 note; kernel: full-history K2; KPI history: as printed,"a_t + b_t × index_t, a_t/b_t refit on quarters before t (expanding)",printed nights y/y (booking-dated),naive y_{t−1} (available at cutoff),RETROSPECTIVE RECONSTRUCTION of the predictor; expanding window only in coefficients; weights look-ahead
4Q24,31 Dec 2024 (quarter end; print ~5 weeks later),Aug 2026 files (latest) over Aug/Sep 2025 files (prior) for every quarter,"CDN last-modified ≈ dump date + 18 days (median, cdn_probe_reviews.csv); downloaded 11 Sep 2026 (download_manifest.csv)",none of the quarter's months in any file at the cutoff (dumps are quarterly with ~18-day publication lag; reviews post 1–14 days after check-out),"all three months of the quarter, read in 2025/2026 files (index.global_quarterly requires all three)",regional weights: 10-Q revenue of the SAME quarter (published ~5 weeks after cutoff); ADR index & drift rule: Sep 2026 note; kernel: full-history K2; KPI history: as printed,"a_t + b_t × index_t, a_t/b_t refit on quarters before t (expanding)",printed nights y/y (booking-dated),naive y_{t−1} (available at cutoff),RETROSPECTIVE RECONSTRUCTION of the predictor; expanding window only in coefficients; weights look-ahead
1Q25,31 Mar 2025 (quarter end; print ~5 weeks later),Aug 2026 files (latest) over Aug/Sep 2025 files (prior) for every quarter,"CDN last-modified ≈ dump date + 18 days (median, cdn_probe_reviews.csv); downloaded 11 Sep 2026 (download_manifest.csv)",none of the quarter's months in any file at the cutoff (dumps are quarterly with ~18-day publication lag; reviews post 1–14 days after check-out),"all three months of the quarter, read in 2025/2026 files (index.global_quarterly requires all three)",regional weights: 10-Q revenue of the SAME quarter (published ~5 weeks after cutoff); ADR index & drift rule: Sep 2026 note; kernel: full-history K2; KPI history: as printed,"a_t + b_t × index_t, a_t/b_t refit on quarters before t (expanding)",printed nights y/y (booking-dated),naive y_{t−1} (available at cutoff),RETROSPECTIVE RECONSTRUCTION of the predictor; expanding window only in coefficients; weights look-ahead
2Q25,30 Jun 2025 (quarter end; print ~5 weeks later),Aug 2026 files (latest) over Aug/Sep 2025 files (prior) for every quarter,"CDN last-modified ≈ dump date + 18 days (median, cdn_probe_reviews.csv); downloaded 11 Sep 2026 (download_manifest.csv)",none of the quarter's months in any file at the cutoff (dumps are quarterly with ~18-day publication lag; reviews post 1–14 days after check-out),"all three months of the quarter, read in 2025/2026 files (index.global_quarterly requires all three)",regional weights: 10-Q revenue of the SAME quarter (published ~5 weeks after cutoff); ADR index & drift rule: Sep 2026 note; kernel: full-history K2; KPI history: as printed,"a_t + b_t × index_t, a_t/b_t refit on quarters before t (expanding)",printed nights y/y (booking-dated),naive y_{t−1} (available at cutoff),RETROSPECTIVE RECONSTRUCTION of the predictor; expanding window only in coefficients; weights look-ahead
