quarter,region,subset,n_markets,construction,share_new_cur_rw_pct,share_new_prev_rw_pct,d_share_rw_pp,d_share_eq_pp,d_share_median_pp,d_share_wedge_corrected_rw_pp,reviews_cur,to_date,regions_covered
1Q23,APAC,all,17,within_vintage_deep,26.77118344745867,21.374369686189397,5.396813761269273,4.612411764705882,4.229,5.56127427223735,438845,False,
2Q23,APAC,all,17,within_vintage_deep,28.562068498713955,21.59682413531261,6.965244363401347,5.795823529411765,5.569,6.882699750913767,369350,False,
3Q23,APAC,all,17,within_vintage_deep,31.098357194798695,23.04483608802849,8.053521106770207,6.75864705882353,5.385,8.283768044663033,383673,False,
4Q23,APAC,all,17,within_vintage_deep,31.33595046829753,24.717235188509875,6.618715279787654,5.923470588235294,3.369,6.628518218975036,495198,False,
1Q24,APAC,all,17,within_vintage_deep,31.48084643828836,26.77118344745867,4.709662990829694,4.622588235294118,3.592,4.48106007951939,618214,False,
2Q24,APAC,all,17,within_vintage_deep,32.478138403015485,28.562068498713955,3.916069904301528,1.9950000000000003,1.847,3.62034076162145,461883,False,
3Q24,APAC,all,17,mixed_lag,32.782377329185955,31.098357194798695,1.6840201343872596,0.1819999999999999,-1.11,-0.5668144374519947,471302,False,
4Q24,APAC,all,17,mixed_lag,31.41064843127444,31.33595046829753,0.07469796297691067,-2.496,-2.399,-2.376693519393636,647532,False,
1Q25,APAC,all,17,mixed_lag,30.48828074894109,31.48084643828836,-0.9925656893472745,-3.035823529411765,-1.793,-3.483949897315624,740619,False,
2Q25,APAC,all,17,mixed_lag,32.00561231083206,32.478138403015485,-0.4725260921834229,-1.4432352941176472,-0.46,-2.761193839549001,595833,False,
3Q25,APAC,all,17,vintage_matched,30.951649281899936,32.782377329185955,-1.8307280472860232,-1.7806470588235292,-2.771,-2.278649011319909,517407,False,
4Q25,APAC,all,17,vintage_matched,30.05194847715113,31.41064843127444,-1.3586999541233102,-0.5147647058823528,-1.352,-2.030555510385603,733034,False,
1Q26,APAC,all,17,vintage_matched,29.54472551046813,30.48828074894109,-0.9435552384729595,0.5141764705882352,-0.726,-1.3474840286050562,838593,False,
2Q26,APAC,all,17,vintage_matched,30.973805017835083,32.00561231083206,-1.031807292996978,-1.127529411764706,-0.998,-1.5157724297101838,633022,False,
3Q26,APAC,all,17,vintage_matched,31.051155237321915,33.09763606950895,-2.0464808321870365,-2.7704705882352942,-2.204,-2.213499395622647,216752,True,
1Q23,EMEA,all,57,within_vintage_deep,27.55478276815068,24.296626341882277,3.258156426268405,2.856385964912281,2.676,3.2081207436659818,916164,False,
2Q23,EMEA,all,57,within_vintage_deep,27.645006138122188,25.639066286958236,2.0059398511639515,1.669877192982456,2.236,1.7136659570844182,1696773,False,
3Q23,EMEA,all,57,within_vintage_deep,27.354511359787104,26.110648122626735,1.2438632371603697,1.212842105263158,1.288,0.8511960311230379,1972044,False,
4Q23,EMEA,all,57,within_vintage_deep,28.93546141607001,26.772783707085352,2.1626777089846563,1.650350877192983,1.731,1.7780829816264214,1367616,False,
1Q24,EMEA,all,57,within_vintage_deep,30.154100155602645,27.55478276815068,2.5993173874519657,1.4649473684210526,2.031,2.1934601684860606,1158078,False,
2Q24,EMEA,all,57,within_vintage_deep,29.326637997310144,27.645006138122188,1.6816318591879598,0.9250350877192982,1.198,1.3732735427917269,2138404,False,
3Q24,EMEA,all,57,mixed_lag;within_vintage_deep,28.43725163472323,27.354511359787104,1.0827402749361281,0.4411228070175439,0.456,-1.4258444943478976,2423346,False,
4Q24,EMEA,all,57,mixed_lag;within_vintage_deep,29.985688050745118,28.93546141607001,1.050226634675111,0.5279473684210527,0.683,-1.735400315351982,1717446,False,
1Q25,EMEA,all,57,mixed_lag;within_vintage_deep,30.41950308594018,30.154100155602645,0.2654029303375327,0.05908771929824554,-0.191,-2.610997752562051,1428738,False,
2Q25,EMEA,all,57,mixed_lag,28.47341462732678,29.326637997310144,-0.8532233699833691,-0.7772982456140352,-0.859,-3.7319021856075385,2610853,False,
3Q25,EMEA,all,57,mixed_lag;vintage_matched,25.62807618063309,28.43725163472323,-2.8091754540901404,-2.469157894736842,-2.725,-3.1678316522739536,2531142,False,
4Q25,EMEA,all,57,mixed_lag;vintage_matched,27.579252302644328,29.985688050745118,-2.406435748100794,-2.1693684210526314,-2.35,-2.6459099460455664,1857864,False,
1Q26,EMEA,all,57,mixed_lag;vintage_matched,28.26320455885857,30.41950308594018,-2.1562985270816126,-2.037719298245614,-1.626,-2.4952202706203854,1536174,False,
2Q26,EMEA,all,57,vintage_matched,24.485979759069554,28.47341462732678,-3.9874348682572225,-3.19459649122807,-3.083,-3.997047373015685,2654127,False,
3Q26,EMEA,all,56,vintage_matched,24.69453639419412,28.46643817393618,-3.771901779742057,-3.7783214285714286,-3.137,-3.816950108719565,977285,True,
