market,region,dump_date,quarter,scope_flag,n_listings,share_l30d_reviews_from_new_pct,share_ltm_reviews_from_new_pct,share_listings_new_pct,d_share_l30d_pp,prev_dump
austin,NAM,2024-06-17,2Q24,full,15159,35.89,21.75,25.75,,
austin,NAM,2024-09-13,3Q24,full,15244,34.62,20.57,24.66,,
austin,NAM,2024-12-14,4Q24,full,15500,33.6,19.31,23.990000000000002,,
austin,NAM,2025-03-06,1Q25,full,15431,35.3,18.52,23.29,,
austin,NAM,2025-06-13,2Q25,full,15187,33.53,20.03,22.509999999999998,-2.3599999999999994,2024-06-17
austin,NAM,2025-09-16,3Q25,partial,10533,32.47,19.0,25.509999999999998,-2.1499999999999986,2024-09-13
austin,NAM,2025-12-22,4Q25,partial,11251,30.880000000000003,17.62,24.46,-2.719999999999999,2024-12-14
austin,NAM,2026-01-18,1Q26,partial,11374,30.959999999999997,17.23,24.11,-2.640000000000004,2024-12-14
austin,NAM,2026-02-19,1Q26,partial,10422,32.23,16.78,23.76,-3.0700000000000003,2025-03-06
austin,NAM,2026-03-25,1Q26,partial,8170,30.03,16.78,25.009999999999998,-5.269999999999996,2025-03-06
austin,NAM,2026-04-23,2Q26,partial,8290,27.88,16.6,24.4,,
austin,NAM,2026-05-25,2Q26,partial,8568,29.799999999999997,17.669999999999998,24.94,-3.730000000000004,2025-06-13
austin,NAM,2026-06-22,2Q26,full,11295,28.689999999999998,17.49,23.04,-4.840000000000003,2025-06-13
austin,NAM,2026-07-18,3Q26,full,11172,29.13,17.22,22.6,-4.400000000000002,2025-06-13
austin,NAM,2026-08-25,3Q26,full,11079,28.98,17.07,22.56,-3.4899999999999984,2025-09-16
bangkok,APAC,2024-12-25,4Q24,full,25609,39.839999999999996,23.82,33.589999999999996,,
bangkok,APAC,2025-03-19,1Q25,full,27548,38.48,23.76,32.97,,
bangkok,APAC,2025-06-24,2Q25,full,28196,40.07,23.03,31.2,,
bangkok,APAC,2025-09-26,3Q25,full,28806,40.17,22.08,29.42,,
bangkok,APAC,2025-12-28,4Q25,partial,29888,37.78,21.44,27.49,-2.059999999999995,2024-12-25
bangkok,APAC,2026-03-30,1Q26,partial,16444,38.48,22.95,30.43,0.0,2025-03-19
bangkok,APAC,2026-06-29,2Q26,full,31069,40.02,22.96,26.97,-0.04999999999999716,2025-06-24
bangkok,APAC,2026-07-23,3Q26,full,31241,39.44,22.67,26.619999999999997,-0.6300000000000026,2025-06-24
bangkok,APAC,2026-08-30,3Q26,full,31215,37.54,22.34,26.340000000000003,-2.6300000000000026,2025-09-26
barcelona,EMEA,2025-09-14,3Q25,full,19410,26.99,12.75,21.84,,
barcelona,EMEA,2025-12-14,4Q25,partial,18177,23.9,11.72,19.6,,
barcelona,EMEA,2026-01-18,1Q26,partial,17099,23.86,11.459999999999999,19.59,,
barcelona,EMEA,2026-02-18,1Q26,partial,12786,17.73,9.180000000000001,17.549999999999997,,
barcelona,EMEA,2026-03-21,1Q26,partial,16107,22.49,10.03,18.02,,
barcelona,EMEA,2026-04-20,2Q26,partial,7277,19.34,8.39,17.75,,
barcelona,EMEA,2026-05-24,2Q26,partial,14399,16.96,8.85,16.869999999999997,,
