period,region,variant,n_quarters,n_markets,hedonic_mean,hedonic_min,hedonic_max,l30d_weighted_mean,raw_median_mean,n_new_total,n_old_total
listed 2023 (Rome only),EMEA,all_rooms,5,2,8.55,5.87,12.87,0.19,6.84,46569,115614
listed 2023 (Rome only),EMEA,entire_home,5,2,8.96,6.77,13.33,-0.25,5.37,38014,87885
listed 2023 (Rome only),GLOBAL,all_rooms,5,2,8.55,5.87,12.87,0.19,6.84,46569,115614
listed 2023 (Rome only),GLOBAL,entire_home,5,2,8.96,6.77,13.33,-0.25,5.37,38014,87885
listed 2024,APAC,all_rooms,1,6,0.9,0.9,0.9,-0.52,140.78,17473,33888
listed 2024,APAC,entire_home,1,6,1.0,1.0,1.0,-0.4,189.23,14713,27132
listed 2024,EMEA,all_rooms,4,2,-7.1,-8.55,-6.02,-7.64,-6.12,103010,174518
listed 2024,EMEA,entire_home,4,2,-6.42,-7.86,-5.33,-8.06,-6.24,92408,145908
listed 2024,GLOBAL,all_rooms,4,11,-6.84,-8.97,-5.14,-6.55,-5.59,134164,242989
listed 2024,GLOBAL,entire_home,4,11,-6.38,-8.5,-5.15,-6.9,-5.3,119355,203816
listed 2024,LatAm,all_rooms,1,1,7.3,7.3,7.3,-0.9,18.6,506,1786
listed 2024,LatAm,entire_home,1,1,4.47,4.47,4.47,-4.19,6.71,421,1353
listed 2024,NAM,all_rooms,3,2,-11.91,-15.44,-9.54,-4.83,-7.33,13175,32797
listed 2024,NAM,entire_home,3,2,-12.59,-16.49,-9.82,-5.01,-7.29,11813,29423
listed 2025 (1Q25-3Q25),APAC,all_rooms,3,14,-2.26,-3.13,-1.81,-0.51,116.53,78879,185595
listed 2025 (1Q25-3Q25),APAC,entire_home,3,14,-1.74,-2.51,-1.26,0.22,158.97,67133,154871
listed 2025 (1Q25-3Q25),EMEA,all_rooms,3,3,-8.75,-8.79,-8.71,-9.17,-7.03,70954,152583
listed 2025 (1Q25-3Q25),EMEA,entire_home,3,3,-8.79,-9.96,-8.1,-9.42,-8.03,59873,121975
listed 2025 (1Q25-3Q25),GLOBAL,all_rooms,3,28,-5.58,-5.77,-5.29,-4.02,4.03,261480,625300
listed 2025 (1Q25-3Q25),GLOBAL,entire_home,3,28,-5.48,-6.03,-5.03,-4.3,6.18,221687,516371
listed 2025 (1Q25-3Q25),LatAm,all_rooms,3,5,-3.12,-5.46,0.16,-4.46,-3.36,64839,152590
listed 2025 (1Q25-3Q25),LatAm,entire_home,3,5,-3.89,-5.92,-0.82,-4.42,-7.78,55381,127527
listed 2025 (1Q25-3Q25),NAM,all_rooms,3,6,-6.35,-6.53,-6.03,-1.5,1.32,46808,134532
listed 2025 (1Q25-3Q25),NAM,entire_home,3,6,-6.29,-6.64,-5.64,-3.02,0.21,39300,111998
quote 2026 (1Q26-3Q26),APAC,all_rooms,3,15,-0.68,-1.46,0.29,0.69,18.58,147361,370548
quote 2026 (1Q26-3Q26),APAC,entire_home,3,15,-0.1,-0.65,0.77,0.98,24.09,120656,304160
quote 2026 (1Q26-3Q26),EMEA,all_rooms,3,4,-5.45,-6.74,-4.69,-3.06,-3.44,177663,525328
quote 2026 (1Q26-3Q26),EMEA,entire_home,3,4,-6.41,-7.7,-5.5,-4.39,-4.88,140897,410046
quote 2026 (1Q26-3Q26),GLOBAL,all_rooms,3,33,-1.89,-2.89,-1.11,-1.37,12.01,605809,1650496
quote 2026 (1Q26-3Q26),GLOBAL,entire_home,3,33,-2.19,-3.13,-1.42,-2.04,9.72,493359,1312159
quote 2026 (1Q26-3Q26),LatAm,all_rooms,3,7,-2.77,-4.02,-2.0,-2.83,-24.8,183902,402723
quote 2026 (1Q26-3Q26),LatAm,entire_home,3,7,-2.8,-4.09,-2.09,-3.66,-31.05,156778,329097
quote 2026 (1Q26-3Q26),NAM,all_rooms,3,7,3.65,2.96,4.16,0.89,19.81,96883,351897
quote 2026 (1Q26-3Q26),NAM,entire_home,3,7,3.54,2.92,3.93,0.5,17.42,75028,268856
