market,region,dump_date,quarter,price_basis,scope_flag,usable_for_premium,age_field,variant,n_new,n_old,median_new,median_old,mean_new,mean_old,raw_median_premium_pct,raw_mean_premium_pct,raw_logmean_premium_pct,hedonic_premium_logpts,hedonic_se,hedonic_premium_l30d_weighted_logpts,hedonic_se_l30d_weighted,n_weighted_new,n_weighted_old
austin,NAM,2024-06-17,2Q24,listed_nightly,full,True,first_review,all_rooms,2886,6376,132.0,146.0,195.62647262647263,223.2650564617315,-9.589041095890416,-12.379269856766062,-10.698516693287718,-13.304184499908589,1.1866718138647034,-2.5480117108150275,2.251878742959977,1739,3184
austin,NAM,2024-06-17,2Q24,listed_nightly,full,True,first_review,entire_home,2505,5610,148.0,157.0,211.93932135728542,241.024064171123,-5.73248407643312,-12.06715309272518,-10.038372714138255,-13.865783934607265,1.2718667900330798,-4.43016881569421,2.038428392361757,1581,2958
austin,NAM,2024-06-17,2Q24,listed_nightly,full,True,host_since,all_rooms,473,10457,142.0,145.0,190.41860465116278,228.28813235153487,-2.0689655172413834,-16.588478476865276,-8.974518130878373,-4.070303628825683,2.968067666457499,-7.07320457991744,6.746779380731081,221,4709
austin,NAM,2024-09-13,3Q24,listed_nightly,full,True,first_review,all_rooms,2737,6465,131.0,144.0,185.32005845816587,219.46218097447795,-9.027777777777779,-15.557178172891017,-13.370281547677187,-15.697740623009878,1.2296762226639522,-5.1359452304785,2.012992258648721,1471,2747
austin,NAM,2024-09-13,3Q24,listed_nightly,full,True,first_review,entire_home,2388,5687,141.0,155.0,198.14447236180905,237.13539651837525,-9.03225806451613,-16.442473257485556,-14.656956697070722,-16.570552288393117,1.3190947467594867,-5.176296110268058,2.1340675332395245,1345,2533
austin,NAM,2024-09-13,3Q24,listed_nightly,full,True,host_since,all_rooms,473,10493,149.0,144.0,199.80338266384777,222.0156294672639,3.472222222222232,-10.004812209264447,-2.2466668070514118,3.9936450907558805,2.778170078618334,18.406304617575948,5.029895684689565,193,4024
austin,NAM,2024-12-14,4Q24,listed_nightly,full,True,first_review,all_rooms,2767,6740,121.0,135.0,174.46620889049512,202.83902077151336,-10.370370370370374,-13.987846999605956,-13.536367415281614,-17.379594646768602,1.2586747632380866,-11.840885559500904,1.6810666770947305,1547,3081
austin,NAM,2024-12-14,4Q24,listed_nightly,full,True,first_review,entire_home,2413,5853,130.0,149.0,184.88188976377953,220.6148983427302,-12.751677852348998,-16.19700611671232,-16.860027112818177,-18.829356537036627,1.3443095095404862,-12.184725668492817,1.7636154136424294,1426,2852
austin,NAM,2024-12-14,4Q24,listed_nightly,full,True,host_since,all_rooms,513,10640,121.0,134.0,169.25925925925927,207.80902255639097,-9.701492537313428,-18.550572454894663,-14.709366483898911,-5.367060229081907,2.580079968265682,2.864302420943052,3.4773543381719874,213,4415
austin,NAM,2025-03-06,1Q25,listed_nightly,full,True,first_review,all_rooms,2540,6553,179.0,192.0,261.26417322834646,277.78071112467575,-6.7708333333333375,-5.945890853780766,-5.7632404206994,-10.034128949910556,1.3293372653518267,-8.954919075730377,2.01788612896883,1480,2967
austin,NAM,2025-03-06,1Q25,listed_nightly,full,True,first_review,entire_home,2239,5720,190.0,212.0,277.751228226887,302.76083916083917,-10.377358490566035,-8.260517114191913,-8.873706436318063,-10.370891876992651,1.3876452117111393,-7.905839015889833,1.9916035777201917,1371,2761
austin,NAM,2025-03-06,1Q25,listed_nightly,full,True,host_since,all_rooms,526,10277,179.0,189.0,271.17110266159693,283.6811326262528,-5.291005291005291,-4.40989143297652,-5.3709169022569725,1.0971978517228922,3.014107861309727,-0.36098298894046366,4.540355993351746,261,4219
austin,NAM,2025-06-13,2Q25,listed_nightly,full,True,first_review,all_rooms,2484,6536,124.0,139.0,178.4013687600644,204.02402080783355,-10.79136690647482,-12.558644784234819,-11.720124884669492,-12.618733802510567,1.1609772195082189,-6.679694761832532,1.8841349644418162,1413,2988
austin,NAM,2025-06-13,2Q25,listed_nightly,full,True,first_review,entire_home,2203,5733,133.0,151.0,190.94189741261914,221.43833943833943,-11.92052980132451,-13.77197918981512,-13.852658308439025,-13.171803723954877,1.2135661300444034,-7.497254954491756,1.8481161909609134,1301,2797
austin,NAM,2025-06-13,2Q25,listed_nightly,full,True,host_since,all_rooms,581,9912,100.0,141.0,156.14457831325302,215.13286924939467,-29.078014184397162,-27.41946925263148,-32.695161143732406,-19.394765006023547,2.271029662674989,-13.590593911108856,3.2515532055070984,286,4121
austin,NAM,2025-09-16,3Q25,listed_nightly,partial,True,first_review,all_rooms,2249,6483,115.0,135.0,169.0124499777679,196.29353694277341,-14.814814814814813,-13.89810759432133,-14.084512501502466,-14.897551083663767,1.2180428148159197,-9.732493186027684,2.1327143357367704,1293,2729
austin,NAM,2025-09-16,3Q25,listed_nightly,partial,True,first_review,entire_home,2004,5722,122.0,145.5,179.26447105788424,211.70220202726318,-16.151202749140893,-15.322339899516768,-16.869126669674728,-16.172403104380287,1.2619622695351174,-11.161343353196276,2.04631198257924,1190,2558
austin,NAM,2025-09-16,3Q25,listed_nightly,partial,True,host_since,all_rooms,435,9862,97.0,136.0,149.1425287356322,209.52291624416955,-28.676470588235293,-28.818035082221026,-31.037083214884476,-17.886922857897392,2.5669373775424247,-12.990173841474743,3.1378076683781835,219,3809
austin,NAM,2026-03-25,1Q26,quote_per_night,partial,True,first_review,all_rooms,1736,5126,251.03,260.58500000000004,336.88042050691246,347.7199005072181,-3.666749812920944,-3.117302168927949,-2.537247640104745,-9.03295520365109,1.1817167536706799,-5.512889300104231,1.639959988710408,1229,3003
austin,NAM,2026-03-25,1Q26,quote_per_night,partial,True,first_review,entire_home,1583,4633,262.0,274.0,352.6383828174353,366.6531944744226,-4.379562043795615,-3.8223618035230222,-3.8703044669400555,-9.131235812141341,1.2078217300129157,-4.818274149791981,1.6804554761063955,1155,2819
austin,NAM,2026-04-23,2Q26,quote_per_night,partial,True,first_review,all_rooms,1717,5277,248.0,248.21,327.53020966802563,332.59827743035817,-0.08460577736594255,-1.523780520298612,-0.3455683126932563,-7.6659971656579975,1.2035775426273816,-4.892484515159708,1.6567506371931737,1187,3133
austin,NAM,2026-04-23,2Q26,quote_per_night,partial,True,first_review,entire_home,1574,4751,257.225,261.53,341.30745870393895,351.9485729320143,-1.6460826673803997,-3.023485544898319,-2.566010872193747,-8.193364475576681,1.221146849834339,-5.232036994010186,1.699158802407336,1122,2943
austin,NAM,2026-05-25,2Q26,quote_per_night,partial,True,first_review,all_rooms,1792,5316,240.25,244.0,321.36111049107143,329.9438656884876,-1.5368852459016424,-2.6012773959311897,-1.7912873915368444,-7.3807240949783,1.1860733401291859,-3.154893885177109,1.5947439983208276,1262,3092
austin,NAM,2026-05-25,2Q26,quote_per_night,partial,True,first_review,entire_home,1616,4765,252.72,260.19,338.500525990099,349.724388247639,-2.870978900034593,-3.2093450256012512,-2.677335710524975,-7.778985889613681,1.2139851275715936,-3.6238803799159216,1.6348162663678307,1186,2925
