quarter,region,premium_logpts,premium_se,premium_basis,premium_source,n_new,n_old,n_markets,variant
1Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,primary
2Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,primary
3Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,primary
4Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,primary
1Q24,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,primary
2Q24,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,measured,4525,10758,2,primary
3Q24,NAM,-10.75889095427982,0.8914539715076605,listed_nightly,measured,4303,11002,2,primary
4Q24,NAM,-15.438617073203323,0.9150507104155872,listed_nightly,measured,4347,11037,2,primary
1Q25,NAM,-6.503449320541903,0.4486390930281297,listed_nightly,measured,14976,41449,5,primary
2Q25,NAM,-6.029117512054063,0.4269672993312822,listed_nightly,measured,16132,46330,6,primary
3Q25,NAM,-6.525755932457959,0.4357242469963674,listed_nightly,measured,15700,46753,6,primary
4Q25,NAM,1.885135084816549,1.4274351918041148,listed_nightly,carried_from_4Q25,1849,12818,1,primary
1Q26,NAM,4.1574695816411085,0.5513447401776095,quote_per_night,measured,11837,43122,4,primary
2Q26,NAM,2.9576016186220704,0.2629949654593869,quote_per_night,measured,50630,184364,7,primary
3Q26,NAM,3.833974454634654,0.3184587890194854,quote_per_night,measured,34416,124411,7,primary
1Q23,EMEA,8.405560095673627,0.7811479220957169,listed_nightly,measured,5095,15636,1,primary
2Q23,EMEA,12.873986659369432,0.8085025042946316,listed_nightly,measured,5779,16584,1,primary
3Q23,EMEA,6.368986286517902,0.7520209920104114,listed_nightly,measured,6270,17356,1,primary
4Q23,EMEA,5.8682891152800725,0.3774120548550588,listed_nightly,measured,24594,50364,2,primary
1Q24,EMEA,-6.023944980966722,0.3812937773895588,listed_nightly,measured,23483,39929,2,primary
2Q24,EMEA,-6.591010455654689,0.3555274964462452,listed_nightly,measured,27526,44930,2,primary
3Q24,EMEA,-8.553604808133983,0.3566638702761345,listed_nightly,measured,26937,43995,2,primary
4Q24,EMEA,-7.246663666548413,0.346725718422909,listed_nightly,measured,25064,45664,2,primary
1Q25,EMEA,-8.713217129603452,0.3699459810811222,listed_nightly,measured,22540,44492,2,primary
2Q25,EMEA,-8.754421418826668,0.3976039179375472,listed_nightly,measured,21206,47960,2,primary
3Q25,EMEA,-8.791313097962279,0.3408434564784522,listed_nightly,measured,27208,60131,3,primary
4Q25,EMEA,-8.791313097962279,0.3408434564784522,listed_nightly,carried_from_3Q25,27208,60131,3,primary
1Q26,EMEA,-6.741384126755358,0.3021343397024139,quote_per_night,measured,28091,77607,4,primary
2Q26,EMEA,-4.90622833132358,0.1797567053383127,quote_per_night,measured,86758,257494,4,primary
3Q26,EMEA,-4.692389449629222,0.2107751564865644,quote_per_night,measured,62814,190227,4,primary
1Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,primary
2Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,primary
3Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,primary
4Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,primary
1Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,primary
2Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,primary
3Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,primary
4Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,measured,506,1786,1,primary
1Q25,LatAm,0.1568280878122895,2.8723007011020494,listed_nightly,measured,485,1934,1,primary
2Q25,LatAm,-4.063588407754171,0.5178674493269,listed_nightly,measured,16612,36740,3,primary
3Q25,LatAm,-5.458084614186797,0.262342748396338,listed_nightly,measured,47742,113916,5,primary
4Q25,LatAm,-5.128341004589943,0.5045562603582964,listed_nightly,carried_from_4Q25,10739,25721,2,primary
1Q26,LatAm,-4.016797244870431,0.3513169398207972,quote_per_night,measured,27128,63887,5,primary
2Q26,LatAm,-2.2866943564657087,0.2369284064643166,quote_per_night,measured,59736,133652,7,primary
3Q26,LatAm,-1.9962299831022,0.1832372893014678,quote_per_night,measured,97038,205184,7,primary
1Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,primary
2Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,primary
3Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,primary
4Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,primary
1Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,primary
2Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,primary
3Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,primary
4Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,measured,17473,33888,6,primary
1Q25,APAC,-1.805490958548976,0.3619411092195972,listed_nightly,measured,22454,49764,10,primary
2Q25,APAC,-1.8337466118903607,0.3434039588485398,listed_nightly,measured,24394,58215,12,primary
3Q25,APAC,-3.1341499881622186,0.2928710413614193,listed_nightly,measured,32031,77616,14,primary
4Q25,APAC,-0.2922910664541317,0.8612652353615993,listed_nightly,carried_from_4Q25,2646,6144,2,primary
1Q26,APAC,-1.463094334018158,0.2829521816281825,quote_per_night,measured,29018,68316,12,primary
2Q26,APAC,-0.8506859013718374,0.2474900123334041,quote_per_night,measured,45663,110646,15,primary
3Q26,APAC,0.2850150731129953,0.1950705232202611,quote_per_night,measured,72680,191586,15,primary
1Q23,NAM,-0.0523689077703047,1.5027964529555942,listed_nightly,carried_back_from_2Q24,4525,10758,2,l30d_weighted_premium
2Q23,NAM,-0.0523689077703047,1.5027964529555942,listed_nightly,carried_back_from_2Q24,4525,10758,2,l30d_weighted_premium
3Q23,NAM,-0.0523689077703047,1.5027964529555942,listed_nightly,carried_back_from_2Q24,4525,10758,2,l30d_weighted_premium
4Q23,NAM,-0.0523689077703047,1.5027964529555942,listed_nightly,carried_back_from_2Q24,4525,10758,2,l30d_weighted_premium
1Q24,NAM,-0.0523689077703047,1.5027964529555942,listed_nightly,carried_back_from_2Q24,4525,10758,2,l30d_weighted_premium
2Q24,NAM,-0.0523689077703047,1.5027964529555942,listed_nightly,measured,4525,10758,2,l30d_weighted_premium
3Q24,NAM,-2.6200545789254424,1.422268577356056,listed_nightly,measured,4303,11002,2,l30d_weighted_premium
4Q24,NAM,-11.82015816909969,1.2768636902272246,listed_nightly,measured,4347,11037,2,l30d_weighted_premium
1Q25,NAM,-0.9222183592102848,1.0287030483974418,listed_nightly,measured,14976,41449,5,l30d_weighted_premium
2Q25,NAM,-1.6691292788351206,0.7867333591029282,listed_nightly,measured,16132,46330,6,l30d_weighted_premium
3Q25,NAM,-1.9041877466509047,0.8099629281785892,listed_nightly,measured,15700,46753,6,l30d_weighted_premium
4Q25,NAM,6.778642820990785,3.8337213818751614,listed_nightly,carried_from_4Q25,1849,12818,1,l30d_weighted_premium
1Q26,NAM,0.7840376360362689,0.8746642005706854,quote_per_night,measured,11837,43122,4,l30d_weighted_premium
2Q26,NAM,0.597558813137839,0.3861025232461114,quote_per_night,measured,50630,184364,7,l30d_weighted_premium
3Q26,NAM,1.2954103215976354,0.4820542389603395,quote_per_night,measured,34416,124411,7,l30d_weighted_premium
1Q23,EMEA,0.3654005029417909,1.1061233135968904,listed_nightly,measured,5095,15636,1,l30d_weighted_premium
2Q23,EMEA,6.458039475244546,1.0059646592009646,listed_nightly,measured,5779,16584,1,l30d_weighted_premium
3Q23,EMEA,-0.9086991378633936,1.2162919852270444,listed_nightly,measured,6270,17356,1,l30d_weighted_premium
4Q23,EMEA,-6.356489682859463,0.6480856915188367,listed_nightly,measured,24594,50364,2,l30d_weighted_premium
1Q24,EMEA,-6.902047654909546,0.663082385404763,listed_nightly,measured,23483,39929,2,l30d_weighted_premium
2Q24,EMEA,-7.2442477091815425,0.5152036959741998,listed_nightly,measured,27526,44930,2,l30d_weighted_premium
3Q24,EMEA,-9.26101846551701,0.6641498365541495,listed_nightly,measured,26937,43995,2,l30d_weighted_premium
