market,region,core13,dump_date,quarter,source_format,n_listings,price_basis,price_nonnull_share,quote_col_present,quote_checkin_median,quote_stay_nights_median,first_review_nonnull_share,host_since_nonnull_share,reviews_l30d_present,n_reviewed,n_new_first_review_lt12m,share_listings_new_by_first_review,share_listings_new_by_host_since,share_l30d_reviews_from_new,share_ltm_reviews_from_new,n_priced_new,n_priced_old,n_priced_entire_new,n_priced_entire_old,seconds,partial_scope_regime,n_ratio_to_full_scope,scope_flag,usable_for_premium
austin,NA,True,2024-06-17,2Q24,parquet,15159,listed_nightly,0.7357,False,,,0.8068,0.9998,True,12231,3150,0.2575,0.0332,0.3589,0.2175,2928,6524,2520,5701,0.2,False,0.994,full,True
austin,NA,True,2024-09-13,3Q24,parquet,15244,listed_nightly,0.7336,False,,,0.7993,0.9999,True,12184,3004,0.2466,0.0326,0.3462,0.2057,2775,6614,2403,5778,0.1,False,1.002,full,True
austin,NA,True,2024-12-14,4Q24,parquet,15500,listed_nightly,0.7338,False,,,0.8095,0.9999,True,12548,3010,0.2399,0.035,0.336,0.1931,2810,6887,2443,5947,0.1,False,1.019,full,True
austin,NA,True,2025-03-06,1Q25,parquet,15431,listed_nightly,0.7147,False,,,0.8032,0.9986,True,12394,2887,0.2329,0.0391,0.353,0.1852,2606,6712,2285,5809,0.1,False,1.014,full,True
austin,NA,True,2025-06-13,2Q25,parquet,15187,listed_nightly,0.7051,False,,,0.8083,0.9999,True,12276,2763,0.2251,0.0429,0.3353,0.2003,2518,6677,2219,5805,0.1,False,1.001,full,True
austin,NA,True,2025-09-16,3Q25,parquet,10533,listed_nightly,0.9985,False,,,0.8458,0.9991,True,8909,2273,0.2551,0.0431,0.3247,0.19,2273,6628,2021,5799,0.1,False,0.795,partial,True
austin,NA,True,2025-12-22,4Q25,parquet,11251,none,0.0,False,,,0.8543,0.0,True,9612,2351,0.2446,0.0,0.3088,0.1762,0,0,0,0,0.0,True,0.996,partial,False
austin,NA,True,2026-01-18,1Q26,parquet,11374,none,0.0,False,,,0.839,0.0,True,9543,2301,0.2411,0.0,0.3096,0.1723,0,0,0,0,0.1,True,1.007,partial,False
austin,NA,True,2026-02-19,1Q26,parquet,10422,none,0.0,False,,,0.8512,0.0,True,8871,2108,0.2376,0.0,0.3223,0.1678,0,0,0,0,0.0,True,0.928,partial,False
austin,NA,True,2026-03-25,1Q26,parquet,8170,quote_per_night,0.9755,True,2026-03-30,2.0,0.8766,0.0,True,7162,1791,0.2501,0.0,0.3003,0.1678,1760,5244,1598,4705,0.0,True,0.727,partial,True
