region,n_pairs,wedge_eq_pp,wedge_median_pp,n_new_early,n_reviews_early,n_new_late,n_reviews_late,wedge_rw_pp,quarter
APAC,136,-1.7952409046622448,-1.4346551027366496,1548800.0,4910572.0,1268570.0,4262982.0,-1.7823058284325344,all
EMEA,444,-2.078911887403369,-1.7499499455956968,4525318.0,15786412.0,3582087.0,13566687.0,-2.2623557358811333,all
LatAm,40,-1.2726209880944859,-1.2883667600765007,941532.0,2602102.0,774488.0,2245831.0,-1.697929399965864,all
NAM,320,-1.75173273915714,-1.5716784715989363,1798899.0,6262719.0,1407677.0,5269075.0,-2.0081019235227315,all
APAC,34,-2.0728916212112094,,,,,,,1Q25
APAC,34,-2.0964133012387114,,,,,,,2Q25
APAC,34,-1.333773874869274,,,,,,,3Q24
APAC,34,-1.6778848213297841,,,,,,,4Q24
EMEA,111,-2.0494451867847654,,,,,,,1Q25
EMEA,111,-2.2966559713741668,,,,,,,2Q25
EMEA,111,-1.9339576891394863,,,,,,,3Q24
EMEA,111,-2.0355887023150583,,,,,,,4Q24
LatAm,10,-1.2281314870249347,,,,,,,1Q25
LatAm,10,-1.3203995415289127,,,,,,,2Q25
LatAm,10,-1.242654414580913,,,,,,,3Q24
LatAm,10,-1.2992985092431835,,,,,,,4Q24
NAM,80,-1.6734021110917727,,,,,,,1Q25
NAM,80,-1.935979177010498,,,,,,,2Q25
NAM,80,-1.6669766582317636,,,,,,,3Q24
NAM,80,-1.7305730102945263,,,,,,,4Q24
