booking_quarter,target_quarter,scenario,lag,weight,delta_gbv_musd,dR_dGBV_div_lambda,delta_revenue_div_lambda_musd,lambda_decimal,dR_dGBV,delta_revenue_musd,evidence_status,lambda_basis,treatment,source_value_first_known_date,analysis_information_date,lambda_information_date,information_date_basis
2020Q3,,normalized_single_GBV_precision_difference,1,0.6666666666666666,0.0,0.6666666666666666,0.0,,,,unresolved,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2021-11-04,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2020Q3,,normalized_single_GBV_precision_difference,2,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,unresolved,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2021-11-04,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2020Q4,,normalized_single_GBV_precision_difference,1,0.6666666666666666,0.0,0.6666666666666666,0.0,,,,exact,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2021-02-25,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2020Q4,,normalized_single_GBV_precision_difference,2,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,exact,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2021-02-25,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2021Q1,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-10.299999999999272,0.6666666666666666,-6.866666666666181,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2021-05-13,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2021Q1,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-10.299999999999272,0.3333333333333333,-3.4333333333330907,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2021-05-13,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2021Q2,,normalized_single_GBV_precision_difference,1,0.6666666666666666,21.399999999999636,0.6666666666666666,14.266666666666424,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2021-08-12,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2021Q2,,normalized_single_GBV_precision_difference,2,0.3333333333333333,21.399999999999636,0.3333333333333333,7.133333333333212,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2021-08-12,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2021Q3,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-8.399999999999636,0.6666666666666666,-5.599999999999757,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2021-11-04,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2021Q3,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-8.399999999999636,0.3333333333333333,-2.7999999999998786,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2021-11-04,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2021Q4,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-26.200000000000728,0.6666666666666666,-17.46666666666715,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2022-02-15,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2021Q4,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-26.200000000000728,0.3333333333333333,-8.733333333333576,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2022-02-15,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2022Q1,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-35.20000000000073,0.6666666666666666,-23.46666666666715,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2022-05-03,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2022Q1,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-35.20000000000073,0.3333333333333333,-11.733333333333576,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2022-05-03,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2022Q2,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-19.400000000001455,0.6666666666666666,-12.933333333334303,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2022-08-02,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2022Q2,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-19.400000000001455,0.3333333333333333,-6.466666666667152,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2022-08-02,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2022Q3,,normalized_single_GBV_precision_difference,1,0.6666666666666666,,0.6666666666666666,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2022Q3,,normalized_single_GBV_precision_difference,2,0.3333333333333333,,0.3333333333333333,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2022Q4,,normalized_single_GBV_precision_difference,1,0.6666666666666666,,0.6666666666666666,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2022Q4,,normalized_single_GBV_precision_difference,2,0.3333333333333333,,0.3333333333333333,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2023Q1,,normalized_single_GBV_precision_difference,1,0.6666666666666666,,0.6666666666666666,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2023Q1,,normalized_single_GBV_precision_difference,2,0.3333333333333333,,0.3333333333333333,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2023Q2,,normalized_single_GBV_precision_difference,1,0.6666666666666666,,0.6666666666666666,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
