print_quarter,letter_date,next_q_nights_descriptor,descriptor_class,softening_phrase_forward_demand,yes_strict,yes_with_synonyms,day1_excess_pct,source
3Q22,2022-11-01,moderate slightly relative to Q3 2022,down,'Nights and Experiences Booked growth will moderate slightly relative to Q3 2022',1,1,-10.0,data/raw/letters/3Q22_d408297dex991.htm
4Q22,2023-02-14,nearly as strong as Q4 2022,stable,none (macro uncertainties cited only as 'despite'),0,0,12.6,data/raw/letters/4Q22_d451233dex991.htm
1Q23,2023-05-09,lower than our revenue growth,down,'growth in Nights and Experiences Booked in Q2 2023 to be lower than our revenue growth' (no listed word; call: 'moderation in ADRs' only),0,1,-12.0,data/raw/letters/1Q23_d453262dex991.htm
2Q23,2023-08-03,modest sequential increase,up,none (deceleration cited for the reported quarter's EMEA comp; 'moderating effect on ADR'),0,0,0.0,data/raw/letters/2Q23_d446942dex991.htm
3Q23,2023-11-01,moderate relative to Q3 2023,down,'greater volatility early in Q4 ... monitoring macroeconomic trends and geopolitical conflicts that may impact travel demand'; 'nights booked growth in Q4 2023 to moderate',1,1,-5.1,data/raw/letters/3Q23_d481318dex991.htm
4Q23,2024-02-13,moderate relative to Q4 2023,down,'growth rate of nights booked in Q1 2024 to moderate relative to Q4 2023',1,1,-2.8,data/raw/letters/4Q23_d646462dex991.htm
1Q24,2024-05-08,relatively stable to Q1 2024,stable,none,0,0,-7.1,data/raw/letters/1Q24_d813800dex991.htm
2Q24,2024-08-06,sequential moderation relative to Q2 2024,down,'sequential moderation'; 'shorter booking lead times globally and some signs of slowing demand from U.S. guests',1,1,-12.3,data/raw/letters/2Q24_d831385dex991.htm
3Q24,2024-11-07,higher than Q3 2024,up,none (softer start / shorter lead times described as past and normalised),0,0,-8.8,data/raw/letters/3Q24_d886752dex991.htm
4Q24,2025-02-13,relatively stable compared to Q1 2024 ex Leap Day,down (indirect),none,0,0,14.0,data/raw/letters/4Q24_d915198dex991.htm
1Q25,2025-05-01,moderate relative to Q1 2025,down,'moderate relative to Q1 2025'; 'relatively softer results [in the U.S.] ... driven by broader economic uncertainties'; 'broad macro uncertainty',1,1,-0.5,data/raw/letters/1Q25_d40594dex991.htm
2Q25,2025-08-06,relatively stable compared to Q2 2025,stable,"'tougher year-over-year comparison ... This dynamic will continue into Q4, putting pressure on growth rates later in the year' (synonym: pressure on growth)",0,1,-8.4,data/raw/letters/2Q25_d17531dex991.htm
3Q25,2025-11-06,mid-single-digit range (bucket),bucket below printed,none ('challenging Q4 2024 comparison'; 'strength in longer lead time bookings'),0,0,0.6,data/raw/letters/3Q25_d40503dex991.htm
4Q25,2026-02-12,high-single-digit (bucket),bucket below printed,"none ('moderate increase in ADR' is ADR, excluded)",0,0,4.4,data/raw/letters/4Q25_d58192dex991.htm
1Q26,2026-05-07,slightly decelerate relative to Q1 2026,down,'slightly decelerate ... assuming an estimated roughly 100bps headwind related to the conflict in the Middle East'; 'navigating a period of macroeconomic and geopolitical uncertainty',1,1,-1.6,data/raw/letters/1Q26_d23351dex991.htm
2Q26,2026-08-06,low double-digit (bucket),bucket above printed,"none ('moderate increase in ADR' is ADR, excluded)",0,0,16.3,data/raw/letters/2Q26_d70413dex991.htm
