assumption,a_ge3,b_eq2,c_le1,d_not_stated,p_ge4,vector_sum
BASE rev 2,0.486,0.285,0.209,0.02,0.2,1.0
"rev-1 sds restored (0.6/0.6/0.7/0.7/0.7), rev-2 weights",0.508,0.3,0.172,0.02,0.128,1.0
management sd 0.6 (rev 1),0.519,0.276,0.185,0.02,0.167,1.0
"management sd 1.35 (numeric-pair sd net of rounding, no hedge-regime discount)",0.47,0.277,0.232,0.02,0.216,1.0
"management centre 3.5 (2Q26-style overshoot), weights fixed",0.541,0.248,0.191,0.02,0.268,1.0
"management centre 2.6 (approximately three was a rounded 2.6), weights fixed",0.432,0.313,0.235,0.02,0.154,1.0
"management weight 0.50, others rescaled",0.522,0.276,0.183,0.02,0.221,1.0
"management weight 0.25, others rescaled",0.448,0.295,0.237,0.02,0.177,1.0
"management weight 0.15, others rescaled",0.418,0.303,0.259,0.02,0.159,1.0
model-only (management weight 0),0.373,0.315,0.292,0.02,0.133,1.0
kernel view only: management 0.6 + Phi x 0.851 0.4,0.65,0.239,0.091,0.02,0.305,1.0
short-lag view only: free fit 0.6 + contemporaneous 0.4,0.166,0.179,0.635,0.02,0.06,1.0
middle cluster only (H2 / Phi x 0.653),0.293,0.433,0.254,0.02,0.043,1.0
all sds x 1.5,0.485,0.222,0.273,0.02,0.265,1.0
all sds x 0.75,0.49,0.319,0.171,0.02,0.157,1.0
not-stated 5%,0.471,0.276,0.202,0.05,0.194,1.0
"dollar -5% (weaker) for the rest of the quarter: basket +1.05pp on lag-0 terms only, weights fixed",0.499,0.289,0.192,0.02,0.207,1.0
"dollar +5% (stronger) for the rest of the quarter: basket -1.05pp on lag-0 terms only, weights fixed",0.476,0.28,0.224,0.02,0.195,1.0
hedge reclassification surprise -0.6pp on every component (designated notional kept growing),0.302,0.311,0.367,0.02,0.092,1.0
"Astra comparison: management N(3,1) 0.50 / H2 N(1.8527,0.9936) 0.25 / H2b N(2.9960,1.3155) 0.25",0.558,0.263,0.159,0.02,0.255,1.0
"Astra weights with rev-2 sds (H2 0.80, H2b 1.15)",0.552,0.282,0.145,0.02,0.243,1.0
