guide_letter,target,guided,guided_num,printed,error_printed_minus_guided
2Q23,3Q23,"14-18% growth, 'a few points lower excluding the impact of FX' (~+2 to +3)",2.5,4.0,1.5
3Q23,4Q23,"12-14% growth, 'relatively stable ... excluding the impact of FX' (implies ~+2)",2.0,3.0,1.0
1Q24,2Q24,"'significant sequential headwind ... impact of FX rate changes' (headwind, small)",-0.5,0.0,0.5
2Q24,3Q24,'inclusive of a modest foreign exchange headwind',-0.5,0.0,0.5
3Q24,4Q24,'inclusive of a modest foreign exchange tailwind',0.5,0.0,-0.5
4Q24,1Q25,"4-6% growth, 'or 7% to 9% excluding the impact of FX' (-3)",-3.0,-2.0,1.0
2Q25,3Q25,'inclusive of minimal foreign exchange impact after factoring in our hedging program',0.0,0.0,0.0
3Q25,4Q25,'inclusive of a small foreign exchange tailwind after factoring in our hedging program',0.5,1.0,0.5
4Q25,1Q26,'inclusive of an approximate three point foreign exchange tailwind after factoring in our hedging program',3.0,3.0,0.0
1Q26,2Q26,'inclusive of an approximate 3% FX tailwind after factoring in our hedging program',3.0,4.0,1.0
2Q26,3Q26,'inclusive of an approximate three percentage point FX tailwind after factoring in our hedging program',3.0,,
