northern_stay_quarter,seasonal_role,melbourne_months,weighting,n_reservations,phi0,phi0_lo,phi0_hi,phi1,phi1_lo,phi1_hi,phi2,phi2_lo,phi2_hi,phi3,phi3_lo,phi3_hi,booked_before_quarter,booked_before_quarter_lo,booked_before_quarter_hi
Q3,peak summer,1-2-3,count,78040,0.5721630432712355,0.5545729811144986,0.5897531054279723,0.33179101469711225,0.31901052270711655,0.3445715066871079,0.06427222226320733,0.04891985483710893,0.07962458968930573,0.0317737197684449,0.016755533047810755,0.04679190648907904,0.4278369567287645,0.41024689457202757,0.44542701888550135
Q3,peak summer,1-2-3,nights,78040,0.5097701936941346,0.4905852197394194,0.5289551676488498,0.3707380073055946,0.3572989755161813,0.3841770390950079,0.07849654926611462,0.06189313082500475,0.09509996770722448,0.04099524973415672,0.024974662431138182,0.05701583703717525,0.4902298063058659,0.4710448323511508,0.5094147802605811
Q3,peak summer,1-2-3,value,78040,0.4633821662176525,0.4428872326135956,0.4838770998217094,0.38937815254137775,0.37531520259994317,0.4034411024828124,0.0954500016289517,0.0775818393259822,0.11331816393192119,0.05178967961201764,0.035099958369495636,0.06847940085453966,0.5366178337823471,0.5161229001782902,0.557112767386404
Q4,autumn shoulder + holidays,4-5-6,count,45508,0.6016095587548189,0.5735954691797853,0.6296236483298526,0.31539104236120785,0.2951792461287062,0.3356028385937095,0.0653731370027675,0.04639581362255818,0.08435046038297685,0.0176262618812057,0.0,0.046874824308531744,0.398390441245181,0.3703763516701473,0.4264045308202148
Q4,autumn shoulder + holidays,4-5-6,nights,45508,0.5342970649638633,0.5038739567748582,0.5647201731528684,0.3364261589909344,0.3129705319000255,0.3598817860818434,0.10655036753300681,0.08702034131140869,0.12608039375460495,0.0227264085121955,0.0,0.05707511757051135,0.46570293503613674,0.43527982684713173,0.4961260432251418
Q4,autumn shoulder + holidays,4-5-6,value,45508,0.5017395150331228,0.4679797461726185,0.5354992838936269,0.3528418363472928,0.3256572356621716,0.380026437032414,0.11743768659504666,0.09609657962007927,0.13877879357001405,0.027980962024537984,0.0,0.06758422459519631,0.49826048496687747,0.46450071610637295,0.5320202538273819
Q1,winter trough,7-8-9,count,59500,0.6468867878404098,0.6227651768849423,0.6710083987958773,0.2652491772372073,0.24713562973711212,0.2833627247373025,0.07083138621590507,0.05725117701294055,0.08441159541886957,0.017032648706477974,0.0,0.045687597959076294,0.35311321215959035,0.32899160120412274,0.37723482311505796
Q1,winter trough,7-8-9,nights,59500,0.5933870933737065,0.5669384571899723,0.6198357295574408,0.29367483280400114,0.27279896860802305,0.31455069699997923,0.09079164119332193,0.07723587398870002,0.10434740839794385,0.022146432628970057,0.0,0.05591516580406046,0.4066129066262931,0.3801642704425589,0.43306154281002734
Q1,winter trough,7-8-9,value,59500,0.5583640467656267,0.5294882025965093,0.587239890934744,0.31449941695494854,0.2905679574257749,0.3384308764841221,0.09998708436885367,0.08595153312725409,0.11402263561045325,0.02714945191057102,0.0,0.06592120436726238,0.4416359532343732,0.41276010906525584,0.47051179740349053
Q2,spring shoulder,10-11-12,count,85062,0.5722687206624268,0.5567606057365838,0.58777683558827,0.33002792419062804,0.31536078328007533,0.34469506510118075,0.056603717217857064,0.04449296189735607,0.06871447253835805,0.0410996379290878,0.022058227864431713,0.06014104799374388,0.42773127933757293,0.41222316441172985,0.44323939426341596
Q2,spring shoulder,10-11-12,nights,85062,0.5345865577916691,0.5187291386870434,0.5504439768962947,0.34873225242100603,0.333212036838279,0.364252468003733,0.06573732417296471,0.053441995386689284,0.07803265295924014,0.050943865614360546,0.030515503232973078,0.07137222799574802,0.4654134422083313,0.4495560231037055,0.481270861312957
Q2,spring shoulder,10-11-12,value,85062,0.4980794165248419,0.4821072471762351,0.5140515858734487,0.3606152027985457,0.344496513788616,0.3767338918084754,0.08212396412267467,0.06955966946089984,0.0946882587844495,0.05918141655393755,0.03777086462586686,0.08059196848200824,0.5019205834751579,0.4859484141265511,0.5178927528237648
