scenario,northern_stay_quarter,phi0,phi1,phi2,phi3,booked_before_quarter
base,Q3,0.4633821662176525,0.38937815254137775,0.0954500016289517,0.05178967961201764,0.5366178337823471
base,Q4,0.5017395150331228,0.3528418363472928,0.11743768659504666,0.027980962024537984,0.49826048496687747
base,Q1,0.5583640467656267,0.31449941695494854,0.09998708436885367,0.02714945191057102,0.4416359532343732
base,Q2,0.4980794165248419,0.3606152027985457,0.08212396412267467,0.05918141655393755,0.5019205834751579
+10%,Q3,0.44073933108711333,0.38759735861200495,0.10955353528061061,0.06210977502027105,0.5592606689128866
+10%,Q4,0.47726145140497667,0.3533953972624098,0.1346857951722688,0.034657356160344786,0.5227385485950234
+10%,Q1,0.5369594608963228,0.3171367114200003,0.10934590057771212,0.03655792710596477,0.4630405391036772
+10%,Q2,0.47014145576782923,0.3674934527462961,0.08974246150826266,0.07262262997761172,0.5298585442321705
-10%,Q3,0.48802976190180897,0.3865131770568801,0.08292129034923826,0.042535770692072636,0.511970238098191
-10%,Q4,0.5287974030500615,0.35555698298758887,0.09368093715635073,0.02196467680599907,0.47120259694993866
-10%,Q1,0.5813740323753407,0.3108129044313894,0.08657232700767944,0.021240736185590338,0.41862596762465926
-10%,Q2,0.5288115319483431,0.3495305912474626,0.07675428874673124,0.044903588057462696,0.47118846805165654
