stay_quarter_melbourne,horizon_days,cdf_share_booked_within,n_reservations,max_W_in_group
ALL,0,0.0431506251872218,268110,389
ALL,1,0.07924023898017094,268110,389
ALL,3,0.1309247026858243,268110,389
ALL,7,0.21333169829130538,268110,389
ALL,14,0.3360863115305243,268110,389
ALL,21,0.4309641944318496,268110,389
ALL,30,0.527150860758275,268110,389
ALL,45,0.6369210586002482,268110,389
ALL,60,0.7111080384159323,268110,389
ALL,90,0.8126510881333665,268110,389
ALL,120,0.8634654070005338,268110,389
ALL,150,0.8966557267209863,268110,389
ALL,180,0.9244254720377546,268110,389
ALL,210,0.9400048841308997,268110,389
ALL,240,0.9523865090058262,268110,389
ALL,270,0.9632319349507634,268110,389
ALL,300,0.9728231668417315,268110,389
ALL,330,0.9875778148451643,268110,389
ALL,365,1.0,268110,389
Q1,0,0.04318698357597195,78040,389
Q1,1,0.08109710099153576,78040,389
Q1,3,0.13241399319741884,78040,389
Q1,7,0.21491236726025914,78040,389
Q1,14,0.33889347386640367,78040,389
Q1,21,0.43353621454721675,78040,389
Q1,30,0.5357281560986615,78040,389
Q1,45,0.6550888487940181,78040,389
Q1,60,0.7295330587172882,78040,389
Q1,90,0.8333156345658894,78040,389
Q1,120,0.8869679818906134,78040,389
Q1,150,0.9243983842006854,78040,389
Q1,180,0.9484220117204385,78040,389
Q1,210,0.9606780285620373,78040,389
Q1,240,0.9688765357408174,78040,389
Q1,270,0.9745036170427503,78040,389
Q1,300,0.9784776388524242,78040,389
Q1,330,0.9875778148451643,78040,389
Q1,365,1.0,78040,389
Q2,0,0.05012305528698244,45508,180
Q2,1,0.08824822009317031,45508,180
Q2,3,0.1465236881427439,45508,180
Q2,7,0.2393205590225891,45508,180
Q2,14,0.37698866133427045,45508,180
Q2,21,0.4839808385338837,45508,180
Q2,30,0.5850619671266586,45508,180
Q2,45,0.6925375758108459,45508,180
Q2,60,0.7704579414608417,45508,180
Q2,90,0.873011338665729,45508,180
Q2,120,0.9217939702909378,45508,180
Q2,150,0.9496132548123406,45508,180
Q2,180,1.0,45508,180
Q2,210,1.0,45508,180
Q2,240,1.0,45508,180
Q2,270,1.0,45508,180
Q2,300,1.0,45508,180
Q2,330,1.0,45508,180
Q2,365,1.0,45508,180
Q3,0,0.04753849281784455,59500,238
Q3,1,0.08628508761864093,59500,238
Q3,3,0.14389147073211409,59500,238
Q3,7,0.2348292619031398,59500,238
Q3,14,0.3668322192104312,59500,238
Q3,21,0.4651458681869097,59500,238
Q3,30,0.5587290092037727,59500,238
Q3,45,0.6647141727331797,59500,238
Q3,60,0.7305833838945335,59500,238
Q3,90,0.8114688456513763,59500,238
Q3,120,0.8513825065606302,59500,238
Q3,150,0.8809948639525638,59500,238
Q3,180,0.9048341343279933,59500,238
Q3,210,0.9298165555578445,59500,238
Q3,240,1.0,59500,238
Q3,270,1.0,59500,238
Q3,300,1.0,59500,238
Q3,330,1.0,59500,238
Q3,365,1.0,59500,238
Q4,0,0.037082604810773245,85062,330
Q4,1,0.06916244121901621,85062,330
Q4,3,0.11435374603477755,85062,330
Q4,7,0.18652228534045825,85062,330
Q4,14,0.2958177999083759,85062,330
Q4,21,0.3836823864193345,85062,330
Q4,30,0.47534064653043817,85062,330
Q4,45,0.5820959527520598,85062,330
Q4,60,0.6611530046474775,85062,330
Q4,90,0.7763830670986631,85062,330
Q4,120,0.8342199505815744,85062,330
Q4,150,0.8694168112051408,85062,330
Q4,180,0.8922565010960718,85062,330
Q4,210,0.9063441194357909,85062,330
Q4,240,0.9168014632176921,85062,330
Q4,270,0.9317179468612,85062,330
Q4,300,0.9485105392148903,85062,330
Q4,330,1.0,85062,330
Q4,365,1.0,85062,330
