stay_ym,r_nights,nights_with_booked_date,pct_covered
2014-10,13471,0.0,0.0
2014-11,14348,0.0,0.0
2014-12,15142,0.0,0.0
2015-01,18885,0.0,0.0
2015-02,20655,0.0,0.0
2015-03,23628,0.0,0.0
2015-04,19298,0.0,0.0
2015-05,18465,0.0,0.0
2015-06,20130,0.0,0.0
2015-07,30774,0.0,0.0
2015-08,40055,5865.0,14.6
2015-09,40782,26898.0,66.0
2015-10,52831,35121.0,66.5
2015-11,59551,53908.0,90.5
2015-12,75454,70533.0,93.5
2016-01,94739,89116.0,94.1
2016-02,90872,86104.0,94.8
2016-03,97080,91251.0,94.0
2016-04,80337,78422.0,97.6
2016-05,78203,74617.0,95.4
2016-06,73386,70177.0,95.6
2016-07,95630,87836.0,91.8
2016-08,89683,88529.0,98.7
2016-09,96323,95691.0,99.3
2016-10,120849,117717.0,97.4
2016-11,127650,121567.0,95.2
2016-12,148921,146057.0,98.1
2017-01,164194,162553.0,99.0
2017-02,132945,130936.0,98.5
