survival_model,implied_cancel_rate_value_wtd,northern_stay_quarter,g0_gbv_booking_share,phi0_revenue_weight,gap_k0_pp,g1_gbv_booking_share,phi1_revenue_weight,gap_k1_pp,g2_gbv_booking_share,phi2_revenue_weight,gap_k2_pp,g3_gbv_booking_share,phi3_revenue_weight,gap_k3_pp,g2plus_booking,phi2plus_revenue
flat,0.16000000000000003,Q3,0.46338216621765305,0.4633821662176525,-5.551115123125783e-14,0.38937815254137853,0.38937815254137775,-7.771561172376096e-14,0.09545000162895217,0.0954500016289517,-4.718447854656915e-14,0.051789679612017026,0.05178967961201764,6.175615574477433e-14,0.1472396812409692,0.14723968124096934
flat,0.16000000000000003,Q4,0.501739515033123,0.5017395150331228,-2.220446049250313e-14,0.3528418363472931,0.3528418363472928,-2.7755575615628914e-14,0.11743768659504686,0.11743768659504666,-1.942890293094024e-14,0.02798096202453758,0.027980962024537984,4.0592529337857286e-14,0.14541864861958442,0.14541864861958465
flat,0.16000000000000003,Q1,0.558364046765627,0.5583640467656267,-3.3306690738754696e-14,0.3144994169549492,0.31449941695494854,-6.661338147750939e-14,0.09998708436885329,0.09998708436885367,3.885780586188048e-14,0.027149451910570634,0.02714945191057102,3.851086116668512e-14,0.12713653627942392,0.1271365362794247
flat,0.16000000000000003,Q2,0.4980794165248422,0.4980794165248419,-3.3306690738754696e-14,0.36061520279854553,0.3606152027985457,1.6653345369377348e-14,0.08212396412267484,0.08212396412267467,-1.6653345369377348e-14,0.05918141655393742,0.05918141655393755,1.3183898417423734e-14,0.14130538067661225,0.14130538067661222
moderate,0.10334202038108142,Q3,0.4368447527404553,0.4633821662176525,2.653741347719718,0.3891643004811174,0.38937815254137775,0.021385206026036663,0.10626918902303303,0.0954500016289517,-1.081918739408133,0.06772175775539481,0.05178967961201764,-1.5932078143377166,0.17399094677842786,0.14723968124096934
moderate,0.10334202038108142,Q4,0.47602038928959145,0.5017395150331228,2.57191257435313,0.355867582141397,0.3528418363472928,-0.30257457941041954,0.1317757562791902,0.11743768659504666,-1.4338069684143528,0.036336272289821114,0.027980962024537984,-0.835531026528313,0.1681120285690113,0.14541864861958465
moderate,0.10334202038108142,Q1,0.5336574715969872,0.5583640467656267,2.47065751686395,0.3169861821062674,0.31449941695494854,-0.24867651513188482,0.11408526505057737,0.09998708436885367,-1.4098180681723693,0.03527108124616823,0.02714945191057102,-0.8121629335597208,0.1493563462967456,0.1271365362794247
moderate,0.10334202038108142,Q2,0.4702503195774105,0.4980794165248419,2.782909694743141,0.36099453947167287,0.3606152027985457,-0.0379336673127173,0.09304741102377787,0.08212396412267467,-1.0923446901103195,0.07570772992713883,0.05918141655393755,-1.6526313373201276,0.1687551409509167,0.14130538067661222
strong,0.13317477500133468,Q3,0.4172177897705257,0.4633821662176525,4.616437644712679,0.3875259462748285,0.38937815254137775,0.185220626654925,0.11398670583158246,0.0954500016289517,-1.853670420263076,0.08126955812306325,0.05178967961201764,-2.94798785110456,0.1952562639546457,0.14723968124096934
strong,0.13317477500133468,Q4,0.4573739276783902,0.5017395150331228,4.436558735473256,0.3570676292810796,0.3528418363472928,-0.4225792933786776,0.1421940359061148,0.11743768659504666,-2.4756349311068124,0.043364407134415466,0.027980962024537984,-1.538344510987748,0.18555844304053026,0.14541864861958465
strong,0.13317477500133468,Q1,0.5154172614509474,0.5583640467656267,4.294678531467932,0.3178638060056552,0.31449941695494854,-0.3364389050706684,0.12461764460571714,0.09998708436885367,-2.463056023686347,0.0421012879376804,0.02714945191057102,-1.495183602710938,0.16671893254339754,0.1271365362794247
strong,0.13317477500133468,Q2,0.44977446887374656,0.4980794165248419,4.830494765109533,0.3598012054284317,0.3606152027985457,0.08139973701140057,0.10104006503336697,0.08212396412267467,-1.8916100910692304,0.08938426066445493,0.05918141655393755,-3.0202844110517377,0.19042432569782192,0.14130538067661222
