prior_basis,weight,window,threshold_pp,n_pairs,n_strong,hits,hit_rate,wilson_lo,wilson_hi,corr,sign_gate_pass,full_gate_pass
PIT,0.33,W1,0.5,11,9,4,0.4444444444444444,0.18877852109766463,0.733348706504507,0.16597645882746087,False,False
PIT,0.33,W1,1.0,11,9,4,0.4444444444444444,0.18877852109766463,0.733348706504507,0.16597645882746087,False,False
PIT,0.33,W1,1.5,11,8,3,0.375,0.13684428582359742,0.6942576053973727,0.16597645882746087,False,False
PIT,0.33,W2,0.5,9,8,4,0.5,0.21521606221387757,0.7847839377861224,0.12047200743293719,False,False
PIT,0.33,W2,1.0,9,8,4,0.5,0.21521606221387757,0.7847839377861224,0.12047200743293719,False,False
PIT,0.33,W2,1.5,9,7,3,0.42857142857142855,0.1582198552514697,0.7495416354723428,0.12047200743293719,False,False
PIT,0.5,W1,0.5,11,10,4,0.4,0.16818032970623614,0.6873262302663417,0.30284446377746804,False,False
PIT,0.5,W1,1.0,11,10,4,0.4,0.16818032970623614,0.6873262302663417,0.30284446377746804,False,False
PIT,0.5,W1,1.5,11,8,3,0.375,0.13684428582359742,0.6942576053973727,0.30284446377746804,False,False
PIT,0.5,W2,0.5,9,8,3,0.375,0.13684428582359742,0.6942576053973727,0.2566760837711746,False,False
PIT,0.5,W2,1.0,9,8,3,0.375,0.13684428582359742,0.6942576053973727,0.2566760837711746,False,False
PIT,0.5,W2,1.5,9,7,3,0.42857142857142855,0.1582198552514697,0.7495416354723428,0.2566760837711746,False,False
PIT,0.6666666666666666,W1,0.5,11,9,5,0.5555555555555556,0.2666512934954931,0.8112214789023354,0.687244827993522,False,False
PIT,0.6666666666666666,W1,1.0,11,8,5,0.625,0.30574239460262737,0.8631557141764026,0.687244827993522,False,False
PIT,0.6666666666666666,W1,1.5,11,6,4,0.6666666666666666,0.29999331513839206,0.9032285888942195,0.687244827993522,False,False
PIT,0.6666666666666666,W2,0.5,9,7,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,0.6705295275660804,False,False
PIT,0.6666666666666666,W2,1.0,9,7,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,0.6705295275660804,False,False
PIT,0.6666666666666666,W2,1.5,9,5,3,0.6,0.2307242812760129,0.8823792257673522,0.6705295275660804,False,False
full_sample,0.33,W1,0.5,13,13,6,0.46153846153846156,0.23206067809538303,0.70856204285494,0.4243103254298839,False,False
full_sample,0.33,W1,1.0,13,13,6,0.46153846153846156,0.23206067809538303,0.70856204285494,0.4243103254298839,False,False
full_sample,0.33,W1,1.5,13,12,5,0.4166666666666667,0.19326031365875657,0.6804886874504503,0.4243103254298839,False,False
full_sample,0.33,W2,0.5,9,9,4,0.4444444444444444,0.18877852109766463,0.733348706504507,0.14298580495552268,False,False
full_sample,0.33,W2,1.0,9,9,4,0.4444444444444444,0.18877852109766463,0.733348706504507,0.14298580495552268,False,False
full_sample,0.33,W2,1.5,9,8,3,0.375,0.13684428582359742,0.6942576053973727,0.14298580495552268,False,False
full_sample,0.5,W1,0.5,13,12,5,0.4166666666666667,0.19326031365875657,0.6804886874504503,0.5595287894369259,False,False
full_sample,0.5,W1,1.0,13,11,5,0.45454545454545453,0.21271271622459764,0.719908462590678,0.5595287894369259,False,False
full_sample,0.5,W1,1.5,13,10,5,0.5,0.236593090512564,0.7634069094874361,0.5595287894369259,False,False
full_sample,0.5,W2,0.5,9,8,3,0.375,0.13684428582359742,0.6942576053973727,0.3128768320684415,False,False
full_sample,0.5,W2,1.0,9,7,3,0.42857142857142855,0.1582198552514697,0.7495416354723428,0.3128768320684415,False,False
full_sample,0.5,W2,1.5,9,7,3,0.42857142857142855,0.1582198552514697,0.7495416354723428,0.3128768320684415,False,False
full_sample,0.6666666666666666,W1,0.5,13,10,6,0.6,0.31267376973365835,0.8318196702937639,0.8532116531741378,False,False
full_sample,0.6666666666666666,W1,1.0,13,8,6,0.75,0.40927543031016883,0.9285207872478909,0.8532116531741378,True,True
full_sample,0.6666666666666666,W1,1.5,13,6,5,0.8333333333333334,0.43649717781352976,0.9699466302516933,0.8532116531741378,True,True
full_sample,0.6666666666666666,W2,0.5,9,6,4,0.6666666666666666,0.29999331513839206,0.9032285888942195,0.8337589695786217,False,False
full_sample,0.6666666666666666,W2,1.0,9,5,4,0.8,0.3755346297625253,0.9637758913675698,0.8337589695786217,False,False
full_sample,0.6666666666666666,W2,1.5,9,3,3,1.0,0.43850296824495455,1.0,0.8337589695786217,False,False
