region,index_z,global_z,relative_z,n_months,quarter,relative_z_chg2q,relative_z_chg1q
apac,-0.7684524474084627,-0.5593042878371594,-0.20914815957130348,3,1Q16,,
emea,-0.19235051173877435,-0.5593042878371594,0.3669537760983849,3,1Q16,,
latam,-1.7937291724313862,-0.5593042878371594,-1.2344248845942267,3,1Q16,,
na,-0.26155481948372716,-0.5593042878371594,0.2977494683534321,3,1Q16,,
apac,-0.6062668002519255,-0.45023153113024517,-0.15603526912168034,3,2Q16,,0.05311289044962314
emea,-0.20582123262988197,-0.45023153113024517,0.2444102985003632,3,2Q16,,-0.12254347759802173
latam,-1.3976237780279608,-0.45023153113024517,-0.9473922468977157,3,2Q16,,0.287032637696511
na,-0.17302693759981377,-0.45023153113024517,0.27720459353043136,3,2Q16,,-0.020544874823000714
apac,-0.16877667673704677,-0.2461199435607115,0.07734326682366474,3,3Q16,0.2864914263949682,0.23337853594534508
emea,-0.12061659549755815,-0.2461199435607115,0.12550334806315336,3,3Q16,-0.24145042803523156,-0.11890695043720984
latam,-0.9832277217196473,-0.2461199435607115,-0.7371077781589359,3,3Q16,0.4973171064352908,0.21028446873877982
na,-0.030371979758315387,-0.2461199435607115,0.2157479638023961,3,3Q16,-0.08200150455103597,-0.061456629728035256
apac,-0.13182835895233133,-0.12052964965310742,-0.011298709299223927,3,4Q16,0.14473655982245642,-0.08864197612288867
emea,0.026224126640203686,-0.12052964965310742,0.1467537762933111,3,4Q16,-0.0976565222070521,0.021250428230157742
latam,-0.7189556839878488,-0.12052964965310742,-0.5984260343347413,3,4Q16,0.34896621256297444,0.13868174382419463
na,0.026336427625829148,-0.12052964965310742,0.14686607727893655,3,4Q16,-0.1303385162514948,-0.06888188652345956
apac,0.2605401902640492,0.13824425621041392,0.12229593405363524,3,1Q17,0.0449526672299705,0.13359464335285917
emea,0.2081807384541523,0.13824425621041392,0.06993648224373838,3,1Q17,-0.05556686581941497,-0.07681729404957272
latam,-0.28000906957866506,0.13824425621041392,-0.418253325789079,3,1Q17,0.31885445236985693,0.1801727085456623
na,0.22770250740332468,0.13824425621041392,0.08945825119291075,3,1Q17,-0.12628971260948535,-0.05740782608602581
apac,0.42954948755569583,0.2489456971367466,0.18060379041894917,3,2Q17,0.19190249971817308,0.05830785636531392
emea,0.35565199304550704,0.2489456971367466,0.10670629590876042,3,2Q17,-0.04004748038455068,0.036769813665022036
