level,region,unit,weight,basis
region,na,na,0.296,"FY2025 10-K nights share by listing location, used as an origin proxy"
region,emea,emea,0.403,"FY2025 10-K nights share by listing location, used as an origin proxy"
region,latam,latam,0.169,"FY2025 10-K nights share by listing location, used as an origin proxy"
region,apac,apac,0.131,"FY2025 10-K nights share by listing location, used as an origin proxy"
country,na,USA,0.88,"judgement, anchored on letters' named core and expansion markets"
country,na,CAN,0.12,"judgement, anchored on letters' named core and expansion markets"
country,emea,GBR,0.17,"judgement, anchored on letters' named core and expansion markets"
country,emea,FRA,0.15,"judgement, anchored on letters' named core and expansion markets"
country,emea,DEU,0.15,"judgement, anchored on letters' named core and expansion markets"
country,emea,ESP,0.12,"judgement, anchored on letters' named core and expansion markets"
country,emea,ITA,0.12,"judgement, anchored on letters' named core and expansion markets"
country,emea,NLD,0.06,"judgement, anchored on letters' named core and expansion markets"
country,emea,POL,0.04,"judgement, anchored on letters' named core and expansion markets"
country,emea,PRT,0.04,"judgement, anchored on letters' named core and expansion markets"
country,emea,IRL,0.03,"judgement, anchored on letters' named core and expansion markets"
country,emea,SWE,0.03,"judgement, anchored on letters' named core and expansion markets"
country,emea,CHE,0.03,"judgement, anchored on letters' named core and expansion markets"
country,emea,TUR,0.03,"judgement, anchored on letters' named core and expansion markets"
country,emea,ISR,0.015,"judgement, anchored on letters' named core and expansion markets"
country,emea,ZAF,0.015,"judgement, anchored on letters' named core and expansion markets"
country,latam,BRA,0.4,"judgement, anchored on letters' named core and expansion markets"
country,latam,MEX,0.35,"judgement, anchored on letters' named core and expansion markets"
country,latam,ARG,0.08,"judgement, anchored on letters' named core and expansion markets"
country,latam,CHL,0.07,"judgement, anchored on letters' named core and expansion markets"
country,latam,COL,0.07,"judgement, anchored on letters' named core and expansion markets"
country,latam,CRI,0.03,"judgement, anchored on letters' named core and expansion markets"
country,apac,JPN,0.28,"judgement, anchored on letters' named core and expansion markets"
country,apac,AUS,0.22,"judgement, anchored on letters' named core and expansion markets"
country,apac,KOR,0.18,"judgement, anchored on letters' named core and expansion markets"
country,apac,IND,0.15,"judgement, anchored on letters' named core and expansion markets"
country,apac,CHN,0.08,"judgement, anchored on letters' named core and expansion markets"
country,apac,IDN,0.05,"judgement, anchored on letters' named core and expansion markets"
country,apac,NZL,0.04,"judgement, anchored on letters' named core and expansion markets"
